Shazam Top 200 Sweden Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Traste Lindéns Kvintett","Ensam igen"
2,"The Bangles","Hazy Shade of Winter"
3,"Barry Manilow","Mandy"
4,"Enya","Only Time"
5,"Marie Fredriksson","Ännu doftar kärlek"
6,"Bon Jovi","You Give Love a Bad Name"
7,"Blandade Artister","Vi möts igen (feat. Moonica Mac & Arvid Nero)"
8,"Matz Bladhs","Jag Ska Måla Hela Världen Lilla Mamma"
9,"Tom Jones","It's Not Unusual"
10,"noonoouri & Alle Farben","Dominoes"
11,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
12,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
13,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
14,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
15,"Astrid Lindgren & Emil I Lönneberga","Idas sommarvisa – Jag gör så att blommorna blommar"
16,"Jim James","State Of The Art (A.E.I.O.U.)"
17,"Hannes & waterbaby","Stockholmsvy"
18,"Teddy Swims","Lose Control"
19,"Owen & Asme","Lean & $prite"
20,"Peg Parnevik","Bättre nu (The Wedding)"
21,"Aden Foyer","Other Side of the Moon"
22,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
23,"He Is We","I Wouldn't Mind"
24,"cassö, RAYE & D-Block Europe","Prada"
25,"C.Gambino","Svar"
26,"Sherine","Sabry 'Aalil"
27,"Luke Combs","Fast Car"
28,"Sophie Ellis-Bextor","Murder On The Dancefloor"
29,"Rob Cass & Joseph Robert Taylor","I Am Ready (feat. RIIVER)"
30,"Cleffy","Meet you at the Graveyard"
31,"Bill Callahan","All Thoughts Are Prey to Some Beast"
32,"Ellen Krauss","Inatt (Inget Stoppar Oss Nu)"
33,"Fjellrev & Roc Meiniac","Jeg Vil Ha (Parlamentet)"
34,"David Kushner","Daylight"
35,"Jack Harlow","Lovin On Me"
36,"Zara Larsson","Memory Lane"
37,"Mapei","Minns ikväll"
38,"Sia","Gimme Love"
39,"Edward Maya & Vika Jigulina","Stereo Love"
40,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
41,"Daniela Rathana & Cherrie","Vakna (Wake Me Up)"
42,"Yamê","Bécane - A Colors Show"
43,"Darin","Starkare"
44,"лампабикт & Элли на маковом поле","немерено"
45,"LXNGVX","Montagem Mysterious Game"
46,"Cartel de Santa","Shorty Party (feat. La Kelly)"
47,"Noah Kahan","Stick Season"
48,"Stromae","Formidable"
49,"Fred again.. & Baby Keem","leavemealone"
50,"Lynyrd Skynyrd","Simple Man"
51,"Y4ska","Lemonade"
52,"Troye Sivan","One Of Your Girls"
53,"Lamb of God","11th Hour"
54,"Dagny","Same Again (For Love)"
55,"Jung Kook","Standing Next to You"
56,"Forgotten Modern","Only Time (Remix)"
57,"Dina Ögon","Det läcker"
58,"The Allman Brothers Band","Whipping Post"
59,"Nikos Band","Georgian Disco (Live)"
60,"DON XHONI & Dhurata Dora","Lej"
61,"Billie Eilish","bury a friend"
62,"Ariana Grande","yes, and?"
63,"ADAM","Zhurek"
64,"Loreen","Is It Love"
65,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
66,"Hannes Aitman","Dying For A Name"
67,"Kenya Grace","Strangers"
68,"Tracy Chapman, José Molina, Orchestra Sinfonica Italiana & Luciano Pavarotti","Baby, Can I Hold You Tonight"
69,"Nik Ammar","Come to an End"
70,"The Handsome Family","Far from Any Road"
71,"Chris Brown","Angel Numbers / Ten Toes"
72,"KOREL & NEEL","Она делит вайб"
73,"Viktor Norén & Lisa Nilsson","Det är dig jag väntat på"
74,"Tate McRae","greedy"
75,"Natasha Bedingfield","Unwritten"
76,"a-ha","Hunting High and Low (Extended Remix)"
77,"The Human League","Don't You Want Me"
78,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
79,"Flume","Never Be Like You (feat. KAI)"
80,"R3HAB, Inna & Sash!","Rock My Body"
81,"Tyla","Water"
82,"bbno$","edamame (feat. Rich Brian)"
83,"The Trammps","Disco Inferno"
84,"Ben Cocks","So Cold (The Good Wife Trailer)"
85,"shometyle","Alien Flame"
86,"Kris Kross Amsterdam, Sofía Reyes & Tinie Tempah","How You Samba"
87,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
88,"The Unthanks","Magpie"
89,"T.G Boogie","Get Jiggy"
90,"Sia","Unstoppable"
91,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
92,"DYSTINCT","La"
93,"Chaka Khan","I'm Every Woman"
94,"Felix Jaehn & Ray Dalton","Call It Love"
95,"Dua Lipa","Houdini"
96,"P!nk","TRUSTFALL"
97,"Miley Cyrus","Used To Be Young"
98,"BENNETT","Vois sur ton chemin (Techno Mix)"
99,"Hamit Karadeniz","Leyla"
100,"Miley Cyrus","Flowers"
101,"Katya Lel","Мой мармеладный (Я не права)"
102,"Empire of the Sun","We Are The People"
103,"Giggs","Incredible Sauce (feat. Dave)"
104,"Rema","Calm Down"
105,"P!nk","All Out Of Fight"
106,"Marshmello, P!nk & Sting","Dreaming"
107,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
108,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
109,"Dua Lipa","Dance The Night (From Barbie The Album)"
110,"OneRepublic","RUNAWAY"
111,"The Beatles","Now And Then"
112,"Christopher","A Beautiful Life (From the Netflix Film ‘A Beautiful Life’)"
113,"Darin","Den sista sången"
114,"Peggy Gou","(It Goes Like) Nanana (Edit)"
115,"Travis Scott","MY EYES"
116,"Otis Redding","For Your Precious Love"
117,"Kendrick Lamar","Swimming Pools (Drank)"
118,"Doja Cat","Agora Hills"
119,"Molly Sandén","Psykos"
120,"3Z","TLBN"
121,"21 Savage","redrum"
122,"Curtis Mayfield","Move On Up"
123,"Clams Casino & Imogen Heap","I'm God"
124,"By Индия","pa pa pi"
125,"Imany","Wonderful Life (Stream Jockey Rework)"
126,"Björk & ROSALÍA","Oral"
127,"Neki, ALEMOND & Xcho","Моя"
128,"Smash Into Pieces","Six Feet Under"
129,"Augustine","Teach Me"
130,"The Outfield","Your Love"
131,"Bolaget","Astronaut"
132,"Татьяна Куртукова","Матушка"
133,"NOTD & Veronica Maggio","Occhi D’Amore"
134,"Cigarettes After Sex","Apocalypse"
135,"Sunstroke Project","Run Away (feat. Olia Tira)"
136,"Rave de Crystal","Winds over SF"
137,"Modern Talking","Cheri Cheri Lady"
138,"Radiohead","Everything In Its Right Place"
139,"YG Marley","Praise Jah In the Moonlight"
140,"Lil Nas X","J CHRIST"
141,"Whiskey Myers","Stone"
142,"Morad & GIMS","Seya"
143,"Tom Odell","Another Love"
144,"Deki Alem","The Big Boom (Bonus Track)"
145,"a-ha","Hunting High and Low"
146,"Mary J. Blige","Family Affair"
147,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
148,"Lucenzo","Danza Kuduro (feat. Don Omar)"
149,"ZERB & Sofiya Nzau","Mwaki"
150,"Laura Mvula","Sing to the Moon"
151,"Christell","Dubidubidu"
152,"boerd & Boko Yout","All My Life"
153,"Taylor Swift","Cruel Summer"
154,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
155,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
156,"SuperFitness","Supalonely (Workout Mix 134 bpm)"
157,"Shawn Mendes & Camila Cabello","I Know What You Did Last Summer"
158,"Migi & Jae","SVAG"
159,"Git Gay","Jag är så bekymrad for männen"
160,"Jony State","Death Don't Have No Mercy (Instrumental Version)"
161,"ARY","La Vie Est Une Rose"
162,"Zara Larsson","You Love Who You Love"
163,"George Michael","Careless Whisper"
164,"B.Baby","Hjärta"
165,"Jonathan Johansson","Alla Fåglar Blåa"
166,"Albin Lee Meldau","Hold Your Head Up (feat. Jack Savoretti)"
167,"Dr. Alban","Alla vi (feat. Björn Borg, Tomas Brolin & Mattias Frisk) [Radio Version]"
168,"Rammstein","Sonne"
169,"Lykke Li","I Follow Rivers (The Magician Remix)"
170,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
171,"Kygo & Ava Max","Whatever"
172,"Urge Overkill","Girl, You'll Be a Woman Soon"
173,"АИГЕЛ","Пыяла"
174,"Ehsan Daryadel","Beyt"
175,"Ace of Base","Happy Nation"
176,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
177,"Lesley Gore","You Don't Own Me"
178,"David Guetta & Bebe Rexha","I'm Good (Blue)"
179,"Doja Cat","Paint The Town Red"
180,"Jason Derulo","When Love Sucks (feat. Dido)"
181,"Loreen","Tattoo"
182,"Joel Nuñez & Cecilia Kallin","Wait for Me (Radio Edit)"
183,"Toby Romeo & Declan J Donovan","Alive"
184,"Imagine Dragons","Not Today"
185,"Miss Li","Ålderdomshemmet"
186,"VC Barre","MIKEY"
187,"50 Cent","Baby By Me (feat. Ne-Yo)"
188,"Darin","Satellit"
189,"Amadou & Mariam","Sabali"
190,"Quaker City Night Hawks","Beat the Machine"
191,"Mott the Hoople","Roll Away the Stone"
192,"MGMT","Time to Pretend"
193,"Michael Kiwanuka","Cold Little Heart"
194,"Marenberg Kollektiv","Sun Goes Down"
195,"Lady Gaga","Bloody Mary"
196,"Made, Kenan & Rasa","Alles Spitze"
197,"Peter Jöback, Nike Sellmar & Janice","Frihetsklockan"
198,"Flo Milli","Never Lose Me"
199,"Alessandra","Queen of Kings"
200,"Bo Kaspers Orkester","När du landat (har jag vaknat)"
