Shazam Top 200 Switzerland Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Iñigo Quintero","Si No Estás"
3,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
4,"Kenya Grace","Strangers"
5,"Linda Elys","House on Fire"
6,"ZERB & Sofiya Nzau","Mwaki"
7,"Tate McRae","greedy"
8,"Jack Harlow","Lovin On Me"
9,"BENNETT","Vois sur ton chemin (Techno Mix)"
10,"Tyla","Water"
11,"Dean Lewis","Trust Me Mate (Acoustic)"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Imany","Wonderful Life (Stream Jockey Rework)"
14,"Yamê","Bécane - A Colors Show"
15,"The Kolors","ITALODISCO"
16,"LXNGVX","Montagem Mysterious Game"
17,"Sia","Gimme Love"
18,"SANTA","Popcorn Salé"
19,"Marshmello, P!nk & Sting","Dreaming"
20,"Dua Lipa","Houdini"
21,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
22,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
23,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
24,"He Is We","I Wouldn't Mind"
25,"Chris Brown","Angel Numbers / Ten Toes"
26,"21 Savage","redrum"
27,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
28,"Loreen","Tattoo"
29,"Dinah Washington","What A Difference A Day Made"
30,"Cigarettes After Sex","Apocalypse"
31,"Edward Maya & Vika Jigulina","Stereo Love"
32,"Calum Scott","At Your Worst (Acoustic)"
33,"bbno$","edamame (feat. Rich Brian)"
34,"Doja Cat","Paint The Town Red"
35,"ZIAN","Wasteland"
36,"Sherine","Sabry 'Aalil"
37,"David Kushner","Daylight"
38,"Robin Schulz, Rita Ora & Tiago PZK","I'll Be There"
39,"Lewis Capaldi","Wish You The Best"
40,"Empire of the Sun","We Are The People"
41,"The Righteous Brothers","Unchained Melody"
42,"Natasha Bedingfield","Unwritten"
43,"Jim James","State Of The Art (A.E.I.O.U.)"
44,"Leony, Niklas Dee & VIZE","I Can Feel"
45,"Dadju & Tayc","I love you"
46,"Curtis Mayfield","Move On Up"
47,"Cleffy","Meet you at the Graveyard"
48,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
49,"Noah Kahan","Stick Season"
50,"Lost Frequencies","The Feeling"
51,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
52,"Jeck","Parapluie"
53,"Rea Garvey","Free Like The Ocean"
54,"Benson Boone","Beautiful Things"
55,"Zara Larsson & David Guetta","On My Love"
56,"Giggs","Incredible Sauce (feat. Dave)"
57,"Imagine Dragons","Children of the Sky (a Starfield song)"
58,"Flume","Never Be Like You (feat. KAI)"
59,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
60,"Bad Bunny","MONACO"
61,"Tom Odell","Another Love"
62,"Soolking, Lola Índigo & Rvfv","Casanova"
63,"Kaaris","Panama (feat. Hamza)"
64,"Alok, Mondello'G & Ceres","LET'S GET FKD UP (feat. Tribbs)"
65,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
66,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
67,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
68,"Joseph Kamel","Celui qui part"
69,"Morad & GIMS","Seya"
70,"Argy & Omnya","Aria"
71,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
72,"Udo Lindenberg & Apache 207","Komet"
73,"Peggy Gou","(It Goes Like) Nanana (Edit)"
74,"Fleetwood Mac","Everywhere"
75,"cassö, RAYE & D-Block Europe","Prada"
76,"Michael Schulte & R3HAB","Better Me"
77,"Drini, L Loko & Marius Bear","CHINDER SI"
78,"Cutting Crew","(I Just) Died in Your Arms"
79,"Mary J. Blige","Family Affair"
80,"Sunstroke Project","Run Away (feat. Olia Tira)"
81,"Katya Lel","Мой мармеладный (Я не права)"
82,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
83,"Nick Morgan","Shook Part 3"
84,"Ricchi & Poveri","Sarà Perché Ti Amo"
85,"CYRIL","Stumblin' In"
86,"James Blunt","Beside You"
87,"Kendrick Lamar","Swimming Pools (Drank)"
88,"Kevinho","Olha a Explosão"
89,"Loreen","Is It Love"
90,"Travis Scott","MY EYES"
91,"Doggy Charles","Still Ridin"
92,"The Neighbourhood","Softcore"
93,"Taylor Swift","Cruel Summer"
94,"Gloria Gaynor","I Will Survive"
95,"Lucenzo","Danza Kuduro (feat. Don Omar)"
96,"Aden Foyer","The Ballet Girl"
97,"DYSTINCT","La"
98,"Sophie and the Giants & Purple Disco Machine","Paradise"
99,"Ariana Grande","yes, and?"
100,"YG Marley","Praise Jah In the Moonlight"
101,"Keane","Somewhere Only We Know"
102,"George Michael","Careless Whisper"
103,"4batz","Act ii: Date @ 8"
104,"Soolking & Gazo","Casanova"
105,"DON XHONI & Dhurata Dora","Lej"
106,"AriBeatz, Nimo & Lacrim","J-Lo"
107,"Radiohead","Everything In Its Right Place"
108,"Lykke Li","I Follow Rivers (The Magician Remix)"
109,"Tiësto","Lay Low"
110,"Slimane","Mon amour"
111,"Snoh Aalegra","Nothing Burns Like The Cold (feat. Vince Staples)"
112,"Nickelback","How You Remind Me"
113,"KALEO","Way Down We Go"
114,"Gxrfixs Gxng","No More Drama"
115,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
116,"50 Cent","Baby By Me (feat. Ne-Yo)"
117,"DJ Tons","Always Remember Us This Way"
118,"Maxwell","Safari (feat. Raf Camora & Bonez MC)"
119,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
120,"Kiss","I Was Made For Lovin' You"
121,"Måneskin","VALENTINE"
122,"Clams Casino & Imogen Heap","I'm God"
123,"Lost Frequencies & Bastille","Head Down"
124,"Remo Forrer","Not Okay"
125,"Purple Disco Machine, Duke Dumont & Nothing But Thieves","Something On My Mind (Extended)"
126,"D-Block Europe & Central Cee","Overseas"
127,"Harry Styles","Sign of the Times"
128,"James Arthur","Blindside"
129,"Henry Moodie","fight or flight"
130,"Billie Eilish","bury a friend"
131,"Indila","Love Story"
132,"Kygo & Ava Max","Whatever"
133,"Amy Macdonald","This Is The Life"
134,"Flo Milli","Never Lose Me"
135,"Henry Moodie","pick up the phone"
136,"Nuit Incolore","Dépassé"
137,"Miley Cyrus","Used To Be Young"
138,"Peso Pluma & Anitta","BELLAKEO"
139,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
140,"Tom Gregory","Never Look Back"
141,"Luciano","Time"
142,"Loi","Am I Enough"
143,"Adele","Set Fire to the Rain"
144,"Lady Gaga","Bloody Mary"
145,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
146,"Miley Cyrus","Flowers"
147,"Louane","Pardonne-moi"
148,"Jagwar Twin","Bad Feeling (Oompa Loompa)"
149,"Merveille","Citadelle"
150,"A.A.Williams","Where Is My Mind?"
151,"Lady Gaga","Hold My Hand"
152,"Foreigner","I Want To Know What Love Is (Live)"
153,"Lewis Capaldi","Someone You Loved"
154,"Ste","Red"
155,"Malia","MAIORCA . dimenticarci"
156,"4 Non Blondes","What's Up?"
157,"Lynyrd Skynyrd","Simple Man"
158,"Christell","Dubidubidu"
159,"Camila Cabello","Shameless"
