Shazam Top 50 Adana
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Defkhan, NELLIE & Fredo","Kapak Olsun"
2,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
3,"ZERB & Sofiya Nzau","Mwaki"
4,"Canozan","Ağlama ben ağlarım"
5,"Taskin Yusuf","Agla Sevdam"
6,"ADAM","Zhurek"
7,"INJI","Bellydancing"
8,"Derya Uluğ & Asil Gök","Yansıma"
9,"KÖFN & Simge","Yakışıklı"
10,"Mavi Gri","İlaç Ol Yaralarıma"
11,"İkilem","Bana Sorma"
12,"RockA","Unutulur Her Şey"
13,"Semicenk","Eyvah Neye Yarar"
14,"BENNETT","Vois sur ton chemin (Techno Mix)"
15,"Yamê","Bécane - A Colors Show"
16,"Doğu Swag & Aleyna Tilki","Bir Gün Ol Yerimde"
17,"Sena Şener","Sevmemeliyiz"
18,"Wawi","Om Satori"
19,"Yüzyüzeyken Konuşuruz","Durmaz Akar"
20,"Mabel Matiz & Melike Şahin","Düldül"
21,"Mustafa Ceceli & Yıldız Tilbe","Aşktan Giderken"
22,"Ste","Red"
23,"M Lisa","ARABA"
24,"Rafat Hasanlı","Kısa Mesafe"
25,"Çağan Şengül","Çok Yazık"
26,"Amo988","Yüreğim Ağlar"
27,"Semicenk","Batık Gemi"
28,"Mavi Gri & Ufuk Beydemir","Vazgeç Artık Rüyalarımdan"
29,"Sertab Erener","Vur Yüreğim"
30,"Yüzyüzeyken Konuşuruz","Tutun Sen Bana"
31,"Canbay & Wolker, Heijan & Muti","Bertaraf"
32,"Mert Demir","Ateşe Düştüm"
33,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
34,"Heijan & Azer Bülbül","Bu Gece Karakolluk Olabilirim"
35,"Büyük Ev Ablukada","Arayan Bulur"
36,"Mert Demir","Cehennemin Dibi"
37,"Burak Bulut & Ebru Yaşar","Kehribar"
38,"Kemal goyî","Ezim ezbûm aşiqê te"
39,"Sherine","Sabry 'Aalil"
40,"Angelina Jordan","Love Don't Let Me Go"
41,"Savai","Dark Life (Instrumental)"
42,"Melis Fis","Gülü Sevdim Dikeni Battı"
43,"Melis Fis","Kara Kedi"
44,"Ümit Besen","Seni Unutmaya Ömrüm Yeter Mi (feat. Pamela Spence)"
45,"Semicenk","İlkbaharım Kışa Döndü"
46,"Emrah Karaduman & Merve Özbey","Bir İmkansız Var"
47,"Cakal & Lvbel C5","JET BABA"
48,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
49,"Zerrin Özer","Basit Numaralar"
50,"Hamit Karadeniz","Leyla"
