Shazam Top 50 Ankara
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Canozan","Ağlama ben ağlarım"
3,"Derya Uluğ & Asil Gök","Yansıma"
4,"Taskin Yusuf","Agla Sevdam"
5,"BENNETT","Vois sur ton chemin (Techno Mix)"
6,"ADAM","Zhurek"
7,"INJI","Bellydancing"
8,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
9,"Defkhan, NELLIE & Fredo","Kapak Olsun"
10,"İkilem","Bana Sorma"
11,"ADAM","Zhurek (Isko Alvarez remix)"
12,"KÖFN & Simge","Yakışıklı"
13,"M Lisa","ARABA"
14,"RockA","Unutulur Her Şey"
15,"Mustafa Ceceli & Yıldız Tilbe","Aşktan Giderken"
16,"Mert Demir","Cehennemin Dibi"
17,"Semicenk","Batık Gemi"
18,"Melis Fis","Kara Kedi"
19,"Doğu Swag & Aleyna Tilki","Bir Gün Ol Yerimde"
20,"Rafat Hasanlı","Kısa Mesafe"
21,"Imany","Wonderful Life (Stream Jockey Rework)"
22,"Sena Şener","Sevmemeliyiz"
23,"Emrah Karaduman & Merve Özbey","Bir İmkansız Var"
24,"Heijan & Azer Bülbül","Bu Gece Karakolluk Olabilirim"
25,"Burak Bulut & Ebru Yaşar","Kehribar"
26,"Simon & Garfunkel","El Condor Pasa (If I Could)"
27,"Angelina Jordan","Love Don't Let Me Go"
28,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
29,"Yüzyüzeyken Konuşuruz","Tutun Sen Bana"
30,"Buray","İNCİ"
31,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
32,"Amo988","Yüreğim Ağlar"
33,"Çağan Şengül","Çok Yazık"
34,"Mabel Matiz & Melike Şahin","Düldül"
35,"Mert Demir","Ateşe Düştüm"
36,"Mavi Gri","İlaç Ol Yaralarıma"
37,"Cakal & Lvbel C5","JET BABA"
38,"Yüzyüzeyken Konuşuruz","Durmaz Akar"
39,"Noizu","Vogue"
40,"Canbay & Wolker, Heijan & Muti","Bertaraf"
41,"Yamê","Bécane - A Colors Show"
42,"Savai","Dark Life (Instrumental)"
43,"Tate McRae","greedy"
44,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
45,"YellowStraps","Slowdown (girl what's up)"
46,"bbno$","edamame (feat. Rich Brian)"
47,"EDIS & Baran Mengüç","Ayyaş"
48,"Teddy Swims","Lose Control"
49,"Semicenk","Eyvah Neye Yarar"
50,"twocolors, Safri Duo & Chris de Sarandy","Cynical"
