Shazam Top 50 Istanbul
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ZERB & Sofiya Nzau","Mwaki"
2,"Canozan","Ağlama ben ağlarım"
3,"Taskin Yusuf","Agla Sevdam"
4,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
5,"Derya Uluğ & Asil Gök","Yansıma"
6,"INJI","Bellydancing"
7,"BENNETT","Vois sur ton chemin (Techno Mix)"
8,"ADAM","Zhurek"
9,"RockA","Unutulur Her Şey"
10,"Defkhan, NELLIE & Fredo","Kapak Olsun"
11,"KÖFN & Simge","Yakışıklı"
12,"Doğu Swag & Aleyna Tilki","Bir Gün Ol Yerimde"
13,"ADAM","Zhurek (Isko Alvarez remix)"
14,"İkilem","Bana Sorma"
15,"Mert Demir","Cehennemin Dibi"
16,"Imany","Wonderful Life (Stream Jockey Rework)"
17,"Sena Şener","Sevmemeliyiz"
18,"Angelina Jordan","Love Don't Let Me Go"
19,"Yamê","Bécane - A Colors Show"
20,"Semicenk","Batık Gemi"
21,"Amo988","Yüreğim Ağlar"
22,"Mabel Matiz & Melike Şahin","Düldül"
23,"Mustafa Ceceli & Yıldız Tilbe","Aşktan Giderken"
24,"Burak Bulut & Ebru Yaşar","Kehribar"
25,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
26,"Yüzyüzeyken Konuşuruz","Durmaz Akar"
27,"M Lisa","ARABA"
28,"Mert Demir","Ateşe Düştüm"
29,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
30,"Çağan Şengül","Çok Yazık"
31,"Semicenk","Eyvah Neye Yarar"
32,"Melis Fis","Kara Kedi"
33,"Yüzyüzeyken Konuşuruz","Tutun Sen Bana"
34,"bbno$","edamame (feat. Rich Brian)"
35,"Emrah Karaduman & Merve Özbey","Bir İmkansız Var"
36,"Simon & Garfunkel","El Condor Pasa (If I Could)"
37,"Sertab Erener","Vur Yüreğim"
38,"Ste","Red"
39,"Savai","Dark Life (Instrumental)"
40,"Selin","Yalancı Bahar (Nostalgia Sessions)"
41,"Büyük Ev Ablukada","Arayan Bulur"
42,"Mavi Gri","İlaç Ol Yaralarıma"
43,"Canbay & Wolker, Heijan & Muti","Bertaraf"
44,"Zerrin Özer","Basit Numaralar"
45,"Despina Vandi & Foivos","Na Ti Hairese"
46,"EDIS & Baran Mengüç","Ayyaş"
47,"Jeff Redd","MINI TERORISTA"
48,"Heijan & Azer Bülbül","Bu Gece Karakolluk Olabilirim"
49,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
50,"Ace of Base","Happy Nation"
