Shazam Top 200 Türkiye Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Defkhan, NELLIE & Fredo","Kapak Olsun"
2,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
3,"M Lisa","ARABA"
4,"Semicenk","Batık Gemi"
5,"Canozan","Ağlama ben ağlarım"
6,"Yamê","Bécane - A Colors Show"
7,"Taskin Yusuf","Agla Sevdam"
8,"ZERB & Sofiya Nzau","Mwaki"
9,"Derya Uluğ & Asil Gök","Yansıma"
10,"Semicenk","Eyvah Neye Yarar"
11,"Aytaç Doğan","Alışamadım (Live)"
12,"Sickick","Intro (Infected)"
13,"RockA","Unutulur Her Şey"
14,"Cakal & Lvbel C5","JET BABA"
15,"Mavi Gri","İlaç Ol Yaralarıma"
16,"Heijan & Azer Bülbül","Bu Gece Karakolluk Olabilirim"
17,"Ace of Base","Happy Nation"
18,"Sezen Aksu","Sarı Odalar"
19,"ADAM","Zhurek"
20,"INJI","Bellydancing"
21,"Elnur","Direniyorum"
22,"Amo988","Yüreğim Ağlar"
23,"Kemal goyî","Ezim ezbûm aşiqê te"
24,"Wawi","Om Satori"
25,"Sherine","Sabry 'Aalil"
26,"Savai","Dark Life (Instrumental)"
27,"Tuğçe Şenoğul","Bunu Sana Demiştim (Disco Tarantula Remix)"
28,"Canbay & Wolker, Heijan & Muti","Bertaraf"
29,"Doğu Swag & Aleyna Tilki","Bir Gün Ol Yerimde"
30,"KÖFN & Simge","Yakışıklı"
31,"Nilüfer","İnkar Etme"
32,"SİLAHSIZ KUVVET","2001 (feat. Ceza & Sahtiyan)"
33,"Hamit Karadeniz","Leyla"
34,"BENNETT","Vois sur ton chemin (Techno Mix)"
35,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
36,"Sherine","El Watar El Hassas"
37,"Narkoz Ex","Tatlı Tecrübe"
38,"Jeff Redd","MINI TERORISTA"
39,"Lotusx","Nerdesin"
40,"Rafat Hasanlı","Kısa Mesafe"
41,"Elley Duhé","MIDDLE OF THE NIGHT"
42,"Bahadır","Aydan Güzel"
43,"Gülden Karaböcek","Sen Evlisin"
44,"İkilem","Bana Sorma"
45,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
46,"Future","PUFFIN ON ZOOTIEZ"
47,"Daii","BEGINNING of the END"
48,"Kubilay Aka","Gamzendeki Çukur (feat. Hayko Cepkin)"
49,"Şehzade","Yapma"
50,"Mahsun Kirmizigül","Dinle"
51,"Çağan Şengül","Çok Yazık"
52,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
53,"Hande Yener","Sopa (Club Remix)"
54,"Sertab Erener","Vur Yüreğim"
55,"Yıldız Tilbe","Kalbimden Çıkmıyorsun"
56,"Özcan Deniz","Sevdanın Rengi"
57,"Lady Gaga","Bloody Mary"
58,"No.1","Bol Pantolon Ve 70'lik (MRF Edit)"
59,"Rammstein","Sonne"
60,"Taha Ahmed","westiyam"
61,"Mert Demir","Cehennemin Dibi"
62,"cobblepot & ronixd","E Yaani Hani FREESTYLE"
63,"Mert Demir","Ateşe Düştüm"
64,"Mustafa Ceceli & Yıldız Tilbe","Aşktan Giderken"
65,"Arzu","Halaylar"
66,"Mabel Matiz & Melike Şahin","Düldül"
67,"sudealina","Middle of the Night x Qurban"
68,"LXNGVX","Montagem Mysterious Game"
69,"Kıvırcık Ali","Felek"
70,"Burak Bulut & Ebru Yaşar","Kehribar"
71,"Dedublüman","Sakladığın Bir Şeyler Var"
72,"Sezen Aksu","Tükeneceğiz"
73,"Katya Lel","Мой мармеладный (Я не права)"
74,"Ceylani Karaduman","Nazar Oldu"
75,"Edward Maya & Vika Jigulina","Stereo Love"
76,"Modern Talking","Cheri Cheri Lady"
77,"Emrah Karaduman & Merve Özbey","Bir İmkansız Var"
78,"Nova Norda","Aşka Çarem Yok"
79,"Gökhan Özen","Ne Farkeder"
80,"Muti & Azer Bülbül","İlle de Sen"
81,"lusttqwe & bexter","Bir Sana Yandım Ben"
82,"Melis Fis","Gülü Sevdim Dikeni Battı"
83,"Yüzyüzeyken Konuşuruz","Durmaz Akar"
84,"Erkal Sonel","Dilber Evin Barkın Yok Mu ?"
85,"Can Kazaz","Zifir Sessizlikte Bulursun"
86,"DEMET ELLOO","Yaşanmayan Günler Var"
87,"Onur Tuna","Bitik Yine"
88,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
89,"Hande Yener","Benden Sonra"
90,"Yüzyüzeyken Konuşuruz","Tutun Sen Bana"
91,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
92,"Boranbeatz","Hesabını Soracağım"
93,"Semicenk","Şalteri Kapattım"
94,"Ahmad Waqar","Omma"
95,"The Neighbourhood","Softcore"
96,"shometyle","Alien Flame"
97,"Tom Odell","Another Love"
98,"Emir Şamur","Saçma Sapan"
99,"Semicenk","İlkbaharım Kışa Döndü"
100,"Dedublüman & Mavzer Tabancas","Rüya Gibi"
101,"Hayri Yaşar Karagülle","Başımın Belası"
102,"Джанки джин & Мастер Дрон","Там таз стелит"
103,"Sena Şener","Sevmemeliyiz"
104,"Zeynep Bastık","Bundan Böyle"
105,"MERO","Hobby Hobby"
106,"BLOK3","Salla Salla"
107,"Melis Fis","Kara Kedi"
108,"Tate McRae","greedy"
109,"ADAM","Zhurek (Isko Alvarez remix)"
110,"Hande Yener","Bir Bela"
111,"Canis & İbrahim Tatlıses","Mutlu Ol Yeter"
112,"Büyük Ev Ablukada","Arayan Bulur"
113,"Ozan Çolakoğlu","Al 1'de Burdan Yak "
114,"Suzan Hacigarip","Değmez"
115,"Krobak","Broken (Are Little Victories by the Ship of Life)"
116,"Tarikdemirs","Nefret(Haykiriş)"
117,"Harry James","It's Been a Long, Long Time"
118,"Sezen Aksu","Unuttun mu Beni"
119,"Sefo","IMPARATOR"
