Shazam Top 200 Tanzania Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Nandy","Dah!"
2,"Dayoo","Huu Mwaka"
3,"Jay Melody","Baridi"
4,"Ceeka RSA & Tyler ICU","Jealousy (feat. Leemckrazy & Khalil Harrison)"
5,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
6,"Jaivah & Marioo","Buruda"
7,"Marioo & Harmonize","Away"
8,"Mbosso","Umechelewa"
9,"D Voice","BamBam (feat. Zuchu)"
10,"DJ Cleo","Tong Po (feat. King Zeph & K Sugah)"
11,"Mocco Genius","Mi Nawe (feat. Marioo)"
12,"Phina","Manu (feat. Jay Melody)"
13,"Fally Ipupa","Mayday"
14,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
15,"D Voice","Umenifunza"
16,"Chris Brown","Angel Numbers / Ten Toes"
17,"Patoranking","Babylon (feat. Victony)"
18,"Miles Away & Miles Away VIP","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
19,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
20,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
21,"Darassa","Butterfly (feat. Phina)"
22,"Preston Pablo","Dance Alone"
23,"Pcee","Gabriella (feat. Officixl Rsa)"
24,"Whozu","Niteme"
25,"Israel Mbonyi","Nina Siri"
26,"Asake","Lonely At The Top"
27,"Vanillah","Sijazoea"
28,"Dj Kawest & Gaëlle","Serre-moi fort"
29,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
30,"B2k Mnyama","Lala (feat. Vanillah)"
31,"Israel Mbonyi","Nita Amini"
32,"Phina","Sisi Ni Wale"
33,"Alikiba & Tommy Flavour","Huku"
34,"Akil The Brain","Mataa (feat. Papati & Lunar Miguel)"
35,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
36,"AbduKiba","You (feat. Yammi)"
37,"D Voice","Mpeni Taarifa (feat. Mbosso)"
38,"Chancelle Ngoie","Salama"
39,"Obby Alpha","Bora Kushukuru"
40,"Lony Bway","Wewe hapoo (feat. Marioo)"
41,"Rayvanny","Kitu Kizito (feat. Misso Missondo)"
42,"Afara Tsena","Afro Mbokalisation"
43,"Dayoo & Rayvanny","Huu Mwaka"
44,"Omah Lay","soso"
45,"Darassa","I Don't Care"
46,"Obby Alpha","Pigana Na Mungu (feat. Gurdian Angel)"
47,"Rayvanny","Down"
48,"Yammi","Tiririka"
49,"Diamond Platnumz","Pounds & Dollars"
50,"Rapcha","40 Missed Calls (feat. Vanillah)"
51,"Crayon & Ayra Starr","Ngozi"
52,"Centano","Peke Yangu"
53,"Tebza De DJ & DJ Nomza The King","Ka Valungu"
54,"Zuchu","Shika"
55,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
56,"Marioo","Asante"
57,"Darassa","Information"
58,"uLazi","yey (feat. Infinity MusiQ)"
59,"Alikiba","Aló (Acoustic)"
60,"Adekunle Gold & Simi","Look What You Made Me Do"
61,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
62,"Davido","FEEL"
63,"Tim Godfrey X Fearless Community","Big God (feat. Anderson)"
64,"Chris Brown","Sensational (feat. Davido & Lojay)"
65,"Camidoh, Mayorkun & Darkoo","Sugarcane (feat. King Promise) [Remix]"
66,"Nyashinski","Perfect Design"
67,"Toby Franco & Major Keys","Umona (feat. Tumelo_za, Yuppe & Chley)"
68,"Marioo","Shisha (feat. Mr. Nice)"
69,"Lava Lava","Beer Nyama (feat. Billnass)"
70,"Marvel","Don't Let Me Down"
71,"Ayra Starr","Rush"
72,"JFS music","Dry Wave (feat. King Tone SA & Soa mattrix)"
73,"KCee","Ojapiano"
74,"Spyro & Tiwa Savage","Who Is Your Guy? (Remix)"
75,"Diamond Platnumz","Shu! (feat. Chley)"
76,"Bruce africa","You"
77,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
78,"Tyla","Water"
79,"Jay Melody","Mbali Nawe"
80,"Major League DJz & Victony","Margaret (Tyler ICU, D3an & Smeez Remix)"
81,"S'Villa","Jehovah (feat. Zuma)"
82,"Lil Durk","All My Life (feat. J. Cole)"
83,"Zuchu","Naringa"
84,"D Voice","Nimezama (feat. Zuchu)"
85,"Phina","Do Salale"
86,"Mimi Mars","Give Up (feat. Darassa)"
87,"Harmonize","Sijui"
88,"Jux & Diamond Platnumz","Enjoy"
89,"Dj Kamoko","Kazoumba"
90,"Burna Boy","Tested, Approved & Trusted"
91,"Appy Tz","Watu Feki"
92,"Mellow & Sleazy","Chom'yam (feat. Leemckrazy, Dinho & TheBuu)"
93,"Killorbeezbeatz","Ngilele E Hotel"
94,"Sam Wa Ukweli","Sina Raha"
95,"Iyanya","One Side"
96,"Kabza De Small","Remix (feat. DJ Maphorisa & Masterpiece)"
97,"Loreen","Tattoo"
98,"Fireboy DML & Asake","Bandana"
99,"Rayvanny","Te Quiero (feat. Marioo)"
100,"Flavour","Big Baller"
101,"Barkeliam","Mama"
102,"Teejay","Drift"
103,"Yamê","Bécane - A Colors Show"
104,"Doja Cat","Agora Hills"
105,"Mocco Genius","Mi Nawe"
106,"Uncle Waffles, Tony Duardo & Justin99","Yahyuppiyah (feat. Pcee, Eeque & Chley)"
107,"Mavoicetz","Ukinimiss"
108,"D Voice","Mtamu"
109,"G Nako & Diamond Platnumz","Komando"
110,"Mathias Walichupa","Nitashinda"
111,"Qing Madi","American Love"
112,"Meja Kunta","HASSANI"
113,"GENIUSJINI X66","Wewe (feat. Jay Melody)"
114,"Roma Mkatoliki","Nasikia Harufu (feat. Chid Benz)"
115,"Lady Jaydee","Mambo Matano"
116,"Ben Pol","My Life (feat. Darassa)"
117,"Ruger","Blue"
118,"Diar","If I Don't Lagu I'll Cry (Remix)"
119,"Loud Urban Choir","Ngozi (Cover)"
120,"The Mafik","Tunaanza Na Mungu"
121,"Shakes & Les, DBN Gogo & Zee Nxumalo","Funk 55 (feat. Ceeka RSA & Chley)"
122,"Mathias Walichupa","Amen"
123,"Blaq Diamond","Summer YoMuthi"
124,"Harmonize","Sijalewa"
125,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
126,"Dayoo","Weekend"
127,"Daliwonga","Abo Mvelo (feat. Mellow & Sleazy & M.J)"
128,"RJ Kanierra","Tia"
129,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
130,"Zoravo","Neema Yako Yanitosha"
131,"Marioo & Alikiba","Love Song"
132,"Madilu System","Franco de mi amor"
133,"Dedo Dieumerci & Naomi Mugiraneza","Majina Yote Jehovah"
134,"Victony & Tempoe","Soweto"
135,"ELEMENT EleéeH","FOU DE TOi (feat. Ross Kana & Bruce Melodie)"
136,"Echo 254","Unaweza"
137,"Mzee wa Bwax","Shemeji Yako"
138,"Conor Maynard","Someone You Loved"
139,"Israel Mbonyi","Malengo Ya Mungu (Live)"
140,"Chino Kidd","Moyo (feat. Optimist MusicZA & Char4Prezzy)"
141,"DJ WIZZY 254","Bongo Flava mix.vol3"
142,"DJ Y.T","Que du sal commence - Pongi (feat. Ave Le Roi & Master Virus) [Instrumental]"
143,"GENIUSJINI X66","Juu (feat. Jay Melody)"
144,"Teejay & Davido","Drift (Remix)"
145,"Gyakie","SOMETHING"
146,"Bytar Beast, Marioo & Jaivah","Ndembe Ndembe"
147,"Felo Le Tee, Leemckrazy & Keynote","Yini Ngathi (Insane)"
148,"Omah Lay","i'm a mess"
149,"Omah Lay","Bad Influence"
150,"Nandy","Falling"
151,"Jimmy Maradona, QuayR Musiq & Mellow & Sleazy","Wena Wa Pallwa (feat. Ch'cco & Leemckrazy)"
152,"Bruce africa","My Love"
153,"Deep London & Boohle","Hamba Wena"
154,"Marioo","Sing"
155,"Omah Lay","Holy Ghost"
156,"Mwaisa Mtumbad","No Love No Stress (feat. Tileh)"
157,"Ruger","Girlfriend"
158,"Benny Shizzol","Kama Ikitokea"
159,"Ed Sheeran","Perfect"
160,"Ni/Co","On Purpose"
161,"Burna Boy","Common Person"
162,"Joel Lwaga","Umenishangaza"
163,"MEGADRUMZ & Lady Du","Tjina"
164,"Young Stunna","Adiwele (feat. Kabza De Small & Dj Maphorisa)"
165,"Bebi Philip","Comment ne pas te louer"
166,"Magixx","All Over"
167,"V-Be","Mpenzi New Year"
168,"Fally Ipupa","Maria PM"
169,"Kanda Bongo Man","Muchana"
170,"Iyanya, Mayorkun & Tekno","One Side (Remix)"
171,"K2ga","Deep In Love"
172,"D Voice","Chori Chori"
173,"Madilu System","Ya Jean (Remix)"
174,"1da Banton","No Wahala (feat. Kizz Daniel & Tiwa Savage) [Remix]"
175,"Kondela","Sweet"
176,"Peter Lubango","Nikomboe"
177,"D Voice","Turudiane (feat. Lava Lava)"
178,"Alec Benjamin","Let Me Down Slowly"
179,"T.I.","Live Your Life (feat. Rihanna)"
180,"Mocco Genius","Yamenishika (Remix) [feat. Nandy]"
181,"T-N-C","Leo Ndio Leo (feat. Mbosso)"
182,"Sherine","Sabry 'Aalil"
183,"Freshow Band","I Move On"
184,"Diamond Platnumz","Achii (feat. Koffi Olomide)"
185,"Bayanni","Ta Ta Ta"
186,"Kabusa Oriental Choir","Soso"
187,"JZyNO","Butta My Bread (feat. Lasmid)"
188,"Sir jay Tz","Mhhh (feat. Chino Kidd)"
189,"Watu Fresh","Sina Ubaya"
190,"Alikiba","La La La (feat. K2ga, AbduKiba, Vanillah & Tommy Flavour)"
191,"AbduKiba","Muda (feat. Alikiba & Vanillah)"
192,"PAUL CLEMENT","Bado Naishi"
193,"Magic System","1er Gaou"
194,"Blaiz Fayah & Tribal Kush","Bad"
195,"Mavins, Crayon & Ayra Starr","Overloading (OVERDOSE) [feat. LADIPOE, Magixx & Boy Spyce]"
196,"Ciara & Chris Brown","How We Roll"
197,"Passenger","Let Her Go (feat. Ed Sheeran) [Anniversary Edition]"
198,"Coldplay","Hymn for the Weekend"
199,"Ruby Africa & Mbosso","Uridhike"
200,"Babyboy AV","Confession"
