Shazam Top 50 Bangkok
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"JIN","The Astronaut"
2,"Doja Cat","Agora Hills"
3,"Tyla","Water"
4,"Jack Harlow","Lovin On Me"
5,"Jung Kook","Standing Next to You"
6,"Mos Patiparn","Romantic Syndrome (โรแมนติก ซินโดรม)"
7,"Jung Kook & Jack Harlow","3D"
8,"No One Else","เหตุผลของการมีชีวิตอยู่ คือการได้พบกับเธอ"
9,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
10,"URBOYTJ","ไม่ติด (feat. Gavin .D)"
11,"fellow fellow","ไม่เปลี่ยนเลย (Best Luck)"
12,"Paul Russell","Lil Boo Thang"
13,"The Kid LAROI, Jung Kook & Central Cee","TOO MUCH"
14,"Troye Sivan","One Of Your Girls"
15,"TWO Popetorn","Final Take (feat. MILLI)"
16,"MEYOU","อิจฉา"
17,"Tate McRae","greedy"
18,"HateBerry","Toxic"
19,"Mirrr","Heartwall"
20,"Paper Planes","กลับมาเพื่อบอกลา (JUST TO LET ME KNOW)"
21,"Pixxie","ติดฝน"
22,"Lauv","Love U Like That"
23,"NuNew","Eh! (feat. แทน ลิปตา)"
24,"Jayrun","Something About Us"
25,"Kenya Grace","Strangers"
26,"Teddy Swims","Lose Control"
27,"tinn","ถึงเวลา (feat. Pat Zweed n' Roll)"
28,"Henry Moodie","drunk text"
29,"Jason Derulo","Hands On Me (feat. Meghan Trainor)"
30,"SRA","WHY (Tell Me) [feat. Dasloe]"
31,"BOOM SAHARAT","มองใจ (เพลงจากละคร "พนมนาคา")"
32,"JENNIE","You & Me"
33,"Sabrina Carpenter","Feather"
34,"Roy Kim","Whenever, Wherever"
35,"Doja Cat","Paint The Town Red"
36,"Rema","Calm Down"
37,"SAM KIM","Say You Love Me"
38,"bbno$","edamame (feat. Rich Brian)"
39,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
40,"Henry Moodie","fight or flight"
41,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
42,"*NSYNC & Justin Timberlake","Better Place (From TROLLS Band Together)"
43,"LANY","Alonica"
44,"Mitski","My Love Mine All Mine"
45,"มนัสวีร์","ความรู้สึกของตัวฉัน"
46,"Tate McRae","exes"
47,"Etc.","คิดถึงไม่หาย (How Are You?)"
48,"LE SSERAFIM","Perfect Night"
49,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
50,"Kenshi Yonezu","Spinning Globe"
