Shazam Top 200 Thailand Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jayrun","Something About Us"
2,"J.Tajor","Like I Do"
3,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
4,"Kristina Dawn","Makasarili Malambing (feat. Hev Abi)"
5,"Midnight Blu","Nights Like This"
6,"Leah Marie Perez","Nothin' on Me"
7,"Doja Cat","Agora Hills"
8,"Maithai Jaitawan","เหนื่อยจังอยากฟังเสียง"
9,"มนัสวีร์","ความรู้สึกของตัวฉัน"
10,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
11,"Alicia Keys","If I Ain't Got You"
12,"Yoari","TRUE"
13,"Pixxie","ติดฝน"
14,"SRA","WHY (Tell Me) [feat. Dasloe]"
15,"fellow fellow","ไม่เปลี่ยนเลย (Best Luck)"
16,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
17,"Jamie Miller","Here's Your Perfect"
18,"Ariana Grande","bloodline"
19,"Tate McRae","greedy"
20,"Tyla","Water"
21,"Vrach & Secret Boy","Monalisa (Version R&B)"
22,"MEYOU","อิจฉา"
23,"Mary J. Blige","Family Affair"
24,"Mitski","My Love Mine All Mine"
25,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
26,"HateBerry","Toxic"
27,"JIN","The Astronaut"
28,"Dean Lewis","How Do I Say Goodbye"
29,"Katya Lel","Мой мармеладный (Я не права)"
30,"Paper Planes","กลับมาเพื่อบอกลา (JUST TO LET ME KNOW)"
31,"Yamê","Bécane - A Colors Show"
32,"SAM KIM","Say You Love Me"
33,"Yara Meyers","Someday (feat. Nathalie Hedin)"
34,"URBOYTJ","ไม่ติด (feat. Gavin .D)"
35,"Lah Pat & Flo Milli","Rodeo (Remix)"
36,"No One Else","เหตุผลของการมีชีวิตอยู่ คือการได้พบกับเธอ"
37,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
38,"Lucenzo","Danza Kuduro (feat. Don Omar)"
39,"CHRRISSA","ชอบนอน (zzz) [feat. 1life]"
40,"Katy Perry","Wide Awake"
41,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
42,"โต๋เหน่อ","ลองฟังแล"
43,"Jack Harlow","Lovin On Me"
44,"J. Dash","Wop (Official Version)"
45,"Quality Control, Layton Greene & Lil Baby","Leave Em Alone (feat. City Girls & PnB Rock)"
46,"SARAN","ใจพัง (feat. Gtk)"
47,"Roy Kim","Whenever, Wherever"
48,"Silly Fools","เทพลีลา"
49,"Mos Patiparn","Romantic Syndrome (โรแมนติก ซินโดรม)"
50,"Nathaniel Constantin","A Piece of You"
51,"FREEHAND","May she be kind"
52,"Abjad band","กาลครั้งหนึ่ง"
53,"HYBS","Tip Toe"
54,"Henry Moodie","drunk text"
55,"BOOM SAHARAT","มองใจ (เพลงจากละคร "พนมนาคา")"
56,"Gilbert O'Sullivan","Alone Again (Naturally)"
57,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
58,"Iñigo Rave","Bloodland"
59,"Jung Kook & Jack Harlow","3D"
60,"bbno$","edamame (feat. Rich Brian)"
61,"ธงไชย แมคอินไตย์","รักเอ๋ย (เพลงจากละคร "พนมนาคา")"
62,"Henry Moodie","pick up the phone"
63,"Olly Murs","That Girl"
64,"G-Eazy","Tumblr Girls (feat. Christoph Andersson)"
65,"Kendrick Lamar","Swimming Pools (Drank)"
66,"SunKissed Lola","Pasilyo"
67,"Edward Maya & Vika Jigulina","Stereo Love"
68,"Teng Mixer","Whine Up Break"
69,"Mirrr","Heartwall"
70,"Paul Russell","Lil Boo Thang"
71,"Ariana Grande","Everyday (feat. Future)"
72,"Flume","Never Be Like You (feat. KAI)"
73,"LeeHi","ONLY"
74,"MEYOU","วันนี้ปีที่แล้ว"
75,"DAWN","Even if we disappear"
76,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
77,"Ed Sheeran","Perfect"
78,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน)"
79,"Black Eyed Peas","Where Is The Love?"
80,"Justin Timberlake","Mirrors"
81,"Kenshi Yonezu","Spinning Globe"
82,"Doja Cat","Paint The Town Red"
83,"D Gerrard","Galaxy Express"
84,"Ryan.B & Effie","No Reason"
85,"Taylor Swift",""Slut!" (Taylor's Version) [From The Vault]"
86,"Charlie Puth","We Don't Talk Anymore (feat. Selena Gomez)"
87,"Rvfv","Prendío"
88,"Yinyoung Yodbuangarm","กันตรึมสกา (ซูเปอร์ฮิต)"
89,"Keyshia Cole","Love"
90,"HateBerry","Little Journey"
91,"Michael Bublé","Feeling Good"
92,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
93,"Da Endorphine","ไม่ใครก็ใคร"
94,"French Montana","Unforgettable (feat. Swae Lee)"
95,"LE SSERAFIM","Perfect Night"
96,"Creepy Nuts","Bling-Bang-Bang-Born"
97,"BADMIXY","ฟ้ารักพ่อ (DILF) [feat. ยุ้ย ญาติเยอะ]"
98,"HateBerry","Body on Me"
99,"TWO Popetorn","Final Take (feat. MILLI)"
100,"Jung Kook","Standing Next to You"
101,"tinn","ถึงเวลา (feat. Pat Zweed n' Roll)"
102,"Rema","Calm Down"
103,"Jayrun","Dara"
104,"HateBerry","Rolling Stones"
105,"Kenya Grace","Strangers"
106,"NuNew","Eh! (feat. แทน ลิปตา)"
107,"Yung Bleu","Ice On My Baby (Remix) [feat. Kevin Gates]"
108,"บิ๊กสุรินทร์ & เล็กสเร็น","ภาพถ่าย"
109,"Keane","Somewhere Only We Know"
110,"4batz","Act ii: Date @ 8"
111,"DJ Lytmas","Spin Monster Teezer"
112,"PUN","Therapist"
113,"Lauv","Love U Like That"
114,"Ayo Jay","Your Number"
115,"Stephen Sanchez","Until I Found You"
116,"фрози & joyful","Bounce (I Just Wanna Dance)"
117,"วรรธนา วีรยวรรธน","เพราะใจ"
118,"2Venti","You & I (feat. 2Ectasy, BNINE B9 & T3RD)"
119,"One Direction","Perfect"
120,"50 Cent","Baby By Me (feat. Ne-Yo)"
121,"张晓棠","苏慕遮"
122,"Aziz Hedra","Somebody's Pleasure"
123,"Diego Gonzalez","Thank You For Everything"
124,"APE FREDDA & Nonstate","Seven"
125,"The Kid LAROI, Jung Kook & Central Cee","TOO MUCH"
126,"Taylor Swift","Cruel Summer"
127,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
128,"Bruno Mars","That's What I Like"
129,"MATCHA","Music Lover (ซนซน 40 ปี GMM Grammy)"
130,"Post Malone & Swae Lee","Sunflower (Spider-Man: Into the Spider-Verse)"
131,"Junggigo & SoYou","Some (feat. Lil Boi)"
132,"Troye Sivan","One Of Your Girls"
133,"Teddy Swims","Lose Control"
134,"Jeff Satur","Ghost"
135,"Jace June","Goodbye My Baby"
136,"Sickick","Mind Games"
137,"Taylor Swift","False God"
138,"Only Monday","ทุกความทรงจำ"
139,"Chin Chinawut","อย่าบอกฉันว่าให้ไป (เพลงประกอบละคร "สุภาพบุรุษจุฑาเทพ ตอน คุณชายรณพีร์")"
140,"Chris Norman & Suzi Quatro","Stumblin' In"
141,"Cigarettes After Sex","Apocalypse"
142,"Andrew Barth Feldman","Maneater (Live)"
143,"Miguel","Sure Thing"
144,"Sabrina Carpenter","Feather"
145,"AirBorne","รักกันจนวันตาย"
146,"P-Hot","Bye Bye (feat. Youngohm)"
147,"PY-1","หากผม"
148,"Ariana Grande","yes, and?"
149,"Christell","Dubidubidu"
150,"Metro Boomin, Travis Scott & Young Thug","Trance"
151,"Only Monday","บรรยากาศ"
152,"Maroon 5","Girls Like You (feat. Cardi B)"
153,"Rio Romeo","Nothing's New"
154,"Roddy Ricch","The Box"
155,"d4vd","Here With Me"
156,"Sherine","Eh Eh"
157,"Drake","Hotline Bling"
158,"Flo Rida","Low (feat. T-Pain)"
159,"Taylor Swift","Daylight"
160,"Gunna","fukumean"
161,"fellow fellow","Halley's Comet"
162,"JVKE","golden hour"
163,"Muni Long","Made For Me"
164,"Lower Mansion","เพลงรักในวันลา"
165,"KISS OF LIFE","Nobody Knows"
166,"LHAM","ร้องไปกับฟ้า (Original Soundtrack "ภาพยนตร์ 4KINGS II") [feat. D Gerrard]"
167,"Lil Wayne","Love Me (feat. Drake & Future)"
168,"Fifth Harmony","Work from Home (feat. Ty Dolla $ign)"
169,"wave to earth","seasons"
170,"elijah woods","24/7, 365"
171,"25 Hours","Lady"
172,"James Arthur","Car's Outside"
173,"Boa","Duvet"
174,"Lady Gaga","Bloody Mary"
175,"Eminem","Love The Way You Lie (feat. Rihanna)"
176,"FIFTY FIFTY","Cupid (Twin Ver.)"
177,"yedira & asheu","Wdys (Sped up Version)"
178,"JENNIE","You & Me"
179,"ra'z","Hoshifuru Yoruni (feat. 9maBear & Noa Tamaki)"
180,"James Arthur","Car's Outside (Sped Up Version)"
181,"R. City","Locked Away (feat. Adam Levine)"
182,"Adele","Set Fire to the Rain"
183,"Bruno Mars, Anderson .Paak & Silk Sonic","Smokin Out the Window"
184,"Peggy Gou","(It Goes Like) Nanana (Edit)"
185,"Lady Gaga","Poker Face"
186,"BADMIXY","ถ้าไม่มีฉัน (Lost)"
187,"UMI & V","wherever u r"
188,"The Weeknd","Starboy (feat. Daft Punk)"
189,"LANDOKMAI","เพลงรักเพลงแรก (Blooming)"
190,"BOOM SAHARAT","ฉันมันเป็นคนแบบนี้"
191,"Mozzy & Iamsu!","Famous (I'm The One) [feat. Yo Gotti & DeJ Loaf]"
192,"Jacquees","B.E.D."
193,"Libianca","People"
194,"Arctic Monkeys","I Wanna Be Yours"
195,"Meghan Trainor","NO"
196,"HateBerry","Airplane Mode"
197,"Jung Kook & Latto","Seven"
198,"Pamungkas","To the Bone"
199,"Timethai","ที่ยืน (Original Soundtrack From กลเกมรัก)"
200,"Lana Del Rey","Young And Beautiful"
