Shazam Top 200 Tunisia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Abdoulhay","Galbi Mix Dofin Chirine"
2,"Azzedine","lamhayane"
3,"ألاء","Shkoon"
4,"Haifa Wehbe","Woseltelha"
5,"Cheb Hichem TGV","Allo Oui"
6,"saber jendoubi","Commando"
7,"Yamê","Bécane - A Colors Show"
8,"DAK","Nouveau Riche"
9,"Samara","Code"
10,"Samara","Lehy Bia"
11,"Bilel Tacchini","BiChoufou L’amour Madar Fiya"
12,"Blingos","Makhsernech"
13,"Buumi","B 2U M I, Pt. 2"
14,"ElGrandeToto","BLUE LOVE"
15,"DYSTINCT","La"
16,"Junior Hassen","Animal"
17,"Jul","Battistu"
18,"ADAM","Zhurek"
19,"Morad","Pelele"
20,"Oualid, Norel & Yam","Di Mochkila"
21,"ElGrandeToto","DELLALI (feat. Hamza)"
22,"KOSMOS","7Ouma Zne9i"
23,"Kami Muzic","خسارة (feat. Mc Mego)"
24,"Sherine","Sabry 'Aalil"
25,"ZERB & Sofiya Nzau","Mwaki"
26,"Bad Bunny","MONACO"
27,"Watsebha","Someone Said"
28,"Tekno","Mufasa"
29,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
30,"Bilel Tacchini","Mechatni"
31,"Wawi","Om Satori"
32,"310babii","Soak City (Do it)"
33,"LXNGVX","Montagem Mysterious Game"
34,"Duke","Mimti"
35,"Noor Arjoun, Selim Arjoun & Dhalma","Streams"
36,"Eden Shalev","Papi (Bhabi)"
37,"Hamit Karadeniz","Leyla"
38,"Samara","Paranoia"
39,"ياسر الدوسري سورة المؤمنون","ياسر الدوسري سورة المؤمنون"
40,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
41,"Morad & GIMS","Seya"
42,"Duke","Hyati"
43,"Chris Brown","Angel Numbers / Ten Toes"
44,"O.G Gang","Film X"
45,"Edward Maya & Vika Jigulina","Stereo Love"
46,"Stou","9adech Men Mara"
47,"Samara","Frontière"
48,"Cheb Nassim","Tayha Love (feat. Tchikou 22)"
49,"Balti","Mi Gna (Remix)"
50,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
51,"Modern Talking","Cheri Cheri Lady"
52,"KamiKaze","قلبي نا (feat. JenJoon)"
53,"Tamer Ashour","هيجيلي موجوع"
54,"Nordo","Merteh"
55,"Ali Alabedi","هابتين وهابا"
56,"Redstar Radi","Hayou"
57,"Katya Lel","Мой мармеладный (Я не права)"
58,"Mary J. Blige","Family Affair"
59,"Cheba Hind","Mayna"
60,"حمادة الليثي","Tareq El Andal (feat. Amr Salama)"
61,"Gati & Raska","Ghraba"
62,"Aymen Ghzel","يسلم بابايا و سيدي خويا"
63,"Sunstroke Project","Run Away (feat. Olia Tira)"
64,"Kaso","Hani Maak"
65,"Sherine","Eh Eh"
66,"Abd El Basset Hamouda, Mahmoud El lithy, Hamdy Batshan, Ali Rabee, Osos & Hassan El Kholaey","Satalana"
67,"Tate McRae","greedy"
68,"Loreen","Tattoo"
69,"Samara","Trafiquant"
70,"Salim Louza","Yakarhoni Gololi Limada"
71,"Peggy Gou","(It Goes Like) Nanana (Edit)"
72,"Mouado Production","Cheb Mirou (عندي خوتي هوما كلشي)"
73,"Cheb Rezki","Ana Al Ghaltan"
74,"Jack Harlow","Lovin On Me"
75,"Cheba Djenet","Matadjabdouliche"
76,"eRProfano","All Eyez on Me"
