Shazam Top 50 Kyiv
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Kolors","ITALODISCO"
2,"alyona alyona & Jerry Heil","Teresa & Maria"
3,"Cleffy","Meet you at the Graveyard"
4,"Chico, Qatoshi & 100лиця","Покохай мене"
5,"Klavdia Petrivna","Знайди мене"
6,"Nikos Band","Georgian Disco (Live)"
7,"Kenya Grace","Strangers"
8,"Fake Mood","Paramatma"
9,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
10,"Robert Cristian & Alis Shuka","The Day Before"
11,"Natasha Bedingfield","Unwritten"
12,"Argy & Omnya","Aria"
13,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
14,"Yamê","Bécane - A Colors Show"
15,"Максим Бородін","Скажи мені"
16,"АИГЕЛ","Пыяла"
17,"Oliver Koletzki & Fritz Kalkbrenner","Heart on Hold (Pavel Petrov Remix)"
18,"ADAM","Zhurek"
19,"bbno$","edamame (feat. Rich Brian)"
20,"YAKTAK","Уночі"
21,"Imany","Wonderful Life (Stream Jockey Rework)"
22,"Tomcraft","Loneliness (Radio Cut)"
23,"IAMJJ","Different Kind of Blues"
24,"Klavdia Petrivna","Знайди мене (Kava Remix)"
25,"Tate McRae","greedy"
26,"Максим Бородін","Якби не ти"
27,"Freya Ridings","Weekends"
28,"SKYLERR & Нікіта Кісельов","Ліфт"
29,"Alphadog","Aladin"
30,"БЕЗ ОБМЕЖЕНЬ","ДИМ"
31,"Armina","Bigraham"
32,"Rita Ora","Don't Think Twice"
33,"Jim James","State Of The Art (A.E.I.O.U.)"
34,"DJ Tons","Always Remember Us This Way"
35,"Teddy Swims","Lose Control"
36,"MAX BARSKIH","Зорепад"
37,"Jerry Heil","ТРИ ПОЛОСИ"
38,"Klavdia Petrivna","Я щаслива (Лікарі кажуть)"
39,"SHUMEI","Вище хмар"
40,"KOLA","Бути простим"
41,"Billie Eilish","bury a friend"
42,"Loreen","Tattoo"
43,"Troye Sivan","Got Me Started"
44,"MINACELENTANO","A un passo da te"
45,"21 Savage","redrum"
46,"Komodo","(I Just) Died In Your Arms (Original Radio Edit)"
47,"DOROFEEVA","Хай пишуть"
48,"Sunstroke Project","Run Away (feat. Olia Tira)"
49,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
50,"Sophie Ellis-Bextor","Murder On The Dancefloor"
