Shazam Top 200 Ukraine Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"alyona alyona & Jerry Heil","Teresa & Maria"
2,"Cleffy","Meet you at the Graveyard"
3,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
4,"Kendrick Lamar","Swimming Pools (Drank)"
5,"Ицык Цыпер","Нефертити (feat. Игорь Цыба)"
6,"Nikos Band","Georgian Disco (Live)"
7,"Wenzl McGowen & Enisa","Disco Cone (Take It High)"
8,"Yamê","Bécane - A Colors Show"
9,"Максим Бородін","Не відпускай"
10,"Little Mix","Little Me (Single Mix)"
11,"The Kolors","ITALODISCO"
12,"ADAM","Zhurek"
13,"SHUMEI","Родимка"
14,"Chico, Qatoshi & 100лиця","Покохай мене"
15,"ОЧІ В ОЧІ","Кине трубку"
16,"Miyagi & Эндшпиль","Круговорот"
17,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
18,"АИГЕЛ","Пыяла"
19,"Cartel de Santa","Shorty Party (feat. La Kelly)"
20,"Kalush Orchestra","Це любов"
21,"Kenya Grace","Strangers"
22,"The Weeknd","House Of Balloons / Glass Table Girls (Original)"
23,"shometyle","Alien Flame"
24,"Stromae","Formidable"
25,"Klavdia Petrivna","Знайди мене"
26,"АлСми","Мадам"
27,"Tate McRae","greedy"
28,"Sunstroke Project","Run Away (feat. Olia Tira)"
29,"Mosty","Тишина (feat. Fame, Макстар)"
30,"YAKTAK","LaLaLa"
31,"Lesley Gore","You Don't Own Me"
32,"Sophie Ellis-Bextor","Murder On The Dancefloor"
33,"Asal","Headache"
34,"LXNGVX","Montagem Mysterious Game"
35,"Russ","I Love You Boy"
36,"Nicki Minaj","FTCU"
37,"He Is We","I Wouldn't Mind"
38,"Kim Petras","XXX"
39,"21 Savage","redrum"
40,"Creepy Nuts","Bling-Bang-Bang-Born"
41,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
42,"Rodniy","В середині"
43,"VESNA305","Новая новогодняя"
44,"KVPV","Dollars (Club Mix)"
45,"лампабикт & Элли на маковом поле","немерено"
46,"T-Fest","Ты хочешь жить / Go Loco"
47,"DJ Tons","Always Remember Us This Way"
48,"XOLIDAYBOY","Мотыльки"
49,"Empire of the Sun","We Are The People"
50,"Loreen","Tattoo"
51,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
52,"Domiy","Нагадай"
53,"Lønely","Life Gets Hard"
54,"LuckyProduction","Forget"
55,"Denis RiDer","Моя фобия (feat. H1GH)"
56,"Максим Бородін","Скажи мені"
57,"Robert Cristian & Alis Shuka","The Day Before"
58,"Orange Sector","Farben"
59,"MINACELENTANO","A un passo da te"
60,"Natasha Bedingfield","Unwritten"
61,"Ace of Base","Happy Nation"
62,"Nina Simone","Don't Let Me Be Misunderstood"
63,"Big Baby Tape","Dayang"
64,"Sherine","Sabry 'Aalil"
65,"Parfeniuk & МУЛЬТИТРЕК","Накоїли"
66,"DOROFEEVA","Хай пишуть"
67,"Marenberg Kollektiv","Sun Goes Down"
68,"SAMCHUK","Вона"
69,"Inna","Hot"
70,"Gala","Freed From Desire"
71,"Lesha Svik","Самолёты"
72,"SKYLERR & Нікіта Кісельов","Ліфт"
73,"Три дня дождя & MONA","Прощание"
74,"Xxanteria & isq","Funked Up (Slowed)"
75,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
76,"The Neighbourhood","Softcore"
77,"Barbara Pravi","Voilà"
78,"Edward Maya & Vika Jigulina","Stereo Love"
79,"Мюслі UA","ЗА ТЕРИКОНАМИ (feat. MISHA SCORPION)"
80,"Корупція","Скрипочка"
81,"Christell","Dubidubidu"
82,"Lilithzplug","CLEARED - Remix"
83,"Tomcraft","Loneliness (Radio Cut)"
84,"Klavdia Petrivna","Знайди мене (Kava Remix)"
85,"Flume","Never Be Like You (feat. KAI)"
86,"IAMJJ","Different Kind of Blues"
87,"Tom Odell","Another Love"
88,"Clams Casino & Imogen Heap","I'm God"
89,"Miyagi & Эндшпиль","Река"
90,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
91,"Lely45","Моя душа"
92,"DPR IAN","Don't Go Insane"
93,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
94,"HOMIE","В городе где нет тебя"
95,"Argy & Omnya","Aria"
96,"YAKTAK","Уночі"
97,"2Pac","All Eyez On Me (feat. Big Syke)"
98,"Bang La Decks","Utopia (Radio Edit)"
99,"Lucenzo","Danza Kuduro (feat. Don Omar)"
100,"phamhoang anh","It Was Mild"
101,"Schnuffel","Häschenparty"
102,"Peggy Gou","(It Goes Like) Nanana (Edit)"
103,"Watsebha","Someone Said"
104,"WASSSUP","Я иду по городу"
105,"Enrique Iglesias","Ring My Bells"
106,"Teddy Swims","Lose Control"
107,"Ionut Cercel","Made in Romania"
108,"Rammstein","Sonne"
109,"Klavdia Petrivna","Дочка самурая"
110,"МЫ","Остров"
111,"SUROV & Anastasia Prikhodko","Холодно"
112,"Rihanna","Pour It Up"
113,"Miyagi & Эндшпиль","Голгофа"
114,"CYRIL","Stumblin' In"
115,"Женя Трофимов & Комната культуры","Поезда"
116,"Mosty","Мечта"
117,"Максим Бородін","Якби не ти"
118,"Snoh Aalegra","Nothing Burns Like The Cold (feat. Vince Staples)"
119,"Maksim","Croatian Rhapsody"
120,"requi3m","LIKE A"
121,"KREMENTSOVA","Виберу себе"
122,"CIL","Bloodsucker"
123,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
124,"BURLA","МОВА"
125,"Aarne, Big Baby Tape & kizaru","Haunted House"
126,"KALEO","Way Down We Go"
127,"Sting","Shape Of My Heart"
128,"Lilly Wood & The Prick","Prayer In C"
129,"6YNTHMANE & RXDXVIL","BRAZILIAN DANÇA PHONK"
130,"Jerry Heil","ТРИ ПОЛОСИ"
131,"Rita Ora","Don't Think Twice"
132,"MC VN Cria & DJ Kayo Original","Priviet Priviet Funk"
133,"Klavdia Petrivna","Імператори"
134,"George Michael","Careless Whisper"
