Shazam Top 50 Dubai
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Sherine","Sabry 'Aalil"
2,"Tyla","Water"
3,"Teddy Swims","Lose Control"
4,"Jack Harlow","Lovin On Me"
5,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
6,"Stephen Sanchez","Until I Found You"
7,"Doja Cat","Agora Hills"
8,"Kenya Grace","Strangers"
9,"Peggy Gou","(It Goes Like) Nanana (Edit)"
10,"Argy & Omnya","Aria"
11,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
12,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
13,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
14,"ZERB & Sofiya Nzau","Mwaki"
15,"Lost Frequencies & Calum Scott","Where Are You Now"
16,"GROSSOMODDO","1001 Nuits (Extended Mix)"
17,"Zara Larsson & David Guetta","On My Love"
18,"Pablo Fierro","Yababa (Tunisian Mix)"
19,"Tate McRae","greedy"
20,"GROSSOMODDO","1001 Nuits (Radio Edit)"
21,"Diddy featuring Keyshia Cole","Last Night (feat. Keyshia Cole)"
22,"James Mac & Vall","The Boy Is Mine (feat. Rosalie)"
23,"Ella Henderson","Alibi (feat. Rudimental)"
24,"Dua Lipa","Houdini"
25,"Eden Shalev","Papi (Bhabi)"
26,"Paul Russell","Lil Boo Thang"
27,"bbno$","edamame (feat. Rich Brian)"
28,"Francis Mercier & Magic System","Premier Gaou (Nitefreak Remix)"
29,"Yamê","Bécane - A Colors Show"
30,"Nitefreak & Emmanuel Jal","Gorah"
31,"Rema","Calm Down"
32,"Ed Sheeran","American Town"
33,"Chris Brown","Under The Influence"
34,"Ed Sheeran","Eyes Closed"
35,"DYSTINCT","La"
36,"RAFFA GUIDO","Famax"
37,"Roger Sanchez","Again"
38,"Ahmed Saad","El Youm El Helw Dah"
39,"Kelis","Milkshake 20 (Alex Wann Remix)"
40,"&ME & Black Coffee","The Rapture Pt. III"
41,"Backeer & Elline","Last Night"
42,"Francis Mercier, Mont Rouge & Coco","Voyage Voyage"
43,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
44,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
45,"Moojo & Bun Xapa","Hate It or Love It"
46,"Taylor Swift","Cruel Summer"
47,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
48,"Pritam, Arijit Singh & Irshad Kamil","O Maahi (From "Dunki")"
49,"Wakyin","Beso (Fruta Fresca) [feat. Carlos Vives]"
50,"Rampa & Sparrow & Barbossa","Champion"
