Shazam Top 200 United Arab Emirates Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Sherine","Sabry 'Aalil"
2,"Afsana Khan","Koi Si"
3,"Tyla","Water"
4,"Teddy Swims","Lose Control"
5,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
6,"Yamê","Bécane - A Colors Show"
7,"Jack Harlow","Lovin On Me"
8,"DYSTINCT","La"
9,"Tamer Ashour","هيجيلي موجوع"
10,"Doja Cat","Agora Hills"
11,"Haifa Wehbe","Woseltelha"
12,"BABY JEAN","Kaayi"
13,"Vishnu Vijay & Mu.Ri","Mazhavillile (From "Falimy")"
14,"حمادة الليثي","Tareq El Andal (feat. Amr Salama)"
15,"Peggy Gou","(It Goes Like) Nanana (Edit)"
16,"Tate McRae","greedy"
17,"Adel Ebrahim","Dl3nak"
18,"LXNGVX","Montagem Mysterious Game"
19,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
20,"Kenya Grace","Strangers"
21,"Edward Maya & Vika Jigulina","Stereo Love"
22,"Stephen Sanchez","Until I Found You"
23,"74 Original","يماه"
24,"Chris Brown","Angel Numbers / Ten Toes"
25,"Hamit Karadeniz","Leyla"
26,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
27,"Katya Lel","Мой мармеладный (Я не права)"
28,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
29,"Abdoulhay","Galbi Mix Dofin Chirine"
30,"Shubh","King Shit"
31,"Joezi","7 Seconds (feat. Coco & Pape Diouf)"
32,"Pritam, Arijit Singh & Irshad Kamil","O Maahi (From "Dunki")"
33,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
34,"Repiet & Julia Kleijn","Feels Like (La La La)"
35,"DON XHONI & Dhurata Dora","Lej"
36,"He Is We","I Wouldn't Mind"
37,"Savi Kahlon","Apa Fer Milaange (LIVE)"
38,"Prakash Alex, Christakala, Christajyothi, Suhail Koya & Athira Janakan","Monjathi (From "Qalb")"
39,"ZERB & Sofiya Nzau","Mwaki"
40,"Anuv Jain","Husn"
41,"Argy & Omnya","Aria"
42,"Vishal Mishra","Pehle Bhi Main (From "Animal")"
43,"bbno$","edamame (feat. Rich Brian)"
44,"Zara Larsson & David Guetta","On My Love"
45,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
46,"Alok & Alan Walker","Headlights (feat. KIDDO)"
47,"21 Savage","redrum"
48,"Dua Lipa","Houdini"
49,"Ahmed Spins","Anchor Point (feat. Stevo Atambire)"
50,"Ella Henderson","Alibi (feat. Rudimental)"
51,"Mary J. Blige","Family Affair"
52,"Sherine","El Watar El Hassas"
53,"Roach Killa, Arif Lohar & Deep Jandu","Aa"
54,"Giggs","Incredible Sauce (feat. Dave)"
55,"فتية الكميل","احنه العياله"
56,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
57,"Santhosh Narayanan, Dhvani Kailas & Vivek","Unakku Thaan (From "Chithha")"
58,"Lady Gaga","Bloody Mary"
59,"Empire of the Sun","We Are The People"
60,"Tom Odell","Another Love"
61,"Paul Russell","Lil Boo Thang"
62,"Fouad Abdulwahed","Kel Ahebek"
63,"Pitbull","Fireball (feat. John Ryan)"
64,"Lost Frequencies & Calum Scott","Where Are You Now"
65,"4batz","Act ii: Date @ 8"
66,"Don Toliver","Private Landing (feat. Justin Bieber & Future)"
67,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
68,"ADAM","Zhurek"
69,"2Pac","All Eyez On Me (feat. Big Syke)"
70,"Chris Brown","Under The Influence"
71,"David Kushner","Daylight"
72,"Sophie Ellis-Bextor","Murder On The Dancefloor"
73,"Francis Mercier & Magic System","Premier Gaou (Nitefreak Remix)"
74,"Nelly","Just a Dream (feat. Shireen Abdul Wahab) [Coke Studio Fusion Mix]"
75,"Rema","Calm Down"
76,"Teya Dora","Džanum"
77,"Mitski","My Love Mine All Mine"
78,"Modern Talking","Cheri Cheri Lady"
79,"Flo Milli","Never Lose Me"
80,"Travis Scott","MY EYES"
81,"Joudy Alhouti","ممكن"
82,"GROSSOMODDO","1001 Nuits (Extended Mix)"
83,"Fejo","Mahanubhavulu"
84,"Ariana Grande","bloodline"
85,"50 Cent","Baby By Me (feat. Ne-Yo)"
86,"Jessica Baio","he loves me, he loves me not"
87,"Joel Sunny","Luminary (Sped Up)"
88,"James Mac & Vall","The Boy Is Mine (feat. Rosalie)"
89,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
90,"Ayra Starr","Rush"
91,"Indila","Love Story"
92,"Shubh","Safety Off"
93,"Kaifi Khalil","Jurmana"
94,"George Michael","Careless Whisper"
95,"Roddy Ricch","The Box"
96,"Shubh","You and Me"
97,"Pablo Fierro","Yababa (Tunisian Mix)"
98,"Kim Petras & Nicki Minaj","Alone"
99,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
100,"Omah Lay","soso"
101,"Travis Scott","TIL FURTHER NOTICE (feat. James Blake & 21 Savage)"
102,"Ahmed Saad","El Youm El Helw Dah"
103,"Doja Cat","Paint The Town Red"
104,"Burna Boy","City Boys"
105,"Adele","Skyfall"
106,"Ahmed El Dogary","ريموت التلفيزيون (امسكو وانا هعمل اعمى)"
107,"Devi Sri Prasad, Ranina Reddy & Rita","Bang Bang Bangkok (From "Kumari 21 F")"
108,"310babii","Soak City (Do it)"
109,"&ME & Black Coffee","The Rapture Pt. III"
110,"Chris Brown","Sensational (feat. Davido & Lojay)"
111,"Tate McRae","exes"
112,"Karan Kanchan, Rashmeet Kaur & Yashraj","Ishq Nachaawe"
113,"Peso Pluma & Anitta","BELLAKEO"
114,"Khadejah Moaath","Habni Gherak"
115,"Ed Sheeran","American Town"
116,"Ed Sheeran","Perfect"
117,"Travis Scott","I KNOW ?"
118,"Eden Shalev","Papi (Bhabi)"
119,"Ed Sheeran","Eyes Closed"
120,"The Weeknd","After Hours"
121,"Sunstroke Project","Run Away (feat. Olia Tira)"
122,"Tiësto & BIA","BOTH (with 21 Savage)"
123,"Mert Demir","Ateşe Düştüm"
124,"The Neighbourhood","Softcore"
125,"Ragheb Alama","Nasini El Donya"
126,"AUR","Tu hai kahan"
127,"Adele","Set Fire to the Rain"
128,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
129,"Taylor Swift","Cruel Summer"
130,"D-Block Europe & Central Cee","Overseas"
131,"Gala","Freed From Desire"
132,"Arijit Singh, Shreyas Puranik & Siddharth-Garima","Satranga (From "Animal")"
133,"Flume","Never Be Like You (feat. KAI)"
134,"Sherine","Eh Eh"
135,"Sukha, Chani Nattan & prodGK","8 ASLE (feat. Gurlej Akhtar)"
136,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
137,"mikeeysmind & SANIKWAVE","VVV"
138,"Loreen","Tattoo"
139,"Nitefreak & Emmanuel Jal","Gorah"
140,"Lilithzplug","CLEARED - Remix"
141,"KALEO","Way Down We Go"
142,"Diddy featuring Keyshia Cole","Last Night (feat. Keyshia Cole)"
143,"Gunna","fukumean"
144,"Christell","Dubidubidu"
145,"Fouad Abdulwahed","Thaag El Ghamaam"
146,"Rashed Al Fares","Fi Omour"
147,"cassö, RAYE & D-Block Europe","Prada"
148,"GROSSOMODDO","1001 Nuits (Radio Edit)"
149,"Wakyin","Beso (Fruta Fresca) [feat. Carlos Vives]"
150,"Saif El Faisal","Elli Yabi Yezaal"
151,"Khaled","C'est la vie"
152,"Ariis","Manda Bala"
153,"Cigarettes After Sex","Apocalypse"
154,"Sherine","Kalam Eneih"
155,"Çağan Şengül","Çok Yazık"
156,"Freebot, Cuvan & Aneth","Tus Besos"
157,"Dedublüman","Belki (Akustik)"
158,"Ariana Grande","yes, and?"
159,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
160,"Amr Diab","Tamly Maak"
161,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
162,"Yashraj Mukhate, Rashmeet Kaur & Kisna","Bing Bing Boo!"
163,"Chike & MohBad","Egwu"
164,"Diamond Platnumz","Shu! (feat. Chley)"
165,"Diljit Dosanjh, Sia & Greg Kurstin","Hass Hass"
166,"Karim Mahmoud Abdelaziz","Elghazala Ray2a (feat. Mohamed Osama)"
167,"Outlandish","Callin' U"
168,"Kendrick Lamar","Swimming Pools (Drank)"
169,"Passenger","Let Her Go (feat. Ed Sheeran) [Anniversary Edition]"
170,"Olivia Rodrigo","vampire"
171,"Bad Bunny","MONACO"
172,"Ed Sheeran","Bad Habits"
173,"50 Cent","In da Club"
174,"Taylor Swift","cardigan"
175,"Lucenzo","Danza Kuduro (feat. Don Omar)"
176,"Wawi","Om Satori"
177,"Boa","Duvet"
178,"Master KG & Nomcebo Zikode","Jerusalema"
179,"Forest Blakk","Fall Into Me (Acoustic)"
180,"Abd El Basset Hamouda, Mahmoud El lithy, Hamdy Batshan, Ali Rabee, Osos & Hassan El Kholaey","Satalana"
181,"Ace of Base","Happy Nation"
182,"Metro Boomin & Future","Too Many Nights (feat. Don Toliver)"
183,"shometyle","Alien Flame"
184,"BARATO NATION & ASH LoFi","Let Her Go x Husn"
185,"glwzbll","Untitled #13 (Super Slowed)"
186,"Harry Styles","As It Was"
187,"AL SHAMI","Ya Leil W Yal Ein"
188,"B. Praak, Vishal Dadlani, Sheykhar Ravjiani & Kumaar","Heer Aasmani (From "Fighter")"
189,"Gym Class Heroes","Stereo Hearts (feat. Adam Levine)"
190,"Cleffy","Meet you at the Graveyard"
191,"Las Ketchup","Aserejé (Hippy)"
192,"Cian Ducrot","Part Of Me"
193,"Creepy Nuts","Bling-Bang-Bang-Born"
194,"Ludovico Einaudi, Daniel Hope & I Virtuosi Italiani","Experience"
195,"Roger Sanchez","Again"
196,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
197,"Ahmed Jehanzeb","Tera Mera Hai Pyar Amar (From "Ishq Murshid")"
198,"Nick Morgan","Shook Part 3"
199,"Daddy Yankee","Gasolina"
200,"Majid Al Mohandis","Janant Galbi"
