Shazam Top 50 Belfast
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Lewis Capaldi","Strangers"
5,"Georgia Ku","A Little More Lost"
6,"Jim James","State Of The Art (A.E.I.O.U.)"
7,"Billie Eilish","bury a friend"
8,"Zara Larsson & David Guetta","On My Love"
9,"Lynyrd Skynyrd","Simple Man"
10,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
11,"Quaker City Night Hawks","Beat the Machine"
12,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
13,"cassö, RAYE & D-Block Europe","Prada"
14,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
15,"Paul Russell","Lil Boo Thang"
16,"Ella Henderson","Alibi (feat. Rudimental)"
17,"The Unthanks","Magpie"
18,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
19,"Ursine Vulpine & Annaca","Wicked Game"
20,"Fred again.. & Baby Keem","leavemealone"
21,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
22,"Tomcraft","Loneliness (Radio Cut)"
23,"Switch Disco","VACANCY"
24,"Alok & Bebe Rexha","Deep In Your Love"
25,"Jack Harlow","Lovin On Me"
26,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
27,"Sia","Gimme Love"
28,"Ariana Grande","yes, and?"
29,"Birdy","People Help the People"
30,"MistaJam","Harmonies"
31,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
32,"Soul Coughing","Super Bon Bon"
33,"Rachael O'Connor","Start of Something (Acoustic)"
34,"Cat Burns","know that you're not alone (acoustic)"
35,"RAYE","Worth It."
36,"Kenya Grace","Strangers"
37,"Sammy Virji","If U Need It"
38,"Ilsey","No California"
39,"Jazzy","Feel It (Club Edit)"
40,"MistaJam","Harmonies (Vocal Edit)"
41,"Sophie Ellis-Bextor","Murder On The Dancefloor"
42,"Cigarettes After Sex","Apocalypse"
43,"Bishop Briggs","White Flag"
44,"Christopher","Fall So Hard"
45,"Tyla","Water"
46,"The Handsome Family","Far from Any Road"
47,"MGMT","Time to Pretend"
48,"Red 5","I Love You Stop"
49,"Nina Simone","Sinnerman"
50,"Mason & Princess Superstar","Perfect (Exceeder)"
