Shazam Top 50 Birmingham
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Ed Sheeran","Life Goes On"
3,"Noah Kahan","Stick Season"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Ella Henderson","Alibi (feat. Rudimental)"
6,"Jim James","State Of The Art (A.E.I.O.U.)"
7,"Lewis Capaldi","Strangers"
8,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
9,"Jack Harlow","Lovin On Me"
10,"SBTRKT & Sampha","Living Like I Do"
11,"Lynyrd Skynyrd","Simple Man"
12,"Tyla","Water"
13,"Jason Mraz","I Feel Like Dancing"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
16,"Billie Eilish","bury a friend"
17,"Ilsey","No California"
18,"Tomcraft","Loneliness (Radio Cut)"
19,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
20,"Ursine Vulpine & Annaca","Wicked Game"
21,"Chase & Status","Selecta (feat. Stefflon Don)"
22,"venbee","rampage (feat. DJ SS)"
23,"Zara Larsson & David Guetta","On My Love"
24,"cassö, RAYE & D-Block Europe","Prada"
25,"Sammy Virji","If U Need It"
26,"Georgia Ku","A Little More Lost"
27,"Ariana Grande","yes, and?"
28,"Kofi Nti & Ofori Amponsah","Odo nwom"
29,"Rema","Calm Down"
30,"Quaker City Night Hawks","Beat the Machine"
31,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
32,"Sophie Ellis-Bextor","Murder On The Dancefloor"
33,"goddard. & Cat Burns","Wasted Youth"
34,"Cameo","Candy"
35,"Bishop Briggs","White Flag"
36,"Songer","Toxic (Freestyle)"
37,"Bitty McLean","Walk Away (Dub Mix)"
38,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
39,"The Unthanks","Magpie"
40,"Nina Simone","Sinnerman"
41,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
42,"Otis Redding","I've Been Loving You Too Long"
43,"RAYE","Worth It."
44,"P!nk","Try"
45,"The Last Dinner Party","Nothing Matters"
46,"Radiohead","Everything In Its Right Place"
47,"MGMT","Time to Pretend"
48,"Lyrical Lemonade & Dave","Stop Giving Me Advice (feat. Jack Harlow)"
49,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
50,"Soul Coughing","Super Bon Bon"
