Shazam Top 50 Brighton
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Noah Kahan","Stick Season"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Ed Sheeran","Life Goes On"
6,"Billie Eilish","bury a friend"
7,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
8,"SBTRKT & Sampha","Living Like I Do"
9,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
10,"Lewis Capaldi","Strangers"
11,"MGMT","Time to Pretend"
12,"Lynyrd Skynyrd","Simple Man"
13,"Ilsey","No California"
14,"Tomcraft","Loneliness (Radio Cut)"
15,"Ella Henderson","Alibi (feat. Rudimental)"
16,"Kofi Nti & Ofori Amponsah","Odo nwom"
17,"Radiohead","Everything In Its Right Place"
18,"The Unthanks","Magpie"
19,"Ursine Vulpine & Annaca","Wicked Game"
20,"Nina Simone","Sinnerman"
21,"Chase & Status","Selecta (feat. Stefflon Don)"
22,"David Guetta","Titanium (feat. Sia)"
23,"Tyla","Water"
24,"Georgia Ku","A Little More Lost"
25,"Cameo","Candy"
26,"Sammy Virji","If U Need It"
27,"venbee","rampage (feat. DJ SS)"
28,"Jack Harlow","Lovin On Me"
29,"Songer","Toxic (Freestyle)"
30,"Jason Mraz","I Feel Like Dancing"
31,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
32,"Bishop Briggs","White Flag"
33,"Olivia Rodrigo","vampire"
34,"Ariana Grande","yes, and?"
35,"Bob Dylan","Buckets of Rain"
36,"One Direction","What Makes You Beautiful"
37,"HAAi, Jon Hopkins & KAM-BU","Always Ascending"
38,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
39,"Sophie Ellis-Bextor","Murder On The Dancefloor"
40,"Greg Brown","Spring Wind"
41,"Sabrina Carpenter","Feather"
42,"Kaeto","No Body"
43,"bbno$","edamame (feat. Rich Brian)"
44,"Rema","Calm Down"
45,"Kenya Grace","Strangers"
46,"ZERB & Sofiya Nzau","Mwaki"
47,"The Smile","Friend of a Friend"
48,"Patsy Cline","True Love (feat. The Jordanaires)"
49,"Quaker City Night Hawks","Beat the Machine"
50,"Cigarettes After Sex","Apocalypse"
