Shazam Top 50 Bristol
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Ella Henderson","Alibi (feat. Rudimental)"
7,"Lewis Capaldi","Strangers"
8,"Lynyrd Skynyrd","Simple Man"
9,"Songer","Toxic (Freestyle)"
10,"Ilsey","No California"
11,"Georgia Ku","A Little More Lost"
12,"Radiohead","Everything In Its Right Place"
13,"Billie Eilish","bury a friend"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Ursine Vulpine & Annaca","Wicked Game"
16,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
17,"Chase & Status","Selecta (feat. Stefflon Don)"
18,"Jack Harlow","Lovin On Me"
19,"Quaker City Night Hawks","Beat the Machine"
20,"Tomcraft","Loneliness (Radio Cut)"
21,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
22,"Jason Mraz","I Feel Like Dancing"
23,"Nina Simone","Sinnerman"
24,"Soul Coughing","Super Bon Bon"
25,"SBTRKT & Sampha","Living Like I Do"
26,"venbee","rampage (feat. DJ SS)"
27,"Becky Hill & Sonny Fodera","Never Be Alone"
28,"Ariana Grande","yes, and?"
29,"Kofi Nti & Ofori Amponsah","Odo nwom"
30,"goddard. & Cat Burns","Wasted Youth"
31,"Tyla","Water"
32,"Nicki Minaj","Pink Friday Girls"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"The Unthanks","Magpie"
35,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
36,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
37,"Bishop Briggs","White Flag"
38,"MGMT","Time to Pretend"
39,"David Guetta","Titanium (feat. Sia)"
40,"One Direction","What Makes You Beautiful"
41,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
42,"Zara Larsson & David Guetta","On My Love"
43,"Birdy","People Help the People"
44,"Sammy Virji","If U Need It"
45,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
46,"Lost Frequencies & Bastille","Head Down"
47,"Everything Everything","Cold Reactor"
48,"Kenya Grace","Strangers"
49,"The Last Dinner Party","Nothing Matters"
50,"Alicia Keys","Lifeline (From the Original Motion Picture “The Color Purple”)"
