Shazam Top 50 Cardiff
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Lewis Capaldi","Strangers"
6,"Lynyrd Skynyrd","Simple Man"
7,"Ella Henderson","Alibi (feat. Rudimental)"
8,"Jim James","State Of The Art (A.E.I.O.U.)"
9,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
10,"Ilsey","No California"
11,"Georgia Ku","A Little More Lost"
12,"Billie Eilish","bury a friend"
13,"Jason Mraz","I Feel Like Dancing"
14,"Jack Harlow","Lovin On Me"
15,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
16,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
17,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
18,"cassö, RAYE & D-Block Europe","Prada"
19,"Bishop Briggs","White Flag"
20,"Songer","Toxic (Freestyle)"
21,"Nina Simone","Sinnerman"
22,"Ursine Vulpine & Annaca","Wicked Game"
23,"Sophie Ellis-Bextor","Murder On The Dancefloor"
24,"Quaker City Night Hawks","Beat the Machine"
25,"Tyla","Water"
26,"Nicki Minaj","Pink Friday Girls"
27,"Sammy Virji","If U Need It"
28,"goddard. & Cat Burns","Wasted Youth"
29,"Ariana Grande","yes, and?"
30,"MGMT","Time to Pretend"
31,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
32,"Sabrina Carpenter","Feather"
33,"The Last Dinner Party","Nothing Matters"
34,"Biig Piig","Watch Me"
35,"Rema","Calm Down"
36,"venbee","rampage (feat. DJ SS)"
37,"Zara Larsson & David Guetta","On My Love"
38,"Radiohead","Everything In Its Right Place"
39,"The Unthanks","Magpie"
40,"Chase & Status","Selecta (feat. Stefflon Don)"
41,"Dua Lipa","Houdini"
42,"Tomcraft","Loneliness (Radio Cut)"
43,"One Direction","What Makes You Beautiful"
44,"Kofi Nti & Ofori Amponsah","Odo nwom"
45,"Birdy","People Help the People"
46,"Becky Hill & Sonny Fodera","Never Be Alone"
47,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
48,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
49,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
50,"Everything Everything","Cold Reactor"
