Shazam Top 50 Edinburgh
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Lewis Capaldi","Strangers"
6,"Lynyrd Skynyrd","Simple Man"
7,"Quaker City Night Hawks","Beat the Machine"
8,"Billie Eilish","bury a friend"
9,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
10,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
11,"Zara Larsson & David Guetta","On My Love"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Tomcraft","Loneliness (Radio Cut)"
14,"Georgia Ku","A Little More Lost"
15,"Birdy","People Help the People"
16,"Jason Mraz","I Feel Like Dancing"
17,"cassö, RAYE & D-Block Europe","Prada"
18,"Ilsey","No California"
19,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
20,"Ursine Vulpine & Annaca","Wicked Game"
21,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
22,"The Unthanks","Magpie"
23,"Bishop Briggs","White Flag"
24,"Nina Simone","Sinnerman"
25,"Olivia Rodrigo","vampire"
26,"Becky Hill & Sonny Fodera","Never Be Alone"
27,"MGMT","Time to Pretend"
28,"Radiohead","Everything In Its Right Place"
29,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
30,"P!nk","All Out Of Fight"
31,"The Handsome Family","Far from Any Road"
32,"Imany","Wonderful Life (Stream Jockey Rework)"
33,"Sia","Gimme Love"
34,"Paloma Faith","Bad Woman"
35,"Ella Henderson","Alibi (feat. Rudimental)"
36,"Jack Harlow","Lovin On Me"
37,"Ariana Grande","yes, and?"
38,"Patsy Cline","True Love (feat. The Jordanaires)"
39,"Dua Lipa","Houdini"
40,"The Snuts","Deep Diving"
41,"Chris Avantgarde & Red Rosamond","Inside"
42,"Jennifer Lopez","Can't Get Enough"
43,"Massive Attack","Teardrop"
44,"Cigarettes After Sex","Apocalypse"
45,"Soul Coughing","Super Bon Bon"
46,"Fred again.. & Baby Keem","leavemealone"
47,"Rema","Calm Down"
48,"James Arthur","Bitter Sweet Love"
49,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
50,"Barns Courtney","Glitter & Gold"
