Shazam Top 50 Glasgow
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Billie Eilish","bury a friend"
6,"Lynyrd Skynyrd","Simple Man"
7,"Lewis Capaldi","Strangers"
8,"Quaker City Night Hawks","Beat the Machine"
9,"The Unthanks","Magpie"
10,"Jason Mraz","I Feel Like Dancing"
11,"Zara Larsson & David Guetta","On My Love"
12,"Georgia Ku","A Little More Lost"
13,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
14,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
15,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
16,"Nina Simone","Sinnerman"
17,"Tomcraft","Loneliness (Radio Cut)"
18,"cassö, RAYE & D-Block Europe","Prada"
19,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
20,"Ursine Vulpine & Annaca","Wicked Game"
21,"Soul Coughing","Super Bon Bon"
22,"Becky Hill & Sonny Fodera","Never Be Alone"
23,"MGMT","Time to Pretend"
24,"Ilsey","No California"
25,"Olivia Rodrigo","vampire"
26,"Rema","Calm Down"
27,"Ariana Grande","yes, and?"
28,"The Handsome Family","Far from Any Road"
29,"Ella Henderson","Alibi (feat. Rudimental)"
30,"Bishop Briggs","White Flag"
31,"Sia","Gimme Love"
32,"Christopher","Fall So Hard"
33,"Massive Attack","Teardrop"
34,"Birdy","People Help the People"
35,"The Snuts","Deep Diving"
36,"Stereolab","Lo Boob Oscillator"
37,"Radiohead","Everything In Its Right Place"
38,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
39,"Andreas Johnson","Glorious"
40,"Jennifer Lopez","Can't Get Enough"
41,"P!nk","Try"
42,"Fred again.. & Baby Keem","leavemealone"
43,"Alexis Jordan","Happiness"
44,"Imany","Wonderful Life (Stream Jockey Rework)"
45,"Jefferson Airplane","White Rabbit"
46,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
47,"Hannah Laing & RoRo","Good Love"
48,"P!nk","All Out Of Fight"
49,"Nathan Evans","Heather On The Hill"
50,"Patsy Cline","True Love (feat. The Jordanaires)"
