Shazam Top 50 Leeds
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Ed Sheeran","Life Goes On"
3,"Noah Kahan","Stick Season"
4,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Lewis Capaldi","Strangers"
7,"Ilsey","No California"
8,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
9,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
10,"Quaker City Night Hawks","Beat the Machine"
11,"Fred again.. & Baby Keem","leavemealone"
12,"SBTRKT & Sampha","Living Like I Do"
13,"Billie Eilish","bury a friend"
14,"Lynyrd Skynyrd","Simple Man"
15,"Georgia Ku","A Little More Lost"
16,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
17,"Tomcraft","Loneliness (Radio Cut)"
18,"Ursine Vulpine & Annaca","Wicked Game"
19,"Zara Larsson & David Guetta","On My Love"
20,"cassö, RAYE & D-Block Europe","Prada"
21,"Jack Harlow","Lovin On Me"
22,"Ella Henderson","Alibi (feat. Rudimental)"
23,"Ariana Grande","yes, and?"
24,"Sammy Virji","If U Need It"
25,"Jason Mraz","I Feel Like Dancing"
26,"Sophie Ellis-Bextor","Murder On The Dancefloor"
27,"Bishop Briggs","White Flag"
28,"Tyla","Water"
29,"The Unthanks","Magpie"
30,"Kofi Nti & Ofori Amponsah","Odo nwom"
31,"The Last Dinner Party","Nothing Matters"
32,"Nina Simone","Sinnerman"
33,"Soul Coughing","Super Bon Bon"
34,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
35,"Alicia Keys","Lifeline (From the Original Motion Picture “The Color Purple”)"
36,"Songer","Toxic (Freestyle)"
37,"David Guetta","Titanium (feat. Sia)"
38,"Paul Russell","Lil Boo Thang"
39,"Becky Hill & Sonny Fodera","Never Be Alone"
40,"Radiohead","Everything In Its Right Place"
41,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
42,"Massive Attack","Teardrop"
43,"P!nk","Try"
44,"Barns Courtney","Glitter & Gold"
45,"MGMT","Time to Pretend"
46,"Rema","Calm Down"
47,"The Handsome Family","Far from Any Road"
48,"Patsy Cline","True Love (feat. The Jordanaires)"
49,"Pharrell Williams","Happy (From "Despicable Me 2")"
50,"Mason & Princess Superstar","Perfect (Exceeder)"
