Shazam Top 50 Liverpool
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Billie Eilish","bury a friend"
6,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
7,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
8,"cassö, RAYE & D-Block Europe","Prada"
9,"Lewis Capaldi","Strangers"
10,"Tomcraft","Loneliness (Radio Cut)"
11,"Lynyrd Skynyrd","Simple Man"
12,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
13,"Zara Larsson & David Guetta","On My Love"
14,"Ursine Vulpine & Annaca","Wicked Game"
15,"Jason Mraz","I Feel Like Dancing"
16,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
17,"Ilsey","No California"
18,"Jack Harlow","Lovin On Me"
19,"The Unthanks","Magpie"
20,"Massive Attack","Teardrop"
21,"Sophie Ellis-Bextor","Murder On The Dancefloor"
22,"Soul Coughing","Super Bon Bon"
23,"Quaker City Night Hawks","Beat the Machine"
24,"Fred again.. & Baby Keem","leavemealone"
25,"MGMT","Time to Pretend"
26,"SBTRKT & Sampha","Living Like I Do"
27,"Birdy","People Help the People"
28,"Becky Hill & Sonny Fodera","Never Be Alone"
29,"Ariana Grande","yes, and?"
30,"Radiohead","Everything In Its Right Place"
31,"Nina Simone","Sinnerman"
32,"Tyla","Water"
33,"Ella Henderson","Alibi (feat. Rudimental)"
34,"ZERB & Sofiya Nzau","Mwaki"
35,"Rema","Calm Down"
36,"Sabrina Carpenter","Feather"
37,"Bishop Briggs","White Flag"
38,"Georgia Ku","A Little More Lost"
39,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
40,"Plastic Bertrand","Ca Plane Pour Moi"
41,"Mason & Princess Superstar","Perfect (Exceeder)"
42,"Sia","Gimme Love"
43,"The Handsome Family","Far from Any Road"
44,"Cigarettes After Sex","Apocalypse"
45,"P!nk","Try"
46,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
47,"Dua Lipa","Houdini"
48,"Newera","Birds In The Sky"
49,"Kofi Nti & Ofori Amponsah","Odo nwom"
50,"MELON, Henry Hacking & Dance Fruits Music","Cool Kids"
