Shazam Top 50 London
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Kofi Nti & Ofori Amponsah","Odo nwom"
4,"SBTRKT & Sampha","Living Like I Do"
5,"Tyla","Water"
6,"Billie Eilish","bury a friend"
7,"Noah Kahan","Stick Season"
8,"Ed Sheeran","Life Goes On"
9,"Jack Harlow","Lovin On Me"
10,"Fred again.. & Baby Keem","leavemealone"
11,"Tomcraft","Loneliness (Radio Cut)"
12,"Bitty McLean","Walk Away From Love"
13,"The Unthanks","Magpie"
14,"Bitty McLean","Walk Away (Dub Mix)"
15,"Nina Simone","Sinnerman"
16,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
17,"Sophie Ellis-Bextor","Murder On The Dancefloor"
18,"Radiohead","Everything In Its Right Place"
19,"Lynyrd Skynyrd","Simple Man"
20,"Ella Henderson","Alibi (feat. Rudimental)"
21,"Kenya Grace","Strangers"
22,"Ariana Grande","yes, and?"
23,"Ursine Vulpine & Annaca","Wicked Game"
24,"cassö, RAYE & D-Block Europe","Prada"
25,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
26,"MGMT","Time to Pretend"
27,"Rema","Calm Down"
28,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
29,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
30,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
31,"Busy Signal","Stay So"
32,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
33,"Lewis Capaldi","Strangers"
34,"Cameo","Candy"
35,"Quaker City Night Hawks","Beat the Machine"
36,"Bishop Briggs","White Flag"
37,"Tate McRae","greedy"
38,"Soul Coughing","Super Bon Bon"
39,"RAYE","Worth It."
40,"Lyrical Lemonade & Dave","Stop Giving Me Advice (feat. Jack Harlow)"
41,"Songer","Toxic (Freestyle)"
42,"Birdy","People Help the People"
43,"Jason Mraz","I Feel Like Dancing"
44,"Imany","Wonderful Life (Stream Jockey Rework)"
45,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
46,"ZERB & Sofiya Nzau","Mwaki"
47,"Peggy Gou","(It Goes Like) Nanana (Edit)"
48,"Ilsey","No California"
49,"21 Savage","redrum"
50,"Labi Siffre","Crying, Laughing, Loving, Lying"
