Shazam Top 50 Manchester
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Ed Sheeran","Life Goes On"
3,"Noah Kahan","Stick Season"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
6,"Billie Eilish","bury a friend"
7,"SBTRKT & Sampha","Living Like I Do"
8,"Lewis Capaldi","Strangers"
9,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
10,"Fred again.. & Baby Keem","leavemealone"
11,"Lynyrd Skynyrd","Simple Man"
12,"Ilsey","No California"
13,"Ella Henderson","Alibi (feat. Rudimental)"
14,"Tomcraft","Loneliness (Radio Cut)"
15,"Kofi Nti & Ofori Amponsah","Odo nwom"
16,"Jack Harlow","Lovin On Me"
17,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
18,"Ursine Vulpine & Annaca","Wicked Game"
19,"Jason Mraz","I Feel Like Dancing"
20,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
21,"Quaker City Night Hawks","Beat the Machine"
22,"Georgia Ku","A Little More Lost"
23,"Sammy Virji","If U Need It"
24,"cassö, RAYE & D-Block Europe","Prada"
25,"The Unthanks","Magpie"
26,"Ariana Grande","yes, and?"
27,"Tyla","Water"
28,"Nina Simone","Sinnerman"
29,"Sophie Ellis-Bextor","Murder On The Dancefloor"
30,"Radiohead","Everything In Its Right Place"
31,"Zara Larsson & David Guetta","On My Love"
32,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
33,"MGMT","Time to Pretend"
34,"Cameo","Candy"
35,"Massive Attack","Teardrop"
36,"P!nk","Try"
37,"Bishop Briggs","White Flag"
38,"The Handsome Family","Far from Any Road"
39,"Soul Coughing","Super Bon Bon"
40,"Birdy","People Help the People"
41,"ZERB & Sofiya Nzau","Mwaki"
42,"Sabrina Carpenter","Feather"
43,"Liam Gallagher & John Squire","Just Another Rainbow"
44,"Lyrical Lemonade & Dave","Stop Giving Me Advice (feat. Jack Harlow)"
45,"The Last Dinner Party","Nothing Matters"
46,"Songer","Toxic (Freestyle)"
47,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
48,"Newera","Birds In The Sky"
49,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
50,"Paul Russell","Lil Boo Thang"
