Shazam Top 50 Newcastle upon Tyne
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Ed Sheeran","Life Goes On"
3,"Noah Kahan","Stick Season"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
6,"Lewis Capaldi","Strangers"
7,"Billie Eilish","bury a friend"
8,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
9,"Lynyrd Skynyrd","Simple Man"
10,"Quaker City Night Hawks","Beat the Machine"
11,"The Unthanks","Magpie"
12,"cassö, RAYE & D-Block Europe","Prada"
13,"Zara Larsson & David Guetta","On My Love"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Jason Mraz","I Feel Like Dancing"
16,"Georgia Ku","A Little More Lost"
17,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
18,"Ilsey","No California"
19,"Fred again.. & Baby Keem","leavemealone"
20,"Ursine Vulpine & Annaca","Wicked Game"
21,"Radiohead","Everything In Its Right Place"
22,"Nina Simone","Sinnerman"
23,"Sabrina Carpenter","Feather"
24,"Ella Henderson","Alibi (feat. Rudimental)"
25,"Olivia Rodrigo","vampire"
26,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
27,"Jennifer Lopez","Can't Get Enough"
28,"Sophie Ellis-Bextor","Murder On The Dancefloor"
29,"Becky Hill & Sonny Fodera","Never Be Alone"
30,"Tomcraft","Loneliness (Radio Cut)"
31,"P!nk","All Out Of Fight"
32,"Jack Harlow","Lovin On Me"
33,"Ariana Grande","yes, and?"
34,"Lock 'n Load","Blow Ya Mind (Club Caviar Radio Edit)"
35,"Dua Lipa","Houdini"
36,"Liam Gallagher & John Squire","Just Another Rainbow"
37,"Bishop Briggs","White Flag"
38,"MGMT","Time to Pretend"
39,"Christopher","Fall So Hard"
40,"N-Trance","Set You Free"
41,"Soul Coughing","Super Bon Bon"
42,"Tyla","Water"
43,"Sia","Gimme Love"
44,"SBTRKT & Sampha","Living Like I Do"
45,"Fred again.. & Obongjayar","adore u"
46,"Patsy Cline","True Love (feat. The Jordanaires)"
47,"P!nk","Try"
48,"Paul Russell","Lil Boo Thang"
49,"Chris Avantgarde & Red Rosamond","Inside"
50,"Massive Attack","Teardrop"
