Shazam Top 50 Portsmouth
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Ella Henderson","Alibi (feat. Rudimental)"
6,"Lewis Capaldi","Strangers"
7,"Lynyrd Skynyrd","Simple Man"
8,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
9,"Jim James","State Of The Art (A.E.I.O.U.)"
10,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
11,"Billie Eilish","bury a friend"
12,"Jason Mraz","I Feel Like Dancing"
13,"venbee","rampage (feat. DJ SS)"
14,"Chase & Status","Selecta (feat. Stefflon Don)"
15,"Tomcraft","Loneliness (Radio Cut)"
16,"Ursine Vulpine & Annaca","Wicked Game"
17,"Jack Harlow","Lovin On Me"
18,"SBTRKT & Sampha","Living Like I Do"
19,"Ilsey","No California"
20,"Georgia Ku","A Little More Lost"
21,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
22,"Radiohead","Everything In Its Right Place"
23,"RAYE","Worth It."
24,"Songer","Toxic (Freestyle)"
25,"The Unthanks","Magpie"
26,"Quaker City Night Hawks","Beat the Machine"
27,"Sammy Virji","If U Need It"
28,"Kenya Grace","Strangers"
29,"Nina Simone","Sinnerman"
30,"Zara Larsson & David Guetta","On My Love"
31,"Ariana Grande","yes, and?"
32,"Soul Coughing","Super Bon Bon"
33,"Sabrina Carpenter","Feather"
34,"goddard. & Cat Burns","Wasted Youth"
35,"Paul Russell","Lil Boo Thang"
36,"MGMT","Time to Pretend"
37,"The Last Dinner Party","Nothing Matters"
38,"Bishop Briggs","White Flag"
39,"cassö, RAYE & D-Block Europe","Prada"
40,"Curtis Mayfield","Move On Up"
41,"Dua Lipa","Houdini"
42,"Olivia Rodrigo","vampire"
43,"One Direction","What Makes You Beautiful"
44,"Imany","Wonderful Life (Stream Jockey Rework)"
45,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
46,"Sophie Ellis-Bextor","Murder On The Dancefloor"
47,"Birdy","People Help the People"
48,"Kofi Nti & Ofori Amponsah","Odo nwom"
49,"Tate McRae","greedy"
50,"Tyla","Water"
