Shazam Top 200 United Kingdom Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Noah Kahan","Stick Season"
3,"Ed Sheeran","Life Goes On"
4,"Fred again.. & Baby Keem","leavemealone"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Eliza Rose & Calvin Harris","Body Moving (Extended)"
7,"Lewis Capaldi","Strangers"
8,"Ella Henderson","Alibi (feat. Rudimental)"
9,"Jack Harlow","Lovin On Me"
10,"Sophie Ellis-Bextor","Murder On The Dancefloor"
11,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
12,"Lynyrd Skynyrd","Simple Man"
13,"Billie Eilish","bury a friend"
14,"Tomcraft","Loneliness (Radio Cut)"
15,"Billy Gillies","DNA (Loving You) [feat. Hannah Boleyn]"
16,"Tyla","Water"
17,"Georgia Ku","A Little More Lost"
18,"SBTRKT & Sampha","Living Like I Do"
19,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
20,"Ilsey","No California"
21,"Kofi Nti & Ofori Amponsah","Odo nwom"
22,"Ariana Grande","yes, and?"
23,"cassö, RAYE & D-Block Europe","Prada"
24,"Sonny Fodera & MK","Asking (feat. Clementine Douglas)"
25,"Ursine Vulpine & Annaca","Wicked Game"
26,"MGMT","Time to Pretend"
27,"Jason Mraz","I Feel Like Dancing"
28,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
29,"Quaker City Night Hawks","Beat the Machine"
30,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
31,"Songer","Toxic (Freestyle)"
32,"He Is We","I Wouldn't Mind"
33,"Radiohead","Everything In Its Right Place"
34,"Zara Larsson & David Guetta","On My Love"
35,"Kenya Grace","Strangers"
36,"Chase & Status","Selecta (feat. Stefflon Don)"
37,"The Unthanks","Magpie"
38,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
39,"Nina Simone","Sinnerman"
40,"venbee","rampage (feat. DJ SS)"
41,"Sherine","Sabry 'Aalil"
42,"Sammy Virji","If U Need It"
43,"Rema","Calm Down"
44,"Tate McRae","greedy"
45,"21 Savage","redrum"
46,"Sabrina Carpenter","Feather"
47,"Yamê","Bécane - A Colors Show"
48,"RAYE","Worth It."
49,"Bishop Briggs","White Flag"
50,"Afsana Khan","Koi Si"
51,"Soul Coughing","Super Bon Bon"
52,"ZERB & Sofiya Nzau","Mwaki"
53,"Lyrical Lemonade & Dave","Stop Giving Me Advice (feat. Jack Harlow)"
54,"Chris Brown","Angel Numbers / Ten Toes"
55,"Dua Lipa","Houdini"
56,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
57,"One Direction","What Makes You Beautiful"
58,"Mason & Princess Superstar","Perfect (Exceeder)"
59,"Birdy","People Help the People"
60,"Paul Russell","Lil Boo Thang"
61,"Nicki Minaj","Pink Friday Girls"
62,"The Last Dinner Party","Nothing Matters"
63,"Olivia Rodrigo","vampire"
64,"Flo Milli","Never Lose Me"
65,"Natasha Bedingfield","Unwritten"
66,"Giggs","Incredible Sauce (feat. Dave)"
67,"D-Block Europe","Eagle"
68,"David Guetta","Titanium (feat. Sia)"
69,"Cleffy","Meet you at the Graveyard"
70,"Becky Hill & Sonny Fodera","Never Be Alone"
71,"Massive Attack","Teardrop"
72,"goddard. & Cat Burns","Wasted Youth"
73,"Belters Only, Sonny Fodera & Jazzy","Life Lesson"
74,"P!nk","Try"
75,"Edward Maya & Vika Jigulina","Stereo Love"
76,"Cameo","Candy"
77,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
78,"Flume","Never Be Like You (feat. KAI)"
79,"Bitty McLean","Walk Away (Dub Mix)"
80,"Peggy Gou","(It Goes Like) Nanana (Edit)"
81,"YG Marley","Praise Jah In the Moonlight"
82,"Jennifer Lopez","Can't Get Enough"
83,"Disclosure","You & Me (feat. Eliza Doolittle) [Rivo Remix]"
84,"4batz","Act ii: Date @ 8"
85,"LXNGVX","Montagem Mysterious Game"
86,"Chase & Status & Bou","Baddadan (feat. IRah, Flowdan, Trigga & Takura)"
87,"Curtis Mayfield","Move On Up"
88,"Bitty McLean","Walk Away From Love"
89,"Taylor Swift","Cruel Summer"
90,"Doja Cat","Agora Hills"
91,"Cigarettes After Sex","Apocalypse"
92,"LeAnn Rimes","Can't Fight the Moonlight"
93,"Cartel de Santa","Shorty Party (feat. La Kelly)"
94,"The Handsome Family","Far from Any Road"
95,"Empire of the Sun","We Are The People"
96,"Plastic Bertrand","Ca Plane Pour Moi"
97,"Imany","Wonderful Life (Stream Jockey Rework)"
98,"Biig Piig","Watch Me"
99,"Everything Everything","Cold Reactor"
100,"Alicia Keys","Lifeline (From the Original Motion Picture “The Color Purple”)"
101,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
102,"Tate McRae","exes"
103,"Spice Girls","Stop"
104,"Princess Superstar & Mason","Perfect (Exceeder) [Mixed]"
105,"Chris Avantgarde & Red Rosamond","Inside"
106,"Barns Courtney","Glitter & Gold"
107,"Liam Gallagher & John Squire","Just Another Rainbow"
108,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
109,"Pharrell Williams","Happy (From "Despicable Me 2")"
110,"bbno$","edamame (feat. Rich Brian)"
111,"Jungle","Busy Earnin'"
112,"Cat Burns","know that you're not alone (acoustic)"
113,"Newera","Birds In The Sky"
114,"Patsy Cline","True Love (feat. The Jordanaires)"
115,"Stromae","Formidable"
116,"Benson Boone","Beautiful Things"
117,"Jefferson Airplane","White Rabbit"
118,"Becky Hill & Chase & Status","Disconnect"
119,"Busy Signal","Stay So"
120,"Jungle","Back On 74"
121,"Ocean Alley","Confidence"
122,"Sia","Gimme Love"
123,"Tom Odell","Another Love"
124,"Fred again.. & Obongjayar","adore u"
125,"Otis Redding","I've Been Loving You Too Long"
126,"Stereolab","Lo Boob Oscillator"
127,"Lil Nas X","J CHRIST"
128,"лампабикт & Элли на маковом поле","немерено"
129,"Travis Scott","MY EYES"
130,"Christopher","Fall So Hard"
131,"Bloc Party","This Modern Love"
132,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
133,"Clams Casino & Imogen Heap","I'm God"
134,"Jax Jones, D.O.D & Ina Wroldsen","Won't Forget You"
135,"Sigma","Adrenaline Rush (feat. Morgan)"
136,"Alok & Bebe Rexha","Deep In Your Love"
137,"Katya Lel","Мой мармеладный (Я не права)"
138,"Nicki Minaj","Needle (feat. Drake)"
139,"KOREL & NEEL","Она делит вайб"
140,"Central Cee","Entrapreneur"
141,"Labi Siffre","Watch Me"
142,"The Crutch","Keep on Risin'"
143,"Lost Frequencies & Bastille","Head Down"
144,"Kendrick Lamar","Swimming Pools (Drank)"
145,"Bronski Beat","Smalltown Boy"
146,"Troye Sivan","One Of Your Girls"
147,"Nathan Dawe & Bebe Rexha","Heart Still Beating"
148,"Anne-Marie","UNHEALTHY (feat. Shania Twain)"
149,"Calvin Harris & Ellie Goulding","Miracle"
150,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
151,"Sunstroke Project","Run Away (feat. Olia Tira)"
152,"Ed Sheeran","Bad Habits"
153,"Madison Beer","Sweet Relief"
154,"James Arthur","Impossible"
155,"Sam Fender","Seventeen Going Under"
156,"Loreen","Tattoo"
157,"Mary J. Blige","Family Affair"
158,"The Cult","She Sells Sanctuary"
159,"George Michael","Careless Whisper"
160,"Mitski","My Love Mine All Mine"
161,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
162,"Tyla","Truth or Dare"
163,"Cat Burns","you don't love me anymore"
164,"Galwaro & Karl8 & Andrea Monta","Mucho Mambo (Sway)"
165,"Victor Ray","Comfortable"
166,"Wilkinson & Kelli-Leigh","This Moment"
167,"Campbell & Alcemist","Would You (go to bed with me?)"
168,"ADAM","Zhurek"
169,"M83","Midnight City"
170,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
171,"Katy Perry","Hot N Cold"
172,"Justin Timberlake","CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS")"
173,"Lady Gaga","Paparazzi"
174,"Fleetwood Mac","Everywhere"
175,"Maroon 5","Payphone (feat. Wiz Khalifa)"
176,"Jonas Brothers","Strong Enough (feat. Bailey Zimmerman)"
177,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
178,"Harry Styles","Adore You"
179,"Miley Cyrus","Flowers"
180,"Bruno Mars","Locked Out of Heaven"
181,"P!nk","Raise Your Glass"
182,"Sukha, Chani Nattan & prodGK","8 ASLE (feat. Gurlej Akhtar)"
183,"Paul Weller","You Do Something To Me"
184,"Europe","The Final Countdown"
185,"Drake","Practice"
186,"DYSTINCT","La"
187,"Billy Joel","Piano Man"
188,"Doja Cat","Paint The Town Red"
189,"Tems","Not An Angel"
190,"Mick Jagger","Strange Game (From The ATV+ Original Series "Slow Horses”)"
191,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
192,"Tita Lau","I Can't Take No More"
193,"Michael Marcagi","Scared To Start"
194,"Burna Boy","City Boys"
195,"Andreas Johnson","Glorious"
196,"Kenya Grace","Paris"
197,"Lady Gaga","Always Remember Us This Way"
198,"HELLMATE, Santiago & Carlitos & Chantal Lewis-Brown","Show Me Love (Extended Mix)"
199,"KALEO","Way Down We Go"
200,"P!nk","All Out Of Fight"
