Shazam Top 50 Atlanta
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jack Harlow","Lovin On Me"
2,"Doe Boy","Way Too Long"
3,"Muni Long","Made For Me"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Tyla","Water"
6,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
7,"Doja Cat","Agora Hills"
8,"Fridayy","When It Comes To You"
9,"Victoria Monét","On My Mama"
10,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
11,"Offset & Don Toliver","WORTH IT"
12,"October London","Back to your Place"
13,"Teddy Swims","Lose Control"
14,"Mary J. Blige & Vado","Still Believe In Love"
15,"Brent Faiyaz","WY@"
16,"Chris Brown","Sensational (feat. Davido & Lojay)"
17,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
18,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
19,"Rob49, Skilla Baby & Tay B","Mama"
20,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
21,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
22,"Billie Eilish","bury a friend"
23,"USHER, Summer Walker & 21 Savage","Good Good"
24,"21 Savage","redrum"
25,"2 Chainz, Lil Wayne & USHER","Transparency"
26,"310babii","Soak City (Do it)"
27,"Key Glock","Let's Go"
28,"Tems","Me & U"
29,"Kenya Grace","Strangers"
30,"Beyoncé","MY HOUSE"
31,"Lola Brooke","You (feat. Bryson Tiller)"
32,"Drake","First Person Shooter (feat. J. Cole)"
33,"Nicki Minaj","FTCU"
34,"Quavo & Future","Turn Yo Clic Up"
35,"Soul Coughing","Super Bon Bon"
36,"SZA","Snooze"
37,"Curtis Mayfield","Move On Up"
38,"Hunxho","Your Friends"
39,"Lucky Daye","That's You"
40,"Lynyrd Skynyrd","Simple Man"
41,"The Unthanks","Magpie"
42,"Rema","Calm Down"
43,"Coco Jones","ICU"
44,"Skilla Baby","Bae"
45,"Lil Baby","350"
46,"Doja Cat","Paint The Town Red"
47,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
48,"Paul Russell","Lil Boo Thang"
49,"Tate McRae","greedy"
50,"Drake","You Broke My Heart"
