Shazam Top 50 Chicago
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Doe Boy","Way Too Long"
3,"Teddy Swims","Lose Control"
4,"Jack Harlow","Lovin On Me"
5,"Billie Eilish","bury a friend"
6,"Tyla","Water"
7,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
8,"Doja Cat","Agora Hills"
9,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
10,"Brent Faiyaz","WY@"
11,"Sophie Ellis-Bextor","Murder On The Dancefloor"
12,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
13,"The Unthanks","Magpie"
14,"SZA","Snooze"
15,"Lynyrd Skynyrd","Simple Man"
16,"Tate McRae","greedy"
17,"Kenya Grace","Strangers"
18,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
19,"USHER, Summer Walker & 21 Savage","Good Good"
20,"Kenya Vaun","Summer"
21,"Quaker City Night Hawks","Beat the Machine"
22,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
23,"Rob49, Skilla Baby & Tay B","Mama"
24,"Soul Coughing","Super Bon Bon"
25,"Christine and the Queens","Full of life"
26,"Offset & Don Toliver","WORTH IT"
27,"Muni Long","Made For Me"
28,"Doja Cat","Paint The Town Red"
29,"Beyoncé","MY HOUSE"
30,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
31,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
32,"Xavi","La Diabla"
33,"Nicki Minaj","FTCU"
34,"Rema","Calm Down"
35,"Tems","Me & U"
36,"October London","Back to your Place"
37,"Drake","First Person Shooter (feat. J. Cole)"
38,"Ariana Grande","yes, and?"
39,"Chris Brown","Sensational (feat. Davido & Lojay)"
40,"21 Savage","redrum"
41,"Curtis Mayfield","Move On Up"
42,"Victoria Monét","On My Mama"
43,"Dua Lipa","Houdini"
44,"Olivia Rodrigo","vampire"
45,"Fridayy","When It Comes To You"
46,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
47,"Chicago","25 Or 6 To 4"
48,"Fuerza Regida & Marshmello","HARLEY QUINN"
49,"Paul Russell","Lil Boo Thang"
50,"Tems","Free Mind"
