Shazam Top 50 Columbia
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jack Harlow","Lovin On Me"
2,"Fridayy","When It Comes To You"
3,"Muni Long","Made For Me"
4,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
5,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
6,"Teddy Swims","Lose Control"
7,"Doe Boy","Way Too Long"
8,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
9,"October London","Back to your Place"
10,"Mary J. Blige & Vado","Still Believe In Love"
11,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
12,"Maeta","Through The Night (feat. Free Nationals)"
13,"Victoria Monét","On My Mama"
14,"Rob49, Skilla Baby & Tay B","Mama"
15,"Kenya Vaun","Summer"
16,"2 Chainz, Lil Wayne & USHER","Transparency"
17,"Louis York & Anthony Hamilton","Alone A Lot"
18,"Beyoncé","MY HOUSE"
19,"Doja Cat","Agora Hills"
20,"Offset & Don Toliver","WORTH IT"
21,"Brent Faiyaz","WY@"
22,"310babii","Soak City (Do it)"
23,"Tyla","Water"
24,"Lizzen","Why"
25,"USHER, Summer Walker & 21 Savage","Good Good"
26,"Key Glock","Let's Go"
27,"Lola Brooke","You (feat. Bryson Tiller)"
28,"Drake","First Person Shooter (feat. J. Cole)"
29,"Kenny Lattimore","Never Knew"
30,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
31,"SZA","Snooze"
32,"Loui & NLE Choppa","No Distractions"
33,"Morgan Wallen","Last Night"
34,"Hunxho","Your Friends"
35,"Jim James","State Of The Art (A.E.I.O.U.)"
36,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
37,"Brooks & Dunn","Neon Moon"
38,"Lil Durk","All My Life (feat. J. Cole)"
39,"J.Howell","Why You Love Me (feat. Dondria)"
40,"Soul Coughing","Super Bon Bon"
41,"Chris Brown","Sensational (feat. Davido & Lojay)"
42,"USHER","Yeah! (feat. Lil Jon & Ludacris)"
43,"Chayce Beckham","23"
44,"Avery Wilson","Kiss the Sky"
45,"Kevin Gates","Yonce Freestyle (feat. B.G. & Sexyy Red)"
46,"Nicki Minaj","FTCU"
47,"21 Savage, Travis Scott & Metro Boomin","née-nah"
48,"Prince","When Doves Cry"
49,"Noah Kahan","Stick Season"
50,"Morgan Wallen","Thinkin’ Bout Me"
