Shazam Top 50 Columbus
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Teddy Swims","Lose Control"
4,"Jack Harlow","Lovin On Me"
5,"Doja Cat","Agora Hills"
6,"Billie Eilish","bury a friend"
7,"Quaker City Night Hawks","Beat the Machine"
8,"Lynyrd Skynyrd","Simple Man"
9,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
10,"The Unthanks","Magpie"
11,"21 Savage, Travis Scott & Metro Boomin","née-nah"
12,"Shinedown","A Symptom Of Being Human"
13,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
14,"Soul Coughing","Super Bon Bon"
15,"blink-182","ONE MORE TIME"
16,"Noah Kahan","Stick Season"
17,"Jelly Roll","Save Me (with Lainey Wilson)"
18,"Victoria Monét","On My Mama"
19,"Fridayy","When It Comes To You"
20,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
21,"Kenya Grace","Strangers"
22,"Doja Cat","Paint The Town Red"
23,"Tate McRae","greedy"
24,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
25,"Chris Stapleton","White Horse"
26,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
27,"Nicki Minaj","FTCU"
28,"Dierks Bentley","What Was I Thinkin'"
29,"Papa Roach","Leave a Light On (Talk Away The Dark)"
30,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
31,"Chayce Beckham","23"
32,"Drake","First Person Shooter (feat. J. Cole)"
33,"Sophie Ellis-Bextor","Murder On The Dancefloor"
34,"2 Chainz, Lil Wayne & USHER","Transparency"
35,"Rob49, Skilla Baby & Tay B","Mama"
36,"Tyla","Water"
37,"The Handsome Family","Far from Any Road"
38,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
39,"USHER, Summer Walker & 21 Savage","Good Good"
40,"Lola Brooke","You (feat. Bryson Tiller)"
41,"Zac Brown Band","Chicken Fried"
42,"George Birge","Mind On You"
43,"David Kushner","Daylight"
44,"The Last Dinner Party","Nothing Matters"
45,"310babii","Soak City (Do it)"
46,"Brent Faiyaz","WY@"
47,"The Contours","Do You Love Me"
48,"Christine and the Queens","Full of life"
49,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
50,"Holly Dunn","Daddy's Hands"
