Shazam Top 50 Detroit
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jack Harlow","Lovin On Me"
3,"Teddy Swims","Lose Control"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Tyla","Water"
6,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
7,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
8,"USHER, Summer Walker & 21 Savage","Good Good"
9,"Billie Eilish","bury a friend"
10,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
11,"Victoria Monét","On My Mama"
12,"Doja Cat","Agora Hills"
13,"October London","Back to your Place"
14,"310babii","Soak City (Do it)"
15,"Muni Long","Made For Me"
16,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
17,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
18,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
19,"Quaker City Night Hawks","Beat the Machine"
20,"Paul Russell","Lil Boo Thang"
21,"Soul Coughing","Super Bon Bon"
22,"Mary J. Blige & Vado","Still Believe In Love"
23,"Kenya Vaun","Summer"
24,"Fridayy","When It Comes To You"
25,"Chicago","25 Or 6 To 4"
26,"Lynyrd Skynyrd","Simple Man"
27,"Lil Nas X","J CHRIST"
28,"SZA","Snooze"
29,"2 Chainz, Lil Wayne & USHER","Transparency"
30,"The Unthanks","Magpie"
31,"Drake","First Person Shooter (feat. J. Cole)"
32,"Trick Trick","Welcome 2 Detroit (feat. Eminem) [Explicit]"
33,"Chris Brown","Sensational (feat. Davido & Lojay)"
34,"Noah Kahan","Stick Season"
35,"Rob49, Skilla Baby & Tay B","Mama"
36,"Offset & Don Toliver","WORTH IT"
37,"Jelly Roll","Save Me (with Lainey Wilson)"
38,"Tate McRae","greedy"
39,"Grand Funk Railroad","I'm Your Captain (Closer to Home)"
40,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
41,"Doja Cat","Paint The Town Red"
42,"Olivia Rodrigo","get him back!"
43,"Beyoncé","MY HOUSE"
44,"Chris Stapleton","White Horse"
45,"Sophie Ellis-Bextor","Murder On The Dancefloor"
46,"Luke Combs","Fast Car"
47,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
48,"Travis Scott","I KNOW ?"
49,"Lola Brooke","You (feat. Bryson Tiller)"
50,"blink-182","ONE MORE TIME"
