Shazam Top 50 El Paso
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Fuerza Regida & Marshmello","HARLEY QUINN"
2,"Xavi","La Diabla"
3,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
4,"Doja Cat","Agora Hills"
5,"Jack Harlow","Lovin On Me"
6,"Teddy Swims","Lose Control"
7,"Sophie Ellis-Bextor","Murder On The Dancefloor"
8,"Doe Boy","Way Too Long"
9,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
10,"Xavi","La Víctima"
11,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
12,"Eden Muñoz","Como En Los Viejos Tiempos"
13,"Tyla","Water"
14,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
15,"Arcángel & Grupo Frontera","ALV"
16,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
17,"Jelly Roll","Save Me (with Lainey Wilson)"
18,"Travis Scott","I KNOW ?"
19,"Tate McRae","greedy"
20,"blink-182","ONE MORE TIME"
21,"Peso Pluma & Anitta","BELLAKEO"
22,"Kenya Grace","Strangers"
23,"Paul Russell","Lil Boo Thang"
24,"Julión Álvarez y su Norteño Banda","Lo Tienes Todo"
25,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
26,"Lynyrd Skynyrd","Simple Man"
27,"Nicki Minaj","FTCU"
28,"Jim James","State Of The Art (A.E.I.O.U.)"
29,"Billie Eilish","bury a friend"
30,"Luke Combs","Fast Car"
31,"El Fantasma","El Exitoso"
32,"Rema","Calm Down"
33,"Miley Cyrus","Flowers"
34,"La Fiera de Ojinaga","Neta Que No"
35,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
36,"Bad Bunny","MONACO"
37,"Myke Towers","LA FALDA"
38,"Taylor Swift","Cruel Summer"
39,"Chayce Beckham","23"
40,"Warren Zeiders","Pretty Little Poison"
41,"Junior H","Y LLORO"
42,"Morgan Wallen","Last Night"
43,"Scotty McCreery","Cab In A Solo"
44,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
45,"Carin Leon","La Primera Cita"
46,"Olivia Rodrigo","vampire"
47,"Dua Lipa","Houdini"
48,"Olivia Rodrigo","get him back!"
49,"USHER, Summer Walker & 21 Savage","Good Good"
50,"FISHER & Kita Alexander","Atmosphere"
