Shazam Top 50 Fresno
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Fuerza Regida & Marshmello","HARLEY QUINN"
2,"Doja Cat","Agora Hills"
3,"Doe Boy","Way Too Long"
4,"Teddy Swims","Lose Control"
5,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
6,"Jack Harlow","Lovin On Me"
7,"Tyla","Water"
8,"2 Chainz, Lil Wayne & USHER","Transparency"
9,"Jelly Roll","Save Me (with Lainey Wilson)"
10,"310babii","Soak City (Do it)"
11,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
12,"Victoria Monét","On My Mama"
13,"Xavi","La Diabla"
14,"Peso Pluma & Anitta","BELLAKEO"
15,"A Boogie wit da Hoodie","Did Me Wrong"
16,"Tyga, YG & Lil Wayne","Brand New"
17,"Drake","First Person Shooter (feat. J. Cole)"
18,"Jim James","State Of The Art (A.E.I.O.U.)"
19,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
20,"Nicki Minaj","FTCU"
21,"Billie Eilish","bury a friend"
22,"Warren Zeiders","Pretty Little Poison"
23,"Chris Stapleton","White Horse"
24,"Paul Russell","Lil Boo Thang"
25,"Eden Muñoz","Como En Los Viejos Tiempos"
26,"blink-182","ONE MORE TIME"
27,"Travis Scott","I KNOW ?"
28,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
29,"Offset & Don Toliver","WORTH IT"
30,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
31,"E-40, Larry June & Clyde Carson","GPS"
32,"Lil Nas X","J CHRIST"
33,"KAROL G & Peso Pluma","QLONA"
34,"October London","Back to your Place"
35,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
36,"Xavi","La Víctima"
37,"Lynyrd Skynyrd","Simple Man"
38,"Shinedown","A Symptom Of Being Human"
39,"Nate Smith","World on Fire"
40,"Tate McRae","greedy"
41,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
42,"Chayce Beckham","23"
43,"SZA","Snooze"
44,"Junior H","Y LLORO"
45,"Luke Combs","Fast Car"
46,"Sleepy Hallow","A N X I E T Y (feat. Doechii)"
47,"Luke Combs","Where the Wild Things Are"
48,"Quaker City Night Hawks","Beat the Machine"
49,"Morgan Wallen","Last Night"
50,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
