Shazam Top 50 Houston
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jack Harlow","Lovin On Me"
3,"Teddy Swims","Lose Control"
4,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"310babii","Soak City (Do it)"
7,"The Red Clay Strays","Wondering Why"
8,"BigXthaPlug","Texas"
9,"Tyla","Water"
10,"Billie Eilish","bury a friend"
11,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
12,"Victoria Monét","On My Mama"
13,"USHER, Summer Walker & 21 Savage","Good Good"
14,"That Mexican OT, Paul Wall & DRODi","Johnny Dang"
15,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
16,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
17,"Xavi","La Diabla"
18,"Lynyrd Skynyrd","Simple Man"
19,"October London","Back to your Place"
20,"Muni Long","Made For Me"
21,"Doja Cat","Agora Hills"
22,"The Outfield","Your Love"
23,"21 Savage, Travis Scott & Metro Boomin","née-nah"
24,"Bon Jovi","Livin' On a Prayer"
25,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
26,"Journey","Don't Stop Believin'"
27,"Tate McRae","greedy"
28,"Chris Brown","Sensational (feat. Davido & Lojay)"
29,"Soul Coughing","Super Bon Bon"
30,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
31,"J. Brown","My Whole Heart"
32,"Offset & Don Toliver","WORTH IT"
33,"Fridayy","When It Comes To You"
34,"Jelly Roll","Save Me (with Lainey Wilson)"
35,"Bad Bunny","MONACO"
36,"AC/DC","You Shook Me All Night Long"
37,"Beastie Boys","Fight for Your Right"
38,"Morenito De Fuego & Secretto","Estás Bien Bonita (Duet Version)"
39,"SZA","Snooze"
40,"Kenya Grace","Strangers"
41,"Quaker City Night Hawks","Beat the Machine"
42,"Key Glock","Let's Go"
43,"Morgan Wallen","Thinkin’ Bout Me"
44,"Steve Miller Band","The Joker"
45,"Curtis Mayfield","Move On Up"
46,"Jelly Roll","Need A Favor"
47,"Guns N' Roses","Sweet Child O' Mine"
48,"Nickelback","How You Remind Me"
49,"Drake","First Person Shooter (feat. J. Cole)"
50,"Coco Jones","ICU"
