Shazam Top 50 Indianapolis
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Teddy Swims","Lose Control"
3,"Jack Harlow","Lovin On Me"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
6,"Billie Eilish","bury a friend"
7,"Doja Cat","Agora Hills"
8,"Soul Coughing","Super Bon Bon"
9,"Quaker City Night Hawks","Beat the Machine"
10,"4 Non Blondes","What's Up?"
11,"Tyla","Water"
12,"Miley Cyrus","Used To Be Young"
13,"Lynyrd Skynyrd","Simple Man"
14,"a-ha","Take On Me"
15,"Paul Russell","Lil Boo Thang"
16,"Shinedown","A Symptom Of Being Human"
17,"Kenya Grace","Strangers"
18,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
19,"Doja Cat","Paint The Town Red"
20,"Jelly Roll","Save Me (with Lainey Wilson)"
21,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
22,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
23,"Chayce Beckham","23"
24,"Tate McRae","greedy"
25,"2 Chainz, Lil Wayne & USHER","Transparency"
26,"Rob49, Skilla Baby & Tay B","Mama"
27,"The Unthanks","Magpie"
28,"Sophie Ellis-Bextor","Murder On The Dancefloor"
29,"Morgan Wallen","Thinkin’ Bout Me"
30,"Olivia Rodrigo","get him back!"
31,"Noah Kahan","Stick Season"
32,"Warren Zeiders","Pretty Little Poison"
33,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
34,"Luke Combs","Where the Wild Things Are"
35,"USHER, Summer Walker & 21 Savage","Good Good"
36,"Travis Scott","I KNOW ?"
37,"Amber Run","I Found"
38,"Brent Faiyaz","WY@"
39,"Fleetwood Mac","Everywhere"
40,"House of Pain","Jump Around"
41,"Whitney Houston","I Wanna Dance with Somebody (Who Loves Me)"
42,"Rema","Calm Down"
43,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
44,"Maeta","Through The Night (feat. Free Nationals)"
45,"blink-182","ONE MORE TIME"
46,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
47,"Journey","Don't Stop Believin'"
48,"The Verve","Bitter Sweet Symphony"
49,"Fridayy","When It Comes To You"
50,"Muni Long","Made For Me"
