Shazam Top 50 Jacksonville
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jack Harlow","Lovin On Me"
3,"Teddy Swims","Lose Control"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Tyla","Water"
6,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
7,"Doja Cat","Agora Hills"
8,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
9,"Muni Long","Made For Me"
10,"Kenya Grace","Strangers"
11,"Billie Eilish","bury a friend"
12,"Jelly Roll","Save Me (with Lainey Wilson)"
13,"Lynyrd Skynyrd","Simple Man"
14,"Offset & Don Toliver","WORTH IT"
15,"USHER, Summer Walker & 21 Savage","Good Good"
16,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
17,"Fridayy","When It Comes To You"
18,"Paul Russell","Lil Boo Thang"
19,"Quaker City Night Hawks","Beat the Machine"
20,"Soul Coughing","Super Bon Bon"
21,"Tate McRae","greedy"
22,"Victoria Monét","On My Mama"
23,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
24,"Brent Faiyaz","WY@"
25,"Olivia Rodrigo","get him back!"
26,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
27,"Morgan Wallen","Thinkin’ Bout Me"
28,"Chris Stapleton","White Horse"
29,"310babii","Soak City (Do it)"
30,"SZA","Snooze"
31,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
32,"Doja Cat","Paint The Town Red"
33,"Chayce Beckham","23"
34,"Noah Kahan","Stick Season"
35,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
36,"October London","Back to your Place"
37,"Rob49, Skilla Baby & Tay B","Mama"
38,"Curtis Mayfield","Move On Up"
39,"Miley Cyrus","Used To Be Young"
40,"Drake","First Person Shooter (feat. J. Cole)"
41,"2 Chainz, Lil Wayne & USHER","Transparency"
42,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
43,"Chris Brown","Sensational (feat. Davido & Lojay)"
44,"Rema","Calm Down"
45,"Jelly Roll","Need A Favor"
46,"Beyoncé","MY HOUSE"
47,"Luke Combs","Where the Wild Things Are"
48,"Chicago","25 Or 6 To 4"
49,"Mary J. Blige & Vado","Still Believe In Love"
50,"Aerosmith","Dream On"
