Shazam Top 50 Las Vegas
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jack Harlow","Lovin On Me"
2,"Teddy Swims","Lose Control"
3,"Doe Boy","Way Too Long"
4,"310babii","Soak City (Do it)"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Billie Eilish","bury a friend"
7,"Paul Russell","Lil Boo Thang"
8,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
9,"Tyla","Water"
10,"Lil Nas X","J CHRIST"
11,"Victoria Monét","On My Mama"
12,"2 Chainz, Lil Wayne & USHER","Transparency"
13,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
14,"Kenya Grace","Strangers"
15,"Chris Brown","Sensational (feat. Davido & Lojay)"
16,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
17,"Brent Faiyaz","WY@"
18,"Doja Cat","Paint The Town Red"
19,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
20,"Beyoncé","MY HOUSE"
21,"Doja Cat","Agora Hills"
22,"Offset & Don Toliver","WORTH IT"
23,"Fridayy","When It Comes To You"
24,"Tate McRae","greedy"
25,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
26,"Travis Scott","I KNOW ?"
27,"Soul Coughing","Super Bon Bon"
28,"blink-182","ONE MORE TIME"
29,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
30,"Nicki Minaj","FTCU"
31,"Sophie Ellis-Bextor","Murder On The Dancefloor"
32,"A Boogie wit da Hoodie","Did Me Wrong"
33,"Drake","First Person Shooter (feat. J. Cole)"
34,"Lynyrd Skynyrd","Simple Man"
35,"Dua Lipa","Houdini"
36,"21 Savage","redrum"
37,"Miley Cyrus","Used To Be Young"
38,"Rema","Calm Down"
39,"Jelly Roll","Save Me (with Lainey Wilson)"
40,"Tyga, YG & Lil Wayne","Brand New"
41,"Xavi","La Diabla"
42,"Ariana Grande","yes, and?"
43,"Bad Bunny","MONACO"
44,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
45,"SZA","Snooze"
46,"Olivia Rodrigo","get him back!"
47,"Quaker City Night Hawks","Beat the Machine"
48,"Shinedown","A Symptom Of Being Human"
49,"Chayce Beckham","23"
50,"Curtis Mayfield","Move On Up"
