Shazam Top 50 Minneapolis
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Doe Boy","Way Too Long"
4,"Jack Harlow","Lovin On Me"
5,"Billie Eilish","bury a friend"
6,"Noah Kahan","Stick Season"
7,"Kenya Grace","Strangers"
8,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
9,"The Unthanks","Magpie"
10,"Quaker City Night Hawks","Beat the Machine"
11,"Doja Cat","Agora Hills"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"blink-182","ONE MORE TIME"
14,"Soul Coughing","Super Bon Bon"
15,"Tate McRae","greedy"
16,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
17,"Lil Nas X","J CHRIST"
18,"Thirty Seconds to Mars","Seasons"
19,"Tyla","Water"
20,"Jelly Roll","Save Me (with Lainey Wilson)"
21,"Fridayy","When It Comes To You"
22,"Chayce Beckham","23"
23,"Morgan Wallen","Thinkin’ Bout Me"
24,"Chris Stapleton","White Horse"
25,"Lynyrd Skynyrd","Simple Man"
26,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
27,"Christine and the Queens","Full of life"
28,"Olivia Rodrigo","get him back!"
29,"Doja Cat","Paint The Town Red"
30,"Luke Combs","Where the Wild Things Are"
31,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
32,"Luke Combs","Fast Car"
33,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
34,"The Red Clay Strays","Wondering Why"
35,"Lainey Wilson","Wildflowers and Wild Horses"
36,"Staind","Here and Now"
37,"HARDY","TRUCK BED"
38,"Amber Run","I Found"
39,"Unions","Rescue Me"
40,"Labi Siffre","Crying, Laughing, Loving, Lying"
41,"Inner Circle","Sweat (A La La La La Long)"
42,"Troye Sivan","One Of Your Girls"
43,"Paul Russell","Lil Boo Thang"
44,"Cody Johnson","Dirt Cheap"
45,"Sabrina Carpenter","Feather"
46,"Sarah Reeves","Get Back Your Fight"
47,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
48,"Jackson Dean","Fearless (The Echo)"
49,"Matchbox Twenty","Don’t Get Me Wrong"
50,"The Allman Brothers Band","Whipping Post"
