Shazam Top 50 New York City
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Doja Cat","Agora Hills"
3,"Offset & Don Toliver","WORTH IT"
4,"Jack Harlow","Lovin On Me"
5,"Tyla","Water"
6,"Billie Eilish","bury a friend"
7,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
8,"Doe Boy","Way Too Long"
9,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
10,"Chris Brown","Sensational (feat. Davido & Lojay)"
11,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
12,"Teddy Swims","Lose Control"
13,"Kenya Grace","Strangers"
14,"Lola Brooke","You (feat. Bryson Tiller)"
15,"Sophie Ellis-Bextor","Murder On The Dancefloor"
16,"Victoria Monét","On My Mama"
17,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
18,"Connie Diiamond & Remy Ma","Ghetto & Ratchet (Remy Ma Remix)"
19,"Nicki Minaj","Needle (feat. Drake)"
20,"310babii","Soak City (Do it)"
21,"Tems","Me & U"
22,"41, Kyle Richh & Jenn Carter","Bent (feat. TaTa)"
23,"Muni Long","Made For Me"
24,"The Unthanks","Magpie"
25,"USHER, Summer Walker & 21 Savage","Good Good"
26,"SZA","Snooze"
27,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
28,"21 Savage","redrum"
29,"Bad Bunny","MONACO"
30,"Drake","First Person Shooter (feat. J. Cole)"
31,"October London","Back to your Place"
32,"Sabrina Carpenter","Feather"
33,"Christine and the Queens","Full of life"
34,"Honey Bxby","Touchin’"
35,"Doja Cat","Paint The Town Red"
36,"Ariana Grande","yes, and?"
37,"Tate McRae","greedy"
38,"4batz","Act ii: Date @ 8"
39,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
40,"Ciara & Chris Brown","How We Roll"
41,"Burna Boy","City Boys"
42,"Rema","Calm Down"
43,"Libianca","People"
44,"Nicki Minaj","FTCU"
45,"Lynyrd Skynyrd","Simple Man"
46,"Nicki Minaj","Let Me Calm Down (feat. J. Cole)"
47,"Tems","Free Mind"
48,"Myke Towers","LA FALDA"
49,"Darell","Lollipop"
50,"Curtis Mayfield","Move On Up"
