Shazam Top 50 Newark
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doja Cat","Agora Hills"
2,"Doe Boy","Way Too Long"
3,"Offset & Don Toliver","WORTH IT"
4,"Tyla","Water"
5,"Jack Harlow","Lovin On Me"
6,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
7,"Jim James","State Of The Art (A.E.I.O.U.)"
8,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
9,"Teddy Swims","Lose Control"
10,"Chris Brown","Sensational (feat. Davido & Lojay)"
11,"Connie Diiamond & Remy Ma","Ghetto & Ratchet (Remy Ma Remix)"
12,"Kenya Grace","Strangers"
13,"Nicki Minaj","Needle (feat. Drake)"
14,"Billie Eilish","bury a friend"
15,"Victoria Monét","On My Mama"
16,"Tems","Me & U"
17,"Lola Brooke","You (feat. Bryson Tiller)"
18,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
19,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
20,"Sophie Ellis-Bextor","Murder On The Dancefloor"
21,"310babii","Soak City (Do it)"
22,"Muni Long","Made For Me"
23,"Noah Kahan","Stick Season"
24,"41, Kyle Richh & Jenn Carter","Bent (feat. TaTa)"
25,"Myke Towers","LA FALDA"
26,"Bad Bunny","MONACO"
27,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
28,"Drake","First Person Shooter (feat. J. Cole)"
29,"21 Savage","redrum"
30,"Tate McRae","greedy"
31,"Doja Cat","Paint The Town Red"
32,"Ariana Grande","yes, and?"
33,"October London","Back to your Place"
34,"USHER, Summer Walker & 21 Savage","Good Good"
35,"Honey Bxby","Touchin’"
36,"Sabrina Carpenter","Feather"
37,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
38,"The Unthanks","Magpie"
39,"Lynyrd Skynyrd","Simple Man"
40,"KAROL G & Peso Pluma","QLONA"
41,"SZA","Snooze"
42,"Drake","You Broke My Heart"
43,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
44,"Burna Boy","City Boys"
45,"Rema","Calm Down"
46,"Curtis Mayfield","Move On Up"
47,"Paul Russell","Lil Boo Thang"
48,"4batz","Act ii: Date @ 8"
49,"Dua Lipa","Houdini"
50,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
