Shazam Top 50 Oklahoma City
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Doe Boy","Way Too Long"
3,"Jim James","State Of The Art (A.E.I.O.U.)"
4,"Jack Harlow","Lovin On Me"
5,"Doja Cat","Agora Hills"
6,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
7,"Chayce Beckham","23"
8,"blink-182","ONE MORE TIME"
9,"Billie Eilish","bury a friend"
10,"4 Non Blondes","What's Up?"
11,"Lynyrd Skynyrd","Simple Man"
12,"Paul Russell","Lil Boo Thang"
13,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
14,"Kiss","Rock And Roll All Nite"
15,"HARDY","TRUCK BED"
16,"Whitesnake","Here I Go Again '87"
17,"Shinedown","A Symptom Of Being Human"
18,"Quaker City Night Hawks","Beat the Machine"
19,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
20,"USHER, Summer Walker & 21 Savage","Good Good"
21,"Tate McRae","greedy"
22,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
23,"Muni Long","Made For Me"
24,"Steve Miller Band","The Joker"
25,"Travis Scott","I KNOW ?"
26,"Lizzen","Why"
27,"Bon Jovi","Livin' On a Prayer"
28,"Soul Coughing","Super Bon Bon"
29,"Kenya Grace","Strangers"
30,"Doja Cat","Paint The Town Red"
31,"Lynyrd Skynyrd","Sweet Home Alabama"
32,"Smash Mouth","All Star"
33,"Jelly Roll","Save Me (with Lainey Wilson)"
34,"Miley Cyrus","Used To Be Young"
35,"EXTREME","More Than Words"
36,"The Unthanks","Magpie"
37,"October London","Back to your Place"
38,"Luke Combs","Where the Wild Things Are"
39,"The Outfield","Your Love"
40,"Dobie Gray","Drift Away"
41,"Def Leppard","Pour Some Sugar On Me"
42,"Billy Ray Cyrus","Achy Breaky Heart"
43,"The Sugarhill Gang","Rapper's Delight"
44,"Fridayy","When It Comes To You"
45,"Chicago","25 Or 6 To 4"
46,"Outkast","Hey Ya!"
47,"Tyla","Water"
48,"Amber Run","I Found"
49,"The Doobie Brothers","Black Water"
50,"Ugly Kid Joe","Cats in the Cradle"
