Shazam Top 50 Orlando
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Jack Harlow","Lovin On Me"
3,"Tyla","Water"
4,"Doe Boy","Way Too Long"
5,"Doja Cat","Agora Hills"
6,"Kenya Grace","Strangers"
7,"Paul Russell","Lil Boo Thang"
8,"Jim James","State Of The Art (A.E.I.O.U.)"
9,"Doja Cat","Paint The Town Red"
10,"Luke Combs","Fast Car"
11,"Victoria Monét","On My Mama"
12,"Billie Eilish","bury a friend"
13,"Noah Kahan","Stick Season"
14,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
15,"Tate McRae","greedy"
16,"Muni Long","Made For Me"
17,"Soul Coughing","Super Bon Bon"
18,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
19,"Rema","Calm Down"
20,"The Ides of March","Vehicle"
21,"Wild Cherry","Play That Funky Music"
22,"Offset & Don Toliver","WORTH IT"
23,"Andy Gibb","Shadow Dancing"
24,"Ariana Grande","yes, and?"
25,"Curtis Mayfield","Move On Up"
26,"Lynyrd Skynyrd","Simple Man"
27,"Richard Marx","Don't Mean Nothing"
28,"Quaker City Night Hawks","Beat the Machine"
29,"Justin Timberlake","CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS")"
30,"Laura Branigan","Gloria"
31,"Miley Cyrus","Used To Be Young"
32,"Chris Stapleton","White Horse"
33,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
34,"USHER, Summer Walker & 21 Savage","Good Good"
35,"KAROL G & Peso Pluma","QLONA"
36,"Bananarama","Venus"
37,"Kool & The Gang","Get Down On It"
38,"Montell Jordan","This Is How We Do It"
39,"The Chicks","Sin Wagon"
40,"The Who","Squeeze Box"
41,"Michael Jackson","P.Y.T. (Pretty Young Thing)"
42,"Gary U.S. Bonds","This Little Girl"
43,"John Travolta & Olivia Newton-John","You're the One That I Want"
44,"Prince & The Revolution","Let's Go Crazy"
45,"Smash Mouth","Can't Get Enough of You Baby"
46,"Electric Light Orchestra","Don't Bring Me Down"
47,"Sia","Unstoppable"
48,"LL COOL J","I'm Bad"
49,"EMF","Unbelievable"
50,"The Emotions","Best of My Love"
