Shazam Top 50 Phoenix
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Doe Boy","Way Too Long"
3,"Jack Harlow","Lovin On Me"
4,"Jim James","State Of The Art (A.E.I.O.U.)"
5,"Doja Cat","Agora Hills"
6,"Tyla","Water"
7,"Billie Eilish","bury a friend"
8,"Jelly Roll","Save Me (with Lainey Wilson)"
9,"Soul Coughing","Super Bon Bon"
10,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
11,"Kenya Grace","Strangers"
12,"Paul Russell","Lil Boo Thang"
13,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
14,"Quaker City Night Hawks","Beat the Machine"
15,"Lynyrd Skynyrd","Simple Man"
16,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
17,"Doja Cat","Paint The Town Red"
18,"Travis Scott","I KNOW ?"
19,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
20,"Chris Stapleton","White Horse"
21,"Tate McRae","greedy"
22,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
23,"Victoria Monét","On My Mama"
24,"USHER, Summer Walker & 21 Savage","Good Good"
25,"Sophie Ellis-Bextor","Murder On The Dancefloor"
26,"Xavi","La Diabla"
27,"Nicki Minaj","FTCU"
28,"Drake","First Person Shooter (feat. J. Cole)"
29,"The Unthanks","Magpie"
30,"Luke Combs","Fast Car"
31,"Offset & Don Toliver","WORTH IT"
32,"Ariana Grande","yes, and?"
33,"310babii","Soak City (Do it)"
34,"Morgan Wallen","Thinkin’ Bout Me"
35,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
36,"Shinedown","A Symptom Of Being Human"
37,"Fuerza Regida & Marshmello","HARLEY QUINN"
38,"21 Savage","redrum"
39,"SZA","Snooze"
40,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
41,"Drake","You Broke My Heart"
42,"Nate Smith","World on Fire"
43,"21 Savage, Travis Scott & Metro Boomin","née-nah"
44,"Curtis Mayfield","Move On Up"
45,"Tyga, YG & Lil Wayne","Brand New"
46,"Amber Run","I Found"
47,"Bad Bunny","MONACO"
48,"Chayce Beckham","23"
49,"Rema","Calm Down"
50,"Cigarettes After Sex","Apocalypse"
