Shazam Top 50 Portland OR
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Billie Eilish","bury a friend"
4,"Doe Boy","Way Too Long"
5,"Teddy Swims","Lose Control"
6,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
7,"The Unthanks","Magpie"
8,"Jack Harlow","Lovin On Me"
9,"Soul Coughing","Super Bon Bon"
10,"Quaker City Night Hawks","Beat the Machine"
11,"Lynyrd Skynyrd","Simple Man"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Noah Kahan","Stick Season"
14,"Cigarettes After Sex","Apocalypse"
15,"Doja Cat","Paint The Town Red"
16,"Unions","Rescue Me"
17,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
18,"The Handsome Family","Far from Any Road"
19,"Kenya Grace","Strangers"
20,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
21,"Damien Jurado","Silver Joy"
22,"Doja Cat","Agora Hills"
23,"Labi Siffre","Crying, Laughing, Loving, Lying"
24,"Bakar","Hell N Back"
25,"Curtis Mayfield","Move On Up"
26,"David Kushner","Daylight"
27,"Chicago","25 Or 6 To 4"
28,"Amber Run","I Found"
29,"Jeff Russo","Toxic (feat. Lisa Hannigan)"
30,"M83","Midnight City"
31,"bbno$","edamame (feat. Rich Brian)"
32,"Morgan Wallen","Thinkin’ Bout Me"
33,"Olivia Rodrigo","get him back!"
34,"blink-182","ONE MORE TIME"
35,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
36,"Neil Finn & Eddie Vedder","Throw Your Arms Around Me"
37,"Jelly Roll","Save Me (with Lainey Wilson)"
38,"The Last Dinner Party","Nothing Matters"
39,"Chayce Beckham","23"
40,"Tyla","Water"
41,"Tate McRae","greedy"
42,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
43,"The Black Keys","Beautiful People (Stay High)"
44,"Samantha Crain","When We Remain"
45,"Christine and the Queens","Full of life"
46,"Mitski","My Love Mine All Mine"
47,"Tate McRae","exes"
48,"Cat Stevens","The Wind"
49,"Paul Russell","Lil Boo Thang"
50,"Inner Circle","Sweat (A La La La La Long)"
