Shazam Top 50 Raleigh
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jack Harlow","Lovin On Me"
2,"Teddy Swims","Lose Control"
3,"Doe Boy","Way Too Long"
4,"Fridayy","When It Comes To You"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Muni Long","Made For Me"
7,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
8,"Doja Cat","Agora Hills"
9,"Tyla","Water"
10,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
11,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
12,"Beyoncé","MY HOUSE"
13,"Offset & Don Toliver","WORTH IT"
14,"Victoria Monét","On My Mama"
15,"October London","Back to your Place"
16,"Chris Brown","Sensational (feat. Davido & Lojay)"
17,"USHER, Summer Walker & 21 Savage","Good Good"
18,"Brent Faiyaz","WY@"
19,"Billie Eilish","bury a friend"
20,"Loui & NLE Choppa","No Distractions"
21,"Key Glock","Let's Go"
22,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
23,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
24,"Lola Brooke","You (feat. Bryson Tiller)"
25,"2 Chainz, Lil Wayne & USHER","Transparency"
26,"Rob49, Skilla Baby & Tay B","Mama"
27,"Lynyrd Skynyrd","Simple Man"
28,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
29,"Gucci Mane","There I Go (feat. J. Cole & Mike WiLL Made-It)"
30,"310babii","Soak City (Do it)"
31,"Mary J. Blige & Vado","Still Believe In Love"
32,"Maeta","Through The Night (feat. Free Nationals)"
33,"Soul Coughing","Super Bon Bon"
34,"Tate McRae","greedy"
35,"Quaker City Night Hawks","Beat the Machine"
36,"Kenya Grace","Strangers"
37,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
38,"SZA","Snooze"
39,"Tems","Me & U"
40,"The Unthanks","Magpie"
41,"Morgan Wallen","Thinkin’ Bout Me"
42,"Jelly Roll","Save Me (with Lainey Wilson)"
43,"Curtis Mayfield","Move On Up"
44,"Kenya Vaun","Summer"
45,"Paul Russell","Lil Boo Thang"
46,"Doja Cat","Paint The Town Red"
47,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
48,"Miley Cyrus","Used To Be Young"
49,"Nicki Minaj","FTCU"
50,"Dustin Lynch","Chevrolet (feat. Jelly Roll)"
