Shazam Top 50 Sacramento
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jack Harlow","Lovin On Me"
3,"Teddy Swims","Lose Control"
4,"Doja Cat","Agora Hills"
5,"Jim James","State Of The Art (A.E.I.O.U.)"
6,"Billie Eilish","bury a friend"
7,"Tyla","Water"
8,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
9,"Morgan Wallen","Thinkin’ Bout Me"
10,"Victoria Monét","On My Mama"
11,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
12,"Jelly Roll","Save Me (with Lainey Wilson)"
13,"310babii","Soak City (Do it)"
14,"Tate McRae","greedy"
15,"Kenya Grace","Strangers"
16,"SZA","Snooze"
17,"Doja Cat","Paint The Town Red"
18,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
19,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
20,"Fuerza Regida & Marshmello","HARLEY QUINN"
21,"Drake","First Person Shooter (feat. J. Cole)"
22,"Paul Russell","Lil Boo Thang"
23,"Travis Scott","I KNOW ?"
24,"Xavi","La Diabla"
25,"Sophie Ellis-Bextor","Murder On The Dancefloor"
26,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
27,"Dua Lipa","Houdini"
28,"Soul Coughing","Super Bon Bon"
29,"E-40, Larry June & Clyde Carson","GPS"
30,"USHER, Summer Walker & 21 Savage","Good Good"
31,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
32,"Olivia Rodrigo","get him back!"
33,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
34,"Drake","You Broke My Heart"
35,"The Unthanks","Magpie"
36,"Rema","Calm Down"
37,"Sabrina Carpenter","Feather"
38,"Miley Cyrus","Used To Be Young"
39,"Chayce Beckham","23"
40,"Ariana Grande","yes, and?"
41,"Offset & Don Toliver","WORTH IT"
42,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
43,"Quaker City Night Hawks","Beat the Machine"
44,"Lynyrd Skynyrd","Simple Man"
45,"Luke Combs","Fast Car"
46,"Morgan Wallen","Last Night"
47,"Noah Kahan","Stick Season"
48,"Tate McRae","exes"
49,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
50,"Chicago","25 Or 6 To 4"
