Shazam Top 50 Salt Lake City
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Teddy Swims","Lose Control"
4,"Jack Harlow","Lovin On Me"
5,"Billie Eilish","bury a friend"
6,"Kenya Grace","Strangers"
7,"Soul Coughing","Super Bon Bon"
8,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
9,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
10,"Tate McRae","greedy"
11,"Doja Cat","Agora Hills"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Dua Lipa","Houdini"
14,"Patrick Martin","Dandelion Eyes"
15,"Quaker City Night Hawks","Beat the Machine"
16,"Paul Russell","Lil Boo Thang"
17,"Don Mclean","American Pie"
18,"Sabrina Carpenter","Feather"
19,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
20,"Jackson Browne","Running On Empty"
21,"Lynyrd Skynyrd","Simple Man"
22,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
23,"Christine and the Queens","Full of life"
24,"Tyla","Water"
25,"Lynyrd Skynyrd","Free Bird"
26,"Elton John","Bennie And The Jets (Remastered)"
27,"Steve Miller Band","The Joker"
28,"John Denver","Rocky Mountain High"
29,"Shania Twain","You're Still The One"
30,"Luke Combs","Fast Car"
31,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
32,"Benson Boone","Beautiful Things"
33,"Shania Twain","Any Man Of Mine"
34,"Kansas","Carry On Wayward Son"
35,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
36,"Tim McGraw & Faith Hill","It's Your Love"
37,"Redbone","Come and Get Your Love"
38,"Led Zeppelin","Fool In the Rain"
39,"Rema","Calm Down"
40,"George Strait","Love Without End, Amen"
41,"Alan Jackson","Gone Country"
42,"LANY","XXL"
43,"Olivia Rodrigo","get him back!"
44,"Patty Loveless","I Try to Think About Elvis"
45,"Wynonna","She Is His Only Need"
46,"Tim McGraw","Where the Green Grass Grows"
47,"Trisha Yearwood","Xxx's and Ooo's (An American Girl)"
48,"Jo Dee Messina","Lesson In Leavin'"
49,"The Cars","Just What I Needed"
50,"Bee Gees","Stayin' Alive"
