Shazam Top 50 San Antonio
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Teddy Swims","Lose Control"
3,"Doe Boy","Way Too Long"
4,"Billie Eilish","bury a friend"
5,"Jack Harlow","Lovin On Me"
6,"Doja Cat","Agora Hills"
7,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
8,"Sophie Ellis-Bextor","Murder On The Dancefloor"
9,"Soul Coughing","Super Bon Bon"
10,"The Unthanks","Magpie"
11,"Jelly Roll","Save Me (with Lainey Wilson)"
12,"Tyla","Water"
13,"Lynyrd Skynyrd","Simple Man"
14,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
15,"Paul Russell","Lil Boo Thang"
16,"Quaker City Night Hawks","Beat the Machine"
17,"Victoria Monét","On My Mama"
18,"Doja Cat","Paint The Town Red"
19,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
20,"Tate McRae","greedy"
21,"Drake","First Person Shooter (feat. J. Cole)"
22,"Fuerza Regida & Marshmello","HARLEY QUINN"
23,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
24,"Bad Bunny","MONACO"
25,"Rema","Calm Down"
26,"Jackie Venson","Back to Earth #evolution"
27,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
28,"Nicki Minaj","FTCU"
29,"Xavi","La Diabla"
30,"Offset & Don Toliver","WORTH IT"
31,"Chris Stapleton","White Horse"
32,"Amber Run","I Found"
33,"Cigarettes After Sex","Apocalypse"
34,"Kenya Grace","Strangers"
35,"310babii","Soak City (Do it)"
36,"Chayce Beckham","23"
37,"21 Savage","redrum"
38,"Sabrina Carpenter","Feather"
39,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
40,"Drake","You Broke My Heart"
41,"Chicago","25 Or 6 To 4"
42,"bbno$","edamame (feat. Rich Brian)"
43,"Christine and the Queens","Full of life"
44,"Noah Kahan","Stick Season"
45,"Warren Zeiders","Pretty Little Poison"
46,"KAROL G & Peso Pluma","QLONA"
47,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
48,"The Red Clay Strays","Wondering Why"
49,"Scotty McCreery","Cab In A Solo"
50,"The Handsome Family","Far from Any Road"
