Shazam Top 50 San Bernardino
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doja Cat","Agora Hills"
2,"Teddy Swims","Lose Control"
3,"Doe Boy","Way Too Long"
4,"Jack Harlow","Lovin On Me"
5,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
6,"Tyla","Water"
7,"Xavi","La Diabla"
8,"Fuerza Regida & Marshmello","HARLEY QUINN"
9,"Travis Scott","I KNOW ?"
10,"310babii","Soak City (Do it)"
11,"Offset & Don Toliver","WORTH IT"
12,"Victoria Monét","On My Mama"
13,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
14,"Jim James","State Of The Art (A.E.I.O.U.)"
15,"USHER, Summer Walker & 21 Savage","Good Good"
16,"SZA","Snooze"
17,"Kenya Grace","Strangers"
18,"Drake","First Person Shooter (feat. J. Cole)"
19,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
20,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
21,"Drake","You Broke My Heart"
22,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
23,"Curtis Mayfield","Move On Up"
24,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
25,"Sophie Ellis-Bextor","Murder On The Dancefloor"
26,"2 Chainz, Lil Wayne & USHER","Transparency"
27,"Billie Eilish","bury a friend"
28,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
29,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
30,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
31,"Doja Cat","Paint The Town Red"
32,"Lynyrd Skynyrd","Simple Man"
33,"Maluma & Carin Leon","Según Quién"
34,"Chayce Beckham","23"
35,"Peso Pluma & Anitta","BELLAKEO"
36,"Keyshia Cole","Love"
37,"Morgan Wallen","Thinkin’ Bout Me"
38,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
39,"Xavi","La Víctima"
40,"310babii, Blueface & Tyga","Soak City (feat. Mustard, OhGeesy & BlueBucksClan)"
41,"Sabrina Carpenter","Feather"
42,"Next","Too Close"
43,"Soul Coughing","Super Bon Bon"
44,"Amber Run","I Found"
45,"Tate McRae","greedy"
46,"blink-182","ONE MORE TIME"
47,"Ariana Grande","yes, and?"
48,"Rema","Calm Down"
49,"Tate McRae","exes"
50,"Eden Muñoz","Como En Los Viejos Tiempos"
