Shazam Top 50 Seattle
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Jim James","State Of The Art (A.E.I.O.U.)"
2,"Doe Boy","Way Too Long"
3,"Teddy Swims","Lose Control"
4,"Billie Eilish","bury a friend"
5,"Doja Cat","Agora Hills"
6,"Jack Harlow","Lovin On Me"
7,"The Unthanks","Magpie"
8,"Quaker City Night Hawks","Beat the Machine"
9,"Soul Coughing","Super Bon Bon"
10,"Lynyrd Skynyrd","Simple Man"
11,"Kenya Grace","Strangers"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
14,"Olivia Rodrigo","get him back!"
15,"Tate McRae","greedy"
16,"Noah Kahan","Stick Season"
17,"Tyla","Water"
18,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
19,"Labi Siffre","Crying, Laughing, Loving, Lying"
20,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
21,"Unions","Rescue Me"
22,"Cigarettes After Sex","Apocalypse"
23,"Doja Cat","Paint The Town Red"
24,"David Kushner","Daylight"
25,"M83","Midnight City"
26,"bbno$","edamame (feat. Rich Brian)"
27,"Samantha Crain","When We Remain"
28,"Jeff Russo","Toxic (feat. Lisa Hannigan)"
29,"Chicago","25 Or 6 To 4"
30,"Tomcraft","Loneliness (Radio Cut)"
31,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
32,"Ariana Grande","yes, and?"
33,"The Handsome Family","Far from Any Road"
34,"Cat Stevens","The Wind"
35,"88rising, Rich Brian & NIKI","California (feat. Jackson Wang & Warren Hue) [Remix]"
36,"Christine and the Queens","Full of life"
37,"Damien Jurado","Silver Joy"
38,"Amber Run","I Found"
39,"Sabrina Carpenter","Feather"
40,"blink-182","ONE MORE TIME"
41,"Dua Lipa","Dance The Night (From Barbie The Album)"
42,"charlieonnafriday","I'm Not Crazy"
43,"Harry Nilsson","Gotta Get Up"
44,"Lainey Wilson","Wildflowers and Wild Horses"
45,"Lewis Capaldi","Someone You Loved"
46,"Rema","Calm Down"
47,"Yeah Yeah Yeahs","Burning"
48,"SZA","Snooze"
49,"Cannons","Loving You"
50,"Paul Russell","Lil Boo Thang"
