Shazam Top 200 United States Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Teddy Swims","Lose Control"
3,"4batz","Act ii: Date @ 8"
4,"Jack Harlow","Lovin On Me"
5,"Doja Cat","Agora Hills"
6,"Muni Long","Made For Me"
7,"Jim James","State Of The Art (A.E.I.O.U.)"
8,"He Is We","I Wouldn't Mind"
9,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
10,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
11,"Tyla","Water"
12,"Sophie Ellis-Bextor","Murder On The Dancefloor"
13,"21 Savage","redrum"
14,"Billie Eilish","bury a friend"
15,"Kenya Grace","Strangers"
16,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
17,"310babii","Soak City (Do it)"
18,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
19,"That Mexican OT","02.02.99"
20,"Xavi","La Diabla"
21,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
22,"Flo Milli","Never Lose Me"
23,"Tate McRae","greedy"
24,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
25,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
26,"YG Marley","Praise Jah In the Moonlight"
27,"Offset & Don Toliver","WORTH IT"
28,"21 Savage & Summer Walker","prove it"
29,"USHER, Summer Walker & 21 Savage","Good Good"
30,"Oscar Ortiz & Edgardo Nuñez","First Love"
31,"Victoria Monét","On My Mama"
32,"Yamê","Bécane - A Colors Show"
33,"Fridayy","When It Comes To You"
34,"21 Savage, Travis Scott & Metro Boomin","née-nah"
35,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
36,"Flume","Never Be Like You (feat. KAI)"
37,"Drake","You Broke My Heart"
38,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
39,"Soul Coughing","Super Bon Bon"
40,"Rob49, Skilla Baby & Tay B","Mama"
41,"Drake","First Person Shooter (feat. J. Cole)"
42,"Doja Cat","Paint The Town Red"
43,"Brent Faiyaz","WY@"
44,"SZA","Snooze"
45,"Noah Kahan","Stick Season"
46,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
47,"Lynyrd Skynyrd","Simple Man"
48,"Paul Russell","Lil Boo Thang"
49,"Travis Scott","I KNOW ?"
50,"Nicki Minaj","FTCU"
51,"MGMT","Time to Pretend"
52,"Benson Boone","Beautiful Things"
53,"Jelly Roll","Save Me (with Lainey Wilson)"
54,"Ariana Grande","yes, and?"
55,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
56,"Quaker City Night Hawks","Beat the Machine"
57,"Rema","Calm Down"
58,"Beat Mob","Fly wit Me"
59,"The Unthanks","Magpie"
60,"Chris Brown","Sensational (feat. Davido & Lojay)"
61,"Peso Pluma & Anitta","BELLAKEO"
62,"Chayce Beckham","23"
63,"Morgan Wallen","Thinkin’ Bout Me"
64,"Amber Run","I Found"
65,"Bad Bunny","MONACO"
66,"Chris Stapleton","White Horse"
67,"October London","Back to your Place"
68,"21 Savage & Brent Faiyaz","should've wore a bonnet"
69,"Boa","Duvet"
70,"Sabrina Carpenter","Feather"
71,"Mitski","My Love Mine All Mine"
72,"Reneé Rapp & Megan Thee Stallion","Not My Fault"
73,"Fuerza Regida","BARBIEZ"
74,"Chicago","25 Or 6 To 4"
75,"Zeddy Will","Cha Cha"
76,"Olivia Rodrigo","get him back!"
77,"Xavi","La Víctima"
78,"Edward Maya & Vika Jigulina","Stereo Love"
79,"Miley Cyrus","Used To Be Young"
80,"Miguel","Sure Thing"
81,"Fuerza Regida & Marshmello","HARLEY QUINN"
82,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
83,"Katya Lel","Мой мармеладный (Я не права)"
84,"Ocean Alley","Confidence"
85,"blink-182","ONE MORE TIME"
86,"Dua Lipa","Houdini"
87,"Christine and the Queens","Full of life"
88,"Curtis Mayfield","Move On Up"
89,"Rich Amiri","One Call"
90,"Luke Combs","Fast Car"
91,"Travis Scott","MY EYES"
92,"Future","The Percocet & Stripper Joint"
93,"Clams Casino & Imogen Heap","I'm God"
94,"David Kushner","Daylight"
95,"Luke Combs","Where the Wild Things Are"
96,"Lola Brooke","You (feat. Bryson Tiller)"
97,"Natasha Bedingfield","Unwritten"
98,"2 Chainz, Lil Wayne & USHER","Transparency"
99,"Warren Zeiders","Pretty Little Poison"
100,"Lainey Wilson","Wildflowers and Wild Horses"
101,"Chris Brown","Angel Numbers / Ten Toes"
102,"Key Glock","Let's Go"
103,"Cigarettes After Sex","Apocalypse"
104,"A Boogie wit da Hoodie","Did Me Wrong"
105,"Mary J. Blige","Family Affair"
106,"George Michael","Careless Whisper"
107,"Jere Klein & Gittobeatz","ANDO"
108,"Gunna","fukumean"
109,"Drake","Practice"
110,"Keane","Somewhere Only We Know"
111,"Mon Laferte","Tu Falta De Querer"
112,"Tate McRae","exes"
113,"M83","Midnight City"
114,"Josh Levi","BIRTHDAY DANCE"
115,"bbno$","edamame (feat. Rich Brian)"
116,"The Red Clay Strays","Wondering Why"
117,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
118,"Fuerza Regida & Manuel Turizo","UNA CERVEZA"
119,"Lil Nas X","J CHRIST"
120,"Tems","Me & U"
121,"Synapson","Hide Away (feat. Holly)"
122,"Beyoncé","MY HOUSE"
123,"Empire of the Sun","We Are The People"
124,"Bfb Da Packman, KrispyLife Kidd & Babyfxce E","Kentucky Love"
125,"Harry James","It's Been a Long, Long Time"
126,"Taylor Swift","Cruel Summer"
127,"Drake","Let's Call It Off (feat. Peter Bjorn and John)"
128,"Rob49","Homebody"
129,"s0mbra pr","Rojo 27 (feat. PRESSURE & GRANDE)"
130,"Connie Diiamond & Remy Ma","Ghetto & Ratchet (Remy Ma Remix)"
131,"Doechii","What It Is (Block Boy) [feat. Kodak Black]"
132,"Quavo & Future","Turn Yo Clic Up"
133,"LXNGVX","Montagem Mysterious Game"
134,"Hoobastank","The Reason"
135,"21 Savage","all of me"
136,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
137,"Justin Timberlake","Mirrors"
138,"21 Savage & Doja Cat","n.h.i.e."
139,"21 Savage & Mariah the Scientist","dark days"
140,"4 Non Blondes","What's Up?"
141,"Jay Hound, Jay5ive & SweepersENT","Ukraine"
142,"Shinedown","A Symptom Of Being Human"
143,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
144,"HARDY","TRUCK BED"
145,"Olivia Rodrigo","vampire"
146,"Rauw Alejandro","DILUVIO"
147,"Green Day","Brain Stew"
148,"Jelly Roll","Need A Favor"
149,"Tom Odell","Another Love"
150,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
151,"Lil Tecca","500lbs"
152,"Nickelback","How You Remind Me"
153,"Bailey Zimmerman","Rock and A Hard Place"
154,"Tears for Fears","Everybody Wants To Rule The World"
155,"Morgan Wallen","Last Night"
156,"Feid & ATL Jacob","LUNA"
157,"BOBI ANDONOV","Bad Decisions"
158,"Stephen Sanchez","Until I Found You"
159,"Sunstroke Project","Run Away (feat. Olia Tira)"
160,"Project Pat","I Choose You/Pat Reppin' Hypnotize Minds"
161,"Creepy Nuts","Bling-Bang-Bang-Born"
162,"Nate Smith","World on Fire"
163,"Keyshia Cole","Love"
164,"Dua Lipa","Dance The Night (From Barbie The Album)"
165,"Olivia Rodrigo","Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes)"
166,"310babii, Blueface & Tyga","Soak City (feat. Mustard, OhGeesy & BlueBucksClan)"
167,"Foo Fighters","Everlong"
168,"Becky G","POR EL CONTRARIO (with Leonardo Aguilar & Ángela Aguilar)"
169,"Next","Too Close"
170,"Big Thief","Vampire Empire"
171,"Mary J. Blige & Vado","Still Believe In Love"
172,"Lil Wayne","How To Hate (feat. T-Pain)"
