Shazam Top 50 Washington, D.C.
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Doe Boy","Way Too Long"
2,"Jim James","State Of The Art (A.E.I.O.U.)"
3,"Jack Harlow","Lovin On Me"
4,"Sam Cooke","(Somebody) Ease My Troublin' Mind"
5,"Billie Eilish","bury a friend"
6,"Chris Brown","Sensational (feat. Davido & Lojay)"
7,"Tyla","Water"
8,"USHER & H.E.R.","Risk It All (From the Original Motion Picture “The Color Purple”)"
9,"Tee Grizzley","IDGAF (feat. Chris Brown & Mariah the Scientist)"
10,"Badgir","Steppin Out (feat. King George)"
11,"Teddy Swims","Lose Control"
12,"Nicki Minaj","Everybody (feat. Lil Uzi Vert)"
13,"Tems","Me & U"
14,"Bobbi Storm","We Can't Forget Him"
15,"WANMOR","Please Don't Go"
16,"Soul Coughing","Super Bon Bon"
17,"Sophie Ellis-Bextor","Murder On The Dancefloor"
18,"The Unthanks","Magpie"
19,"Victoria Monét","On My Mama"
20,"Lola Brooke","You (feat. Bryson Tiller)"
21,"310babii","Soak City (Do it)"
22,"Beyoncé","MY HOUSE"
23,"Quaker City Night Hawks","Beat the Machine"
24,"Lynyrd Skynyrd","Simple Man"
25,"Muni Long","Made For Me"
26,"October London","Back to your Place"
27,"Offset & Don Toliver","WORTH IT"
28,"Doja Cat","Agora Hills"
29,"Fridayy","When It Comes To You"
30,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
31,"Kenya Vaun","Summer"
32,"USHER, Summer Walker & 21 Savage","Good Good"
33,"Quavo & Future","Turn Yo Clic Up"
34,"Drake","First Person Shooter (feat. J. Cole)"
35,"Rob49, Skilla Baby & Tay B","Mama"
36,"Christine and the Queens","Full of life"
37,"Curtis Mayfield","Move On Up"
38,"Zach Bryan","I Remember Everything (feat. Kacey Musgraves)"
39,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
40,"Brent Faiyaz","WY@"
41,"Chicago","25 Or 6 To 4"
42,"Kenya Grace","Strangers"
43,"21 Savage","redrum"
44,"Tate McRae","greedy"
45,"Doja Cat","Paint The Town Red"
46,"bbno$","edamame (feat. Rich Brian)"
47,"Lucky Daye","That's You"
48,"SZA","Snooze"
49,"Mary J. Blige & Vado","Still Believe In Love"
50,"Nicki Minaj","FTCU"
