Shazam Top 200 Uruguay Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Luck Ra & KHEA","HOLA PERDIDA"
2,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
3,"Feid & ATL Jacob","LUNA"
4,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
5,"Iñigo Quintero","Si No Estás"
6,"C. Tangana & Kiko Veneno","Los Tontos"
7,"Luck Ra & Abel Pintos","QUE ME FALTE TODO"
8,"Salastkbron & Omar Varela","Tal Para Cual"
9,"DJ Tao & Roze Oficial","ROZE  DJ TAO Turreo Sessions #22"
10,"TWENTY SIX & Tayson Kryss","Buscando Money"
11,"Emanero, Karina Pasian & J mena","SINVERGÜENZA - con Angela Torres (feat. Angela Torres)"
12,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
13,"Enrique Iglesias & Maria Becerra","ASI ES LA VIDA"
14,"Sophie Ellis-Bextor","Murder On The Dancefloor"
15,"Luck Ra & BM","La Morocha"
16,"Yamê","Bécane - A Colors Show"
17,"Jere Klein, Nickoog Clk, Lucky Brown & El Bai","PRINCESITA DE ..."
18,"Emilia & TINI","La_Original.mp3"
19,"Emanero, La K'onga & Antonio Rios","ADICTO"
20,"Fer Vazquez & Flor Alvarez","Sin Querer"
21,"Roze Oficial & Peipper","Inocente"
22,"Gusty dj, Salastkbron & Callejero Fino","El Super Junte Rkt (feat. Alejo Isakk, R Jota, L-Gante, Lolo OG, DobleP & Lauty Gram)"
23,"Peggy Gou","(It Goes Like) Nanana (Edit)"
24,"Grupo Frontera & Ke personajes","OJITOS ROJOS"
25,"Los Ángeles Azules & Maria Becerra","El Amor De Mi Vida"
26,"Milo j","M.A.I"
27,"LiL CaKe & MC Caverinha","DEFINITIVA"
28,"Big One, Ulises Bueno & Rusherking","Mentiras  CROSSOVER #3"
29,"Bauti Mascia & Cele Arrabal","Ya no me duele :,)"
30,"Imany","Wonderful Life (Stream Jockey Rework)"
31,"Maria Becerra, Chencho Corleone & Ovy On the Drums","Piscina"
32,"Marshmello & Manuel Turizo","El Merengue"
33,"Peso Pluma & Anitta","BELLAKEO"
34,"JC no beat, DJ F7 & MC Meno Dani","Maria Mariah (feat. Silva MC)"
35,"ORO600 & Pablo Chill-E","Nena Sad (feat. 0-600 & Orodembow)"
36,"Dua Lipa","Houdini"
37,"Sayian Jimmy & Nysix Music","Bad Boy"
38,"El Joan & Celso El Potente","Le Gustan lo' Flaites"
39,"Diego Torres","Mejor Que Ayer"
40,"Emanero, Ulises Bueno & Migrantes","ATORRANTE - con Los Palmeras (feat. Los Palmeras)"
41,"Marka Akme, DJ Tao & Lauty Gram","Linda (Remix)"
42,"Big One, FMK & Ke personajes","Un Finde  CROSSOVER #2"
43,"Marama, MYA & Robleis","Bronceado (Remix)"
44,"The La Planta, El negro tecla & Locura Mix","Auto Al Piso"
45,"KAROL G","MI EX TENÍA RAZÓN"
46,"Marka Akme, Alan Gomez & Callejero Fino","Mata (Remix)"
47,"El negro tecla","Ahí Ahí"
48,"Rusherking & Marama","Besos con Fernet"
49,"Emilia, LUDMILLA & Zecca","No_se_ve.mp3"
50,"Simon & Garfunkel","El Condor Pasa (If I Could)"
51,"Crismi","Chau Amor"
52,"Lauty Gram, Roze Oficial & Fauna Music","VAS A VOLVER"
53,"Omar Varela & El negro tecla","EL NEGRO TECLA  Omar Algo Anda Mal #9"
54,"LIT killah, Tiago PZK, Maria Becerra, Duki, Emilia, Rusherking, Big One & FMK","Los del Espacio"
55,"Darell","Lollipop"
56,"Emilia","GTA.mp3"
57,"Miley Cyrus","Flowers"
58,"Joel Santos","Si Esta Casa Hablara"
59,"Pitbull","Guantanamera (She's Hot)"
60,"He Is We","I Wouldn't Mind"
61,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
62,"KAROL G & Peso Pluma","QLONA"
63,"Fer Palacio Records","Locura"
64,"Fleetwood Mac","Everywhere"
65,"Alejo Isakk, Doble P & VERNAZ","Ponte Sata"
66,"Sia","Unstoppable"
67,"Luck Ra, La K'onga & Ke personajes","Ya No Vuelvas (Versión Cuarteto)"
