Shazam Top 50 Tashkent
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
2,"ADAM","Zhurek"
3,"Nikos Band","Georgian Disco (Live)"
4,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
5,"Dilnoz","Saharlarda"
6,"АИГЕЛ","Пыяла"
7,"Hamit Karadeniz","Leyla"
8,"Basta","На заре"
9,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
10,"Lely45","Моя душа"
11,"Sherine","Sabry 'Aalil"
12,"Ace of Base","Happy Nation"
13,"Ирина Кайратовна","Чина"
14,"DON XHONI & Dhurata Dora","Lej"
15,"Ozoda","Isyon"
16,"Ahmet Kaya","Bu Gala Daşlı Gala"
17,"JANAGA & Sevak","На грани"
18,"Amy Lee","Disco"
19,"Samira Said","Youm Wara Youm"
20,"Maryam Saleh & Zeid Hamdan","Ghaba"
21,"Xamdam Sobirov","Qizil ko'ylak (feat. Rayhon) [remix]"
22,"Alok & Alan Walker","Headlights (feat. KIDDO)"
23,"shometyle","Alien Flame"
24,"Yamê","Bécane - A Colors Show"
25,"Mert Demir","Ateşe Düştüm"
26,"Rei 6","Ah Canım Sevgilim (Demo)"
27,"Халиф Атуев","Ва Марьяна"
28,"Sura İskenderli","YOK (Ee daha daha nasılsınız?)"
29,"Cleffy","Meet you at the Graveyard"
30,"Sardor Tairov","Naryog'i Yo'q"
31,"Munisa Rizayeva & Konsta","O'ylamading"
32,"Fataneh","Namehraboon"
33,"Alisher Bayniyazov","Hayrana"
34,"ADAM","Zhurek (Isko Alvarez remix)"
35,"EfEmDi","Imi Pare Rau"
36,"Zubi","Sugar"
37,"Loreen","Tattoo"
38,"Neki, ALEMOND & Xcho","Моя"
39,"Shohruhxon","Janona"
40,"Sherine","Kalam Eneih"
41,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
42,"Sherine","El Watar El Hassas"
43,"Cartel de Santa","Shorty Party (feat. La Kelly)"
44,"A.V.G","Я плачу"
45,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
46,"Doston Ergashev & Shoxruxbek Ergashev","To'yiga Borib Kelamiz"
47,"Stromae","Formidable"
48,"Farhad Jahangiri","Ali Gian"
49,"Zerrin Özer","Basit Numaralar"
50,"Pitbull","Fireball (feat. John Ryan)"
