Shazam Top 200 Uzbekistan Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Hamit Karadeniz","Leyla"
2,"Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum"
3,"ADAM","Zhurek"
4,"Harshavardhan Rameshwar","Abrar’s Entry Jamal Kudu (From "Animal")"
5,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
6,"Nikos Band","Georgian Disco (Live)"
7,"Dilnoz","Saharlarda"
8,"АИГЕЛ","Пыяла"
9,"Amy Lee","Disco"
10,"Sherine","Sabry 'Aalil"
11,"Ace of Base","Happy Nation"
12,"Lely45","Моя душа"
13,"Basta","На заре"
14,"Халиф Атуев","Ва Марьяна"
15,"ONLYLAYA","A OTRA"
16,"JANAGA & Sevak","На грани"
17,"Ozoda","Isyon"
18,"Ирина Кайратовна","Чина"
19,"DON XHONI & Dhurata Dora","Lej"
20,"Fataneh","Namehraboon"
21,"shometyle","Alien Flame"
22,"Maryam Saleh & Zeid Hamdan","Ghaba"
23,"Ahmet Kaya","Bu Gala Daşlı Gala"
24,"Rei 6","Ah Canım Sevgilim (Demo)"
25,"Neki, ALEMOND & Xcho","Моя"
26,"Doston Ergashev & Shoxruxbek Ergashev","To'yiga Borib Kelamiz"
27,"Orange Blossom","Ya Sîdî"
28,"EfEmDi","Imi Pare Rau"
29,"Xamdam Sobirov","Qizil ko'ylak (feat. Rayhon) [remix]"
30,"Cartel de Santa","Shorty Party (feat. La Kelly)"
31,"Alisher Bayniyazov","Hayrana"
32,"Alok & Alan Walker","Headlights (feat. KIDDO)"
33,"Tohir Sodiqov","Undan Nimam Kam"
34,"Yamê","Bécane - A Colors Show"
35,"Savai","Dark Life (Instrumental)"
36,"Mert Demir","Ateşe Düştüm"
37,"Shohruxxon Abdugofurov","Alvidolar aytildimi"
38,"Saad Lamjarred & Shreya Ghoshal","Guli Mata (feat. Rajat Nagpal)"
39,"Sherine","El Watar El Hassas"
40,"Farhad Jahangiri","Ali Gian"
41,"Tohir Mahkamov","Eslab Yur"
42,"A.V.G","Я плачу"
43,"Sardor Tairov","Naryog'i Yo'q"
44,"Munisa Rizayeva & Konsta","O'ylamading"
45,"Milk & Sugar","Let the Sun Shine 2012 (Tocadisco Remix)"
46,"Timbaland","The Way I Are (feat. Keri Hilson & D.O.E.)"
47,"DJ Kamran MM","Ay Hazarat"
48,"Basta & HammAli & Navai","Где ты теперь и с кем"
49,"Tom Odell","Another Love"
50,"Stromae","Formidable"
51,"boroda_jk","Караван добра"
52,"Dedublüman","Belki (Akustik)"
53,"Laskovy May","Седая ночь"
54,"Mary J. Blige","Family Affair"
55,"Massa","Qattu (feat. Mubinlolo)"
56,"Emirhan Turan","Dayanamıyorum (Remix)"
57,"Cleffy","Meet you at the Graveyard"
58,"Sherine","Kalam Eneih"
59,"Sura İskenderli","YOK (Ee daha daha nasılsınız?)"
60,"Haider Salim","Aziz Jan Jigar Jan"
61,"Karim Mahmoud Abdelaziz","Elghazala Ray2a (feat. Mohamed Osama)"
62,"Shohruhxon","Janona"
63,"Zerrin Özer","Basit Numaralar"
64,"Marenberg Kollektiv","Sun Goes Down"
65,"Asik","Клятвы"
66,"Modern Talking","Cheri Cheri Lady"
67,"Ajiniyaz Xojambergenov","90-Jillardi Sagindim"
68,"Ragheb Alama","Nasini El Donya"
69,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
70,"Pitbull","Fireball (feat. John Ryan)"
71,"Ahror Usmonov","Borgan Sari"
72,"Akon","Smack That (feat. Eminem)"
73,"Katya Lel","Мой мармеладный (Я не права)"
74,"Teya Dora","Džanum"
75,"Lady Gaga","Bloody Mary"
76,"Muxlisbek Qurbonov","Bevafolarga"
77,"Izzat Shukurov","Yoningdaman"
78,"Amr Diab","Noor Al Ain"
79,"Odai Zagha & Anas Abu Sneineh","Men Dounek Ma B3eesh"
80,"AK-47","Тем кто с нами (feat. Guf & Ноггано)"
81,"YARMAK","Сердце пацана"
82,"Ehsan Daryadel","Lalaei"
83,"Loreen","Tattoo"
84,"Samira Said","Youm Wara Youm"
85,"Mirazh","Новый герой"
86,"Crystal Castles","Kerosene"
87,"Sediq Shabab","Gul Chida Chida"
88,"Bakhtiyor Rahman","Quyosh Porlamoq Uchun"
89,"Shoxruxbek Ergashev","Men Jimgina Qolaverdim (LiveLive)"
90,"Mahsun Kirmizigül","Dinle"
91,"Freebot, Cuvan & Aneth","Tus Besos"
92,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
93,"ALSU","Azelow Style"
