Shazam Top 200 Venezuela Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Xavi","La Diabla"
2,"Feid & ATL Jacob","LUNA"
3,"iZaak, Luar La L & Omar Courtz","BONNIE AND CLYDE (REMIX)"
4,"Yamê","Bécane - A Colors Show"
5,"Gaby Music, Luar La L & Lunay","No Te Quieren Conmigo"
6,"ELENA ROSE, Danny Ocean & Jerry Di","CARACAS EN EL 2000"
7,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
8,"Eladio Carrión","RKO"
9,"Pitbull","Guantanamera (She's Hot)"
10,"Lirico En La Casa","Tengo Una Morena"
11,"Ankhal","Déjame Saber (feat. Full Harmony & Panda Black)"
12,"Gonzy","X'CLUSIVO"
13,"Yostin Mcgrey","La Fama"
14,"Jere Klein & Gittobeatz","ANDO"
15,"Xavi","La Víctima"
16,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
17,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
18,"Milo j","M.A.I"
19,"Creepy Nuts","Bling-Bang-Bang-Born"
20,"Fresto Music","Me Hace Daño Verte"
21,"s0mbra pr","Rojo 27 (feat. PRESSURE & GRANDE)"
22,"Studio Bros","Trust (feat. Táyra)"
23,"Iñigo Quintero","Si No Estás"
24,"GIANT, TYSON & Broederliefde","AH TXE TXE"
25,"Myke Towers","LA FALDA"
26,"Darell","Lollipop"
27,"Pressure 9X19","VVS Switch"
28,"21 Savage","redrum"
29,"Noriel","La Paso C****n (feat. Gigolo Y La Exce, Falsetto y Sammy, Mike Duran & Baby Angel)"
30,"Sunstroke Project","Run Away (feat. Olia Tira)"
31,"Roger Sanchez","Again"
32,"Ozuna, Anuel AA & Chris Jedi","Pa Ti Estoy"
33,"YOVNGCHIMI & Dei V","Tu$$I"
34,"Rawayana & Monsieur Periné","Hora Loca"
35,"Edward Maya & Vika Jigulina","Stereo Love"
36,"Rokero & Luar La L","Baja y Sube"
37,"Tom Odell","Another Love"
38,"Peggy Gou","(It Goes Like) Nanana (Edit)"
39,"Eladio Carrión & Rauw Alejandro","Hey Lil Mamá"
40,"Katya Lel","Мой мармеладный (Я не права)"
41,"José "Papo" Rivera","Amado Mío"
42,"Sophie Ellis-Bextor","Murder On The Dancefloor"
43,"LATIN MAFIA & Humbe","Patadas de Ahogado"
44,"Carin Leon","La Primera Cita"
45,"Michael Bublé","Feeling Good"
46,"Guerrilla Seca","Cuando Hay Droga y Dinero"
47,"Rauw Alejandro","DILUVIO"
48,"Rio Romeo","Nothing's New"
49,"Dei V & Bryant Myers","Narcotics"
50,"Wakyin","Beso (Fruta Fresca) [feat. Carlos Vives]"
51,"Peso Pluma & Anitta","BELLAKEO"
52,"Maluma & Carin Leon","Según Quién"
53,"Bad Bunny & Feid","PERRO NEGRO"
54,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
55,"He Is We","I Wouldn't Mind"
56,"Feid & Pirlo","CUAL ES ESA"
57,"Bad Bunny","NO ME QUIERO CASAR"
58,"Jhayco & Anuel AA","Ley Seca"
59,"Feid & Rema","BUBALU"
60,"Marshmello & Manuel Turizo","El Merengue"
61,"Calle 24, Chino Pacas & Fuerza Regida","Qué Onda"
62,"Blessd, Ryan Castro & Bryant Myers","PALABRAS SOBRAN (feat. Hades66) [REMIX]"
63,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
64,"Saiko","COSAS QUE NO TE DIJE"
65,"Zion, Jory Boy & Ken-Y","More"
66,"GIANT & TYSON","AH TXE TXE"
67,"Pressure 9X19","El Rey De La Rápidas"
68,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
69,"Rokero, Luar La L & Los G4","De la Nada (feat. Juhn & De La Rose) [Remix]"
70,"Mesita, NICKI NICOLE & Tiago PZK","Una Foto Remix (feat. Emilia)"
71,"Jey One & Donaty","Tuwi Tuwi"
72,"LOS MENOR3S","DATO"
73,"Feid & Mañas Ru-Fino","LA VUELTA"
74,"Frenesí de Merengue","Live At Jimmy's (La Gran Manzana)"
75,"Cris Mj & Dei V","Diabólica"
76,"Adele","Set Fire to the Rain"
77,"Eladio Carrión, Lil Tjay & Luar La L","Friends (Remix)"
78,"George Michael","Careless Whisper"
79,"AMÉMÉ","Power"
80,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
81,"Mora & Sech","TUS LÁGRIMAS"
82,"Mitski","My Love Mine All Mine"
83,"Prince Royce","La Carretera"
84,"Almighty","Vacio"
85,"Alex Gargolas & Eladio Carrión","Promesa"
86,"C Dobleta","Bellakita"
87,"Noriel","Me Pelea (feat. Baby Rasta, Lito Kirino, Miky Woodz, Juhn & Jochy)"
88,"Anuel AA, Quevedo & Maluma","OA (feat. Mambo Kingz & DJ Luian)"
89,"C. Tangana","Mala Mujer"
90,"Bob Sinclar","World, Hold On (feat. Steve Edwards)"
91,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
92,"Bad Bunny & Luar La L","TELEFONO NUEVO"
93,"Keane","Somewhere Only We Know"
94,"El Villanord, Mariah Angeliq & Lola Índigo","Chivirika (feat. Jon Z, Nesi & Yailin la Mas Viral) [Remix]"
95,"New West","Those Eyes"
96,"Dei V","Trending Remix (feat. Myke Towers)"
97,"Stephen Sanchez & Em Beihold","Until I Found You (Em Beihold Version)"
98,"Hansel Camacho","Me Faltan Detalles"
99,"Lesley Gore","You Don't Own Me"
100,"Eladio Carrión & Milo j","La Canción Feliz Del Disco"
101,"Saiko & Came Beats","BB ;("
102,"Eladio Carrión & Sech","El Malo"
103,"Eminem","Mockingbird"
104,"Fuerza Regida & Marshmello","HARLEY QUINN"
105,"Youngboy","Dilon Baby Masha Capotilla"
106,"Bruno Mars","Locked Out of Heaven"
107,"Harry Styles","As It Was"
108,"Afrikan Drums","Comitin Dedo"
109,"LXNGVX","Montagem Mysterious Game"
110,"Nicky Jam & Beéle","Calor"
111,"Melendi","Tu Jardín Con Enanitos"
112,"French Montana","Unforgettable (feat. Swae Lee)"
113,"Sky & Dei V","CRUSH"
114,"Loreen","Tattoo"
115,"Ed Sheeran","Perfect"
116,"Fonseca","CANTO A LA VIDA"
117,"Tiagz, Fuerza Regida & El Alfa","Tacata (Remix)"
118,"Daddy Yankee & Bad Bunny","Vuelve"
119,"Sibilino","Monologo Tutorial"
120,"Limpopo Roots","Road of Love (feat. Dudu)"
121,"KAROL G","AMARGURA"
122,"Bad Bunny","MONACO"
123,"Eladio Carrión","TQMQA"
124,"Anuel AA & Yailin la Mas Viral","Si Tu Me Busca"
125,"Lady Gaga","Bloody Mary"
126,"KAROL G & Peso Pluma","QLONA"
127,"Rawayana","Dame Un Break"
128,"Tate McRae","greedy"
129,"Adalberto Santiago","La Noche Mas Linda"
130,"Guaco","Me Siento Bien"
131,"Arcángel","Pa' Que La Pases Bien"
132,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
133,"Quevedo","Columbia"
134,"Afrikan Drums","Roots"
135,"Creedence Clearwater Revival","Have You Ever Seen The Rain"
136,"JhaySeven","Pon la Que Pitone"
137,"Feid & Jhay P","YO AK"
138,"Androi","Becane Jersey Club"
139,"Rawayana & Goyo","Besos Ricos"
140,"Super Yei","La Forma en Que Me Miras (feat. Sammy, Myke Towers, Lenny Tavárez & Rafa Pabön)"
141,"Morad & GIMS","Seya"
142,"Zhamira Zambrano & Jay Wheeler","Extrañándote"
143,"Gabriel Nieves & Yostin Mcgrey","Sabana"
144,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
145,"J Abdiel & iZaak","WYA"
146,"Ñengo Flow","Ya Sanó El Dolor"
147,"El Super Nuevo","Superman Sin Capa"
148,"The Irrepressibles","In This Shirt"
149,"Fuerza Regida","CRAZYZ"
150,"Sean Paul","I'm Still in Love with You (feat. Sasha)"
151,"Amenazzy & Lary Over","Solo"
152,"Feid & Icon","FERXXO 151"
153,"James Arthur","Car's Outside"
154,"UB40","Kingston Town"
155,"Natasha Bedingfield","Unwritten"
156,"Eladio Carrión & Nach","Mamá's Boy"
157,"World Worship","Unción en el aire (feat. Cales Louima)"
158,"Hades66","Emociones"
159,"Ele a el Dominio","Tu Chapo"
160,"David Kushner","Daylight"
161,"Synapson","Hide Away (feat. Holly)"
162,"Rihanna","Diamonds"
163,"Lewis Capaldi","Someone You Loved"
164,"Sin Nombre","Enemigo"
165,"Yandel, Bad Bunny & Noriel","Explícale (feat. Cosculluela & Brytiago) [Remix]"
166,"Kenya Grace","Strangers"
167,"KALEO","Way Down We Go"
168,"Tokischa, Yomel El Meloso & Paulus Music","Singamo (feat. Leo RD)"
169,"Chayanne","Bailando Bachata"
170,"Myke Towers","LALA"
171,"Oasis","Stop Crying Your Heart Out"
172,"The Weeknd","Save Your Tears"
173,"Nicola Fasano vs. Pat-Rich","75, Brazil Street (Vocal Radio Mix)"
174,"Xxanteria & isq","Funked Up (Slowed)"
175,"Arcángel","No tiene Nombre Esta Canción"
176,"DJ Tons","Always Remember Us This Way"
177,"Lynyrd Skynyrd","Free Bird"
178,"Daddy Yankee","El Amante (feat. J Álvarez)"
179,"Davizin & MC Topre","Rave no Escurinho Bota a Mão na Parede"
180,"Passenger","Let Her Go"
181,"Lunay","Epapale"
182,"Saiko, Quevedo & Feid","POLARIS (feat. Mora) [Remix]"
183,"Sofia Castro","Te Juro No Te Miento"
184,"Gregor Salto & Kit","Otro Dia"
185,"Nasa Histoires","Bugambilia"
186,"Feid","ALAKRAN"
187,"Juan Luis Guerra","La travesía"
188,"Modern Talking","Cheri Cheri Lady"
189,"Ele a el Dominio","Codeine Crazy (Spanish Remix)"
190,"Sarah Cothran","As the World Caves In"
