Shazam Top 200 Vietnam Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"ADAM","Zhurek"
2,"Kha","Hư không"
3,"Nguyễn Đình Dũng","Tuyết Yêu Thương"
4,"Dia","Goodbye"
5,"Wang Er Lang","把回忆拼好给你"
6,"Parys & Ivy","PARACHUTE"
7,"Shartnuss","Nắng có mang em về (feat. Tr.D & Phankeo)"
8,"葛东琪","悬溺"
9,"闻人听书_","一笑江湖 (DJ弹鼓版)"
10,"Vũ. & Dear Jane","Những Lời Hứa Bỏ Quên"
11,"VSOUL","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)"
12,"Alicia Keys","If I Ain't Got You"
13,"Tina Ho","Có Duyên Không Nợ (TVT Remix)"
14,"Phan Mạnh Quỳnh","Loi Tu Trai Tim Anh"
15,"PHẠM ĐẮC NGỌC LƯU XUÂN NGHIỆP","Nhạc Này Dính Quá."
16,"Ngọc Mai","Theo em về nhà"
17,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
18,"Wxrdie, Andree Right Hand & Machiot","TETVOVEN"
19,"Young Captain","哪里都是你"
20,"TUNE 7","My Heart"
21,"Maroon 5","One More Night (Cutmore Club Mix)"
22,"Doja Cat","Agora Hills"
23,"Hippohappy","Rồi Em Sẽ Gặp Một Chàng Trai Khác"
24,"Yoari","TRUE"
25,"PHẠM ĐẮC NGỌC LƯU XUÂN NGHIỆP","Thương Em Đến Già."
26,"J.Tajor","Like I Do"
27,"MEYOU","เวลาเธอเหงา (LONELY)"
28,"Nguyễn Thương","Nắng Lung Linh"
29,"Mr. Siro","Không Cần Thêm Một Ai Nữa (feat. BigDaddy)"
30,"Wren Evans & Phùng Khánh Linh","Như Hoa Mùa Xuân (Remix)"
31,"Katya Lel","Мой мармеладный (Я не права)"
32,"Orange, Hoàng Dũng & Hứa Kim Tuyền","Nơi Pháo Hoa Rực Rỡ (ft. Cẩm Vân)"
33,"Wren Evans & itsnk","Tò Te Tí"
34,"Karik","Bạn Đời (feat. GDucky)"
35,"RHYDER, BAN & COOLKID","Chịu Cách Mình Nói Thua"
36,"New Media & Nguyễn Đình Vũ","Em Của Quá Khứ(Remix)"
37,"Tate McRae","greedy"
38,"Kai Đinh, GREY D & Hoàng Thùy Linh","Trái đất ôm Mặt trời"
39,"MONO & Onionn","Em Xinh"
40,"Titanum Bee","Young Love"
41,"张紫豪","可不可以 (抖音热歌)"
42,"Mitski","My Love Mine All Mine"
43,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
44,"Trịnh Thiên Ân & Exclusive Music","Khi Yêu Nào Đâu Ai Muốn (Kiên Mit Remix)"
45,"Hai Lai Amu","过路的晚风"
46,"Yang & Hoàng Dương","3IN1 Remix"
47,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
48,"TUNE 7","Anh Yêu Em , Em Yêu Ai"
49,"USHER","Hey Daddy (Daddy's Home) [feat. Plies]"
50,"B.I","Remember me"
51,"蒋小呢","给你呀(又名:for ya)"
52,"Ronboogz","nhắn nhủ"
53,"Leah Marie Perez","Nothin' on Me"
54,"Yến Lê","Cò Lả (feat. Yanbi & T-Akayz)"
55,"Linh Hương Luz & Meme Media","Là Em Ngộ Nhận (Double S Remix)"
56,"Yamê","Bécane - A Colors Show"
57,"Yin Xi Mian & 小田音乐社","西楼别序"
58,"PONCHET","พี่ชอบหนูที่สุดเลย (feat. วาลิน) [Sped Up Version]"
59,"HYBS","Tip Toe"
60,"TUNE 7","We Are Brothers"
61,"Ryan.B & Effie","No Reason"
62,"Aziz Hedra","Somebody's Pleasure"
63,"Captain","Quên Dần Quên"
64,"Myra Trần","Môi Chạm Môi (feat. Binz)"
65,"Xingjie Su & 王忻辰","清空"
66,"一支榴莲","海底"
67,"Dick","Anh Đã Lớn Hơn Thế Nhiều (feat. Michelle Ngn)"
68,"Sunstroke Project","Run Away (feat. Olia Tira)"
69,"Voi Bản Đôn","Khóa Ly Biệt"
70,"Professor Green","In the Shadow of the Sun"
71,"Nhất Khỏa Lang Tinh","Tinh Vệ (Remix)"
72,"52Hz","ĐỢI (Prod. RIO)"
73,"LeeHi","ONLY"
74,"Eternxlkz","BRODYAGA FUNK"
75,"UZI","ILERLE"
76,"Jay Chou","Coral Sea (feat. Lara Veronin)"
77,"Andree Right Hand, RHYDER & WOKEUP","Dân Chơi Sao Phải Khóc"
78,"Nguyen Van Sy","Nhạc Bỉ Ổi"
79,"陈村长","爱怎么了"
80,"Lady Gaga","Bloody Mary"
81,"魏辰宇, 苏思雨 & 赵梓婷","我好想你"
82,"指尖笑","不问ciaga (不问别离)"
83,"Cody Nam Vo","(OST Liên & Đạt) Tội Cho Em"
84,"Miles Away & Miles Away VIP","Bring Me Back (feat. Claire Ridgely) [Sped Up]"
85,"Mike Candys","Baby"
86,"Dalziel Martin","Driftveil City"
87,"Tùng Dương","Một Vòng Việt Nam"
88,"JAPANDEE & THEREON","9277 (Thích Hôn) [Remix]"
89,"Vũ Kem","lặng im đến lúc nào?"
90,"Đinh Tùng Huy","Không Sao Em À (Kind Remix)"
91,"Sabrina Carpenter","Feather (Sped Up)"
92,"Jane Zhang & Wang Heye","It's You"
93,"Jenevieve","Baby Powder"
94,"Hai Lai Amu","一无所有的年纪"
95,"H2K","Mây"
96,"Chika Fujiwara","The Way I Still Love You"
97,"Wang Jingwen","沦陷"
98,"早晚晚","dffa"
99,"HIEUTHUHAI","Exit Sign (feat. marzuz)"
100,"Renran","后继者"
101,"Roddy Ricch","The Box"
102,"陈小潇","阿衣莫 (越南鼓FkHs)"
103,"Christell","Dubidubidu"
104,"DaRa Remix","許佳慧-預謀 -DaRa x RNZ"
105,"H2K","Kẹo Bông Gòn (Remix)"
106,"Kim Ngọc Phú","id 2022 x sa vào nguy hiểm"
107,"The Weeknd","After Hours"
108,"Trương Tiến Giáp","Vở Kịch Của Em"
109,"Lana Del Rey","Cinnamon Girl"
110,"Như Quỳnh","Trăng Về Thôn Dã"
111,"en","嚣张"
112,"VuHuynh & 9C Media","Đáy Biển Remix"
113,"H2K & Trunky","Người Thứ 3"
114,"1967, HUY TK, NH4T & Pha","Nguyệt Hồng Phai (1967 Remix)"
115,"Nguyen Nhat Tu","NtuHuhuhu (feat. Nguyen Nhat Tu)"
116,"Thanh Hưng","Anh Thề Đấy"
117,"Forest Studio & Anh Tú","Bởi Vì Là Khi Yêu"
118,"O.lew","Vườn Hoa Con Cá (feat. Ngắn)"
119,"Leningrad","Кабриолет"
120,"蒋雪儿Snow.J","风夜行 (越南鼓DJ 版)"
121,"COOLKID & RHYDER","Sau Cơn Mưa"
122,"JAPANDEE","Xuất Sơn Remix"
123,"Tyla","Water"
124,"Flo Rida","Low (feat. T-Pain)"
125,"HIEUTHUHAI","NOLOVENOLIFE"
126,"marc indigo","Boy For the Weekend"
127,"Ariana Grande","bloodline"
128,"Tuno","Tội Cho Em (Phiên Bản Nữ OST)"
129,"фрози & joyful","Bounce (I Just Wanna Dance)"
130,"TikTok Meme Studio","Driftveil City Pokemon Toothless (Marimba Version)"
131,"Masew","Huyền Vi"
132,"Quang Chợ Lầm","Chắc Em Đã Quên Rồi (MUS x HHD Remix)"
133,"Charlie Puth","We Don't Talk Anymore (feat. Selena Gomez)"
134,"Nguyễn Vĩ","Ngày em cưới (DJ Lucy Remix)"
135,"Ngân Ngân","Thương Ly Biệt (Cover)"
136,"Edward Maya & Vika Jigulina","Stereo Love"
137,"Justin Bieber","Beauty and a Beat (feat. Nicki Minaj)"
138,"Rose Liu","飄洋過海來看你"
139,"Childish Gambino","Redbone"
140,"Namnoigi","Mơ (feat. Quyên Qui) [ThahTrung Remix]"
141,"Wren Evans & itsnk","Phóng Đổ Tim Em"
142,"Yixin Wen","一路生花"
143,"Xuening Chen","綠色"
144,"James Arthur","Car's Outside"
145,"Jung Yong Hwa","Because I Miss You (Instrumental)"
146,"LE SSERAFIM","Perfect Night"
147,"Tran Thanh Nam","Gót Chân Mềm"
148,"Tama","Ngày Em Đẹp Nhất"
149,"Tanya Chua","Red High Heels"
150,"TREASURE","COME TO ME"
151,"Phan Mạnh Quỳnh","Anh Ghet Lam Ban Em"
152,"Lukas Graham","7 Years"
153,"W/N","id 2022 (feat. 267)"
154,"Sickick","Mind Games"
155,"Keane","Somewhere Only We Know"
156,"T-ara","DAY BY DAY"
157,"Naits","Lonely Road"
158,"Xiaobai Bai","最后我们没在一起 (DJ版)"
159,"Lunhui","一城山水"
160,"Heidi Montag","I'll Do It"
161,"Mary J. Blige","Family Affair"
