Shazam Top 200 Global Chart: The most Shazamed tracks in the world
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"Teddy Swims","Lose Control"
2,"Yamê","Bécane - A Colors Show"
3,"Jack Harlow","Lovin On Me"
4,"ZERB & Sofiya Nzau","Mwaki"
5,"Sophie Ellis-Bextor","Murder On The Dancefloor"
6,"Tate McRae","greedy"
7,"Kenya Grace","Strangers"
8,"Tyla","Water"
9,"JID","Surround Sound (feat. 21 Savage & Baby Tate)"
10,"He Is We","I Wouldn't Mind"
11,"Kali Uchis & Peso Pluma","Igual Que Un Ángel"
12,"Doja Cat","Agora Hills"
13,"Ofenbach","Overdrive (feat. Norma Jean Martine)"
14,"Ицык Цыпер","Дымок (feat. Игорь Цыба)"
15,"The Weeknd & Madonna","Popular (feat. Playboi Carti) [Music from the HBO Original Series The Idol]"
16,"21 Savage","redrum"
17,"Sherine","Sabry 'Aalil"
18,"Cleffy","Meet you at the Graveyard"
19,"Chris Brown","Angel Numbers / Ten Toes"
20,"Iñigo Quintero","Si No Estás"
21,"Edward Maya & Vika Jigulina","Stereo Love"
22,"Nikos Band","Georgian Disco (Live)"
23,"LXNGVX","Montagem Mysterious Game"
24,"Doja Cat","Paint The Town Red"
25,"4batz","Act ii: Date @ 8"
26,"Lvbel C5","DOĞUŞTAN BERİ HAKLIYIM (tmm)"
27,"Jim James","State Of The Art (A.E.I.O.U.)"
28,"Dua Lipa","Houdini"
29,"Noah Kahan","Stick Season"
30,"ADAM","Zhurek"
31,"BENNETT","Vois sur ton chemin (Techno Mix)"
32,"The Weeknd, JENNIE & Lily Rose Depp","One Of The Girls"
33,"Tom Odell","Another Love"
34,"Katya Lel","Мой мармеладный (Я не права)"
35,"CYRIL","Stumblin' In"
36,"Peggy Gou","(It Goes Like) Nanana (Edit)"
37,"Xavi","La Diabla"
38,"Mary J. Blige","Family Affair"
39,"Oscar Ortiz & Edgardo Nuñez","First Love"
40,"Gym Class Heroes","Cupid's Chokehold / Breakfast In America"
41,"Creepy Nuts","Bling-Bang-Bang-Born"
42,"Kendrick Lamar","Swimming Pools (Drank)"
43,"Drake","Rich Baby Daddy (feat. Sexyy Red & SZA)"
44,"Flume","Never Be Like You (feat. KAI)"
45,"Feid & ATL Jacob","LUNA"
46,"David Guetta & Kim Petras","When We Were Young (The Logical Song)"
47,"Defkhan, NELLIE & Fredo","Kapak Olsun"
48,"Sunstroke Project","Run Away (feat. Olia Tira)"
49,"Loreen","Tattoo"
50,"Ariana Grande","yes, and?"
51,"George Michael","Careless Whisper"
52,"Doe Boy","Way Too Long"
53,"Gotye","Somebody That I Used to Know (feat. Kimbra)"
54,"Empire of the Sun","We Are The People"
55,"Jungeli, Imen Es & Alonzo","Petit génie (feat. Abou Debeing & Lossa)"
56,"Cigarettes After Sex","Apocalypse"
57,"Lynyrd Skynyrd","Simple Man"
58,"Natasha Bedingfield","Unwritten"
59,"DJ Snake","Let Me Love You (feat. Justin Bieber)"
60,"The Wellermen, Ebucs, Eric Hollaway & Daniel Brevik","Hoist the Colours"
61,"Billie Eilish","bury a friend"
62,"Muni Long","Made For Me"
63,"Imany","Wonderful Life (Stream Jockey Rework)"
64,"Mitski","My Love Mine All Mine"
65,"Chike & MohBad","Egwu"
66,"Tam Sir","Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)"
67,"bbno$","edamame (feat. Rich Brian)"
68,"Rema","Calm Down"
69,"Lady Gaga","Bloody Mary"
70,"АИГЕЛ","Пыяла"
71,"Taylor Swift","Is It Over Now? (Taylor's Version) [From The Vault]"
72,"Christell","Dubidubidu"
73,"Flo Milli","Never Lose Me"
74,"The Real Prechly, Dj Lux & Dj Guti BPM","A Collision of Two Worlds"
75,"Bad Bunny","MONACO"
76,"Paul Russell","Lil Boo Thang"
77,"cassö, RAYE & D-Block Europe","Prada"
78,"Abdoulhay","Galbi Mix Dofin Chirine"
79,"KALEO","Way Down We Go"
80,"Dadju & Tayc","I love you"
81,"Keane","Somewhere Only We Know"
82,"David Kushner","Daylight"
83,"Peso Pluma & Anitta","BELLAKEO"
84,"Modern Talking","Cheri Cheri Lady"
85,"Benson Boone","Beautiful Things"
86,"310babii","Soak City (Do it)"
87,"shometyle","Alien Flame"
88,"Billie Eilish","What Was I Made For? (From The Motion Picture "Barbie")"
89,"Ицык Цыпер","Нефертити (feat. Игорь Цыба)"
90,"Stromae","Formidable"
91,"Cartel de Santa","Shorty Party (feat. La Kelly)"
92,"Ed Sheeran","Perfect"
93,"Nicki Minaj","FTCU"
94,"YG Marley","Praise Jah In the Moonlight"
95,"Argy & Omnya","Aria"
96,"MGMT","Time to Pretend"
97,"Lesley Gore","You Don't Own Me"
98,"Travis Scott","MY EYES"
99,"Sia","Gimme Love"
100,"Ace of Base","Happy Nation"
101,"The Neighbourhood","Softcore"
102,"Olivia Rodrigo","vampire"
103,"Adele","Set Fire to the Rain"
104,"Lucenzo","Danza Kuduro (feat. Don Omar)"
105,"Ariana Grande","bloodline"
106,"Eminem","Mockingbird"
107,"Bizarrap & Young Miko","Young Miko: Bzrp Music Sessions, Vol. 58"
108,"Eugenio Esquivel, Grupo Marca Registrada & Sebastian Esquivel","Alucin"
109,"Dimitri Vegas & Like Mike, Tiësto & Dido","Thank You (Not So Bad)"
