Shazam Top 200 Zambia Chart
"Monday, 22 January 2024 [performance over the past 7 days]"
Rank,Artist,Title
1,"RJ Kanierra","Tia"
2,"Killorbeezbeatz","Ngilele E Hotel"
3,"Wanitwa Mos, Nkosazana Daughter & Master KG","Keneilwe (feat. Dalom Kids)"
4,"BLOOD KID yvok","CHIPUBA (feat. Vinchenzo Mbale)"
5,"Drimz Mr Muziq","Single (feat. Jemax)"
6,"Chris Brown","Angel Numbers / Ten Toes"
7,"Harrycane, Master KG & Eemoh","Dubula (feat. DJ Latimmy) [Remake]"
8,"Mr Crown","Don't Go Away (feat. Yo Maps)"
9,"uLazi","yey (feat. Infinity MusiQ)"
10,"Sarkodie","Otan"
11,"Patoranking","Babylon (feat. Victony)"
12,"Melvitto & Gabzy","In Fact (feat. Gabzy)"
13,"Kabza De Small & Mthunzi","Imithandazo (feat. Young Stunna, DJ Maphorisa, Sizwe Alakine & Umthakathi Kush)"
14,"Chile One Mr Zambia","Daily Course (feat. Faith Chile)"
15,"Nandipha808 & Ceeka RSA","Forgive Our Trespasses (feat. Demola)"
16,"Mellow & Sleazy, SjavasDaDeejay & Titom","Imnandi lento (feat. Tman Xpress)"
17,"Preston Pablo","Dance Alone"
18,"Tio Nason","Mutima"
19,"Dope Boys Bapele","Nakaba Ali Mu Loss (feat. Zem Wood & Mil) [Freestyle]"
20,"Yo Maps","So Mone (feat. Tay Grin)"
21,"Jux & Diamond Platnumz","Enjoy"
22,"Doja Cat","Agora Hills"
23,"Tyler ICU & Tumelo.za","Mnike (feat. DJ Maphorisa, Nandipha808, Ceeka RSA & Tyron Dee)"
24,"Dlala Thukzin, Zaba & Sykes","iPlan"
25,"Chile One Mr Zambia","Nayo Nayo (feat. Tianna)"
26,"Pcee","Gabriella (feat. Officixl Rsa)"
27,"Roberto","Poverty (feat. Tiger Tonka & Dizmo) [Remix]"
28,"Kamo Mphela, Tyler ICU & Khalil Harrison","Dalie (feat. Baby S.O.N)"
29,"King Promise & Gabzy","Perfect Combi"
30,"Tebza De DJ & DJ Nomza The King","Ka Valungu"
31,"Magic System, Yemi Alade & محمد رمضان","Akwaba"
32,"Ruger","Kristy"
33,"Chike & MohBad","Egwu"
34,"Macky2","Iye Chipolopolo"
35,"Y Celeb","Danger (feat. Jc Kalinks, Super Kena & Queen DaDa)"
36,"Dj Stokie & Eemoh","Masithokoze"
37,"76 Drums","Big Machines"
38,"Lindough","Ok'salayo (feat. DJ Active, Freddie Gwala & Kingshort)"
39,"Y Celeb","WHO DO YOU THINK YOU ARE (feat. Jc Kalinks & Ray Dee)"
40,"Ggoldie","Asambe (feat. Chley, Ceeka RSA, T.M.A_Rsa & RIVALZ)"
41,"Roberto","Poverty"
42,"MEGADRUMZ & Lady Du","Tjina"
43,"Josh Levi","BIRTHDAY DANCE"
44,"Afara Tsena","Afro Mbokalisation"
45,"Jimmy Maradona, QuayR Musiq & Mellow & Sleazy","Wena Wa Pallwa (feat. Ch'cco & Leemckrazy)"
